index,Planet,Impact Parameter
416,KELT-21b,0.423
417,KELT-23b,0.576
419,KELT-25b,0.522
457,Kepler-29b,0.379
497,Kepler-51d,0.25
511,Kepler-65b,0.16
512,Kepler-65c,0.42
513,Kepler-65d,0.53
514,Kepler-66b,0.56
515,Kepler-67b,0.37
522,Kepler-76b,0.9623
524,Kepler-78b,0.547067596
525,Kepler-79b,0.41
526,Kepler-79c,0.278
529,Kepler-80b,0.236037606
530,Kepler-80c,0.292861276
533,Kepler-80f,0.337837476
534,Kepler-80g,0.52
535,Kepler-82b,0.665289862
536,Kepler-82c,-0.164256949
539,Kepler-86b,0.262861363
540,Kepler-87b,0.727
541,Kepler-87c,0.579
547,Kepler-90b,0.13
548,Kepler-90c,0.09
549,Kepler-90d,0.28
550,Kepler-90e,0.27
551,Kepler-90f,0.35
552,Kepler-90g,0.45
553,Kepler-90h,0.36
554,Kepler-90i,0.5
555,Kepler-91b,0.8667
563,Kepler-100b,0.54
565,Kepler-100d,0.75
569,Kepler-102c,0.06
570,Kepler-102d,0.22
578,Kepler-106d,0.45
589,Kepler-113c,0.56
603,Kepler-150f,0.0
608,Kepler-167d,0.474
609,Kepler-167e,0.233
638,Kepler-408b,0.92
639,Kepler-409b,0.9
641,Kepler-411b,0.574
642,Kepler-411c,0.62
643,Kepler-411d,0.7193
646,Kepler-418b,0.23
662,Kepler-432b,0.503
689,Kepler-462b,-0.31
690,Kepler-462c,0.89
691,Kepler-538b,0.41
692,Kepler-539b,0.305432175
694,Kepler-730b,0.561
695,Kepler-730c,0.659
696,Kepler-1514b,0.169
697,Kepler-1514c,0.47
701,Kepler-1649b,0.65
702,Kepler-1649c,0.875
703,Kepler-1654b,0.114
704,Kepler-1655b,0.85
705,Kepler-1656b,0.083
706,Kepler-1658b,0.9471
709,Kepler-1705b,0.32
710,Kepler-1705c,0.34
716,KOI-3680b,0.15
718,KPS-1b,0.754
719,L98-59b,0.53
720,L98-59c,0.6
721,L98-59d,0.922
722,L168-9b,0.587962314
738,MASCARA-1b,0.2
740,NGTS-1b,0.9948
741,NGTS-2b,0.317
742,NGTS-3b,0.05
743,NGTS-4b,0.634856241
744,NGTS-5b,0.659209873
745,NGTS-6b,0.933
746,NGTS-8b,0.415310134
747,NGTS-9b,0.928996121
748,NGTS-10b,0.841793395
749,NGTS-11b,0.83
750,NGTS-12b,0.196661236
751,NGTS-13b,0.156
752,NGTS-14b,0.59
753,NGTS-15b,0.509
754,NGTS-16b,0.807
755,NGTS-17b,0.688
756,NGTS-18b,0.183
762,OGLE-TR-182b,0.721284826
768,Qatar-3b,0.35
769,Qatar-4b,0.114
770,Qatar-5b,0.18
771,Qatar-6b,0.878
772,Qatar-7b,0.08
773,Qatar-8b,0.096
774,Qatar-9b,0.097
775,Qatar-10b,0.379
776,TIC_237913194b,0.9
778,TOI-122b,0.72
779,TOI-125b,0.27
780,TOI-125c,0.522
781,TOI-125d,0.652
783,TOI-132b,0.583
784,TOI-150b,0.33
785,TOI-157b,0.8045
786,TOI-169b,0.9221
787,TOI-172b,0.22
788,TOI-201b,0.0
789,TOI-216b,0.948
790,TOI-216c,0.14
791,TOI-220b,0.832
792,TOI-237b,0.3
793,TOI-251b,0.606329192
794,TOI-257b,0.28
795,TOI-269b,0.55
796,TOI-270b,0.407954934
797,TOI-270c,0.219094849
798,TOI-270d,0.224419572
799,TOI-421b,0.75
800,TOI-421c,0.935
801,TOI-431b,0.34
802,TOI-431d,0.15
803,TOI-451b,0.42
804,TOI-451c,0.52
805,TOI-451d,0.23
806,TOI-481b,0.15
808,TOI-530b,0.33
809,TOI-532b,0.348450435
810,TOI-540b,0.772
811,TOI-558b,0.907
812,TOI-559b,0.23
813,TOI-561b,0.3
814,TOI-561c,0.3
817,TOI-564b,0.994
818,TOI-674b,0.635
819,TOI-677b,0.723
820,TOI-700b,0.2
821,TOI-700c,0.904
822,TOI-700d,0.4
823,TOI-712b,0.41
824,TOI-712c,0.28
825,TOI-712d,0.34
826,TOI-776b,0.16
827,TOI-776c,0.36
828,TOI-813b,0.3
830,TOI-849b,0.212
832,TOI-905b,0.816
833,TOI-942b,0.05
834,TOI-942c,0.149
835,TOI-954b,0.56
836,TOI-1062b,0.862
837,TOI-1064b,0.728
838,TOI-1064c,0.753
839,TOI-1130b,0.48
840,TOI-1130c,0.995
841,TOI-1201b,0.404
842,TOI-1227b,0.849
843,TOI-1231b,0.27
844,TOI-1235b,0.25
845,TOI-1238b,0.32
846,TOI-1238c,0.39
847,TOI-1259b,0.065
848,TOI-1260b,0.26
849,TOI-1260c,0.714
850,TOI-1266b,0.38
851,TOI-1266c,0.61
852,TOI-1268b,0.423
853,TOI-1278b,1.04
854,TOI-1296b,0.13
855,TOI-1298b,0.16
856,TOI-1338b,0.42407564
858,TOI-1442b,0.33
859,TOI-1444b,0.38
860,TOI-1518b,0.9036
861,TOI-1634b,0.24
862,TOI-1670b,0.61
863,TOI-1670c,0.76
864,TOI-1685b,0.473
865,TOI-1696b,0.59
866,TOI-1728b,0.39
870,TOI-1759b,0.5
871,TOI-1789b,0.971
872,TOI-1807b,0.546
873,TOI-1842b,0.297230207
874,TOI-1899b,0.22
875,TOI-2076b,0.342
876,TOI-2076c,0.07
877,TOI-2076d,0.78
880,TOI-2136b,0.458891758
881,TOI-2180b,0.1
882,TOI-2184b,0.67
883,TOI-2202b,0.723208261
884,TOI-2257b,0.374
885,TOI-2285b,0.49
886,TOI-2337b,0.52
887,TOI-2406b,0.156733907
888,TOI-2445b,0.27
889,TOI-2669b,0.86
890,TOI-3362b,0.27
891,TOI-3629b,0.2
892,TOI-3714b,0.26
893,TOI-4329b,0.24
897,TRAPPIST-1e,0.12
898,TRAPPIST-1f,0.382
899,TRAPPIST-1g,0.421
900,TRAPPIST-1h,0.45
959,WASP-53b,0.562940497
982,WASP-76b,0.143149689
987,WASP-81b,0.149741484
991,WASP-85b,0.047
993,WASP-87b,0.604
996,WASP-90b,0.838884261
997,WASP-91b,0.51
998,WASP-92b,0.608
1008,WASP-102b,0.03
1011,WASP-105b,0.1
1013,WASP-107b,0.09
1014,WASP-108b,0.19
1015,WASP-109b,0.737
1016,WASP-110b,0.376
1017,WASP-111b,0.665
1018,WASP-112b,0.475
1019,WASP-113b,0.486
1020,WASP-114b,0.457
1023,WASP-118b,0.16
1024,WASP-119b,0.5
1025,WASP-120b,0.78
1027,WASP-122b,0.8608
1028,WASP-123b,0.525
1029,WASP-124b,0.61
1030,WASP-126b,0.3
1031,WASP-127b,0.15
1032,WASP-129b,0.62
1033,WASP-130b,0.53
1034,WASP-131b,0.73
1035,WASP-132b,0.14
1036,WASP-133b,0.2
1037,WASP-134b,0.306
1039,WASP-136b,0.59
1040,WASP-137b,0.69
1041,WASP-138b,0.19
1042,WASP-139b,0.33
1043,WASP-140b,0.99
1044,WASP-141b,0.31
1045,WASP-142b,0.77
1046,WASP-143b,0.181
1047,WASP-144b,0.45
1048,WASP-145b,0.97
1049,WASP-146b,0.829
1050,WASP-147b,0.31
1051,WASP-148b,0.046
1053,WASP-150b,0.758
1054,WASP-151b,0.144848663
1055,WASP-153b,0.613281872
1056,WASP-156b,0.2442
1057,WASP-157b,0.87
1058,WASP-158b,0.32
1059,WASP-159b,0.18
1061,WASP-161b,0.14
1062,WASP-162b,0.18
1063,WASP-163b,0.448
1064,WASP-164b,0.8216
1065,WASP-165b,0.53
1066,WASP-166b,0.43
1067,WASP-167b,0.77
1068,WASP-168b,0.97
1069,WASP-169b,0.27
1070,WASP-170b,0.689
1071,WASP-171b,0.19
1072,WASP-172b,0.45
1074,WASP-174b,0.953
1075,WASP-175b,0.64
1076,WASP-176b,0.347
1077,WASP-177b,0.98
1078,WASP-178b,0.628
1079,WASP-180b,0.4
1080,WASP-181b,0.34
1081,WASP-182b,0.775
1082,WASP-183b,0.916
1083,WASP-184b,0.44
1084,WASP-185b,0.81
1085,WASP-186b,0.84
1086,WASP-187b,0.76
1087,WASP-189b,0.4537
1088,WASP-190b,0.45
1089,WASP-192b,0.84
1090,Wendelstein-1b,0.672666488
1091,Wendelstein-2b,0.283355903
1097,XO-3b,0.662119495
1098,XO-4b,0.205
1100,XO-6b,0.633
1101,XO-7b,0.709
1102,K2-5b,0.65
1103,K2-5c,0.83
1104,K2-8b,0.88
1105,K2-8c,0.78
1106,K2-9b,0.9261
1108,K2-35b,0.191393865
1109,K2-35c,0.472710948
1110,K2-37b,0.55
1111,K2-37c,0.62
1112,K2-37d,0.76
1120,K2-52b,0.32
1121,K2-53b,0.31
1139,K2-72b,0.386660514
1140,K2-72c,0.40805115
1141,K2-72d,0.420781354
1142,K2-72e,0.385762869
1147,K2-77b,0.46
1150,K2-81b,0.249539599
1157,K2-87b,0.57
1160,K2-90b,0.44
1161,K2-90c,0.647995636
1208,Kepler-83b,0.873107533
1209,Kepler-83c,0.953707171
1211,Kepler-84b,0.468508392
1212,Kepler-84c,0.609625378
1223,Kepler-104b,0.45
1226,Kepler-105b,0.64
1233,Kepler-114c,0.689998873
1234,Kepler-114d,0.887141408
1265,Kepler-130c,0.38
1362,Kepler-177c,0.8848
