K2-035b,4680,60,60,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.010,0.010,-1,-1,-1,1.423,0.0,-1,-1,0.0320,0.0005,0.0005,-1,-1,-1,0.125,0.015,0.015,-1,-1,-1,-1,-1,-1,979,29,29,2016ApJ...827...78S,2016ApJ...827...78S
K2-035c,4680,60,60,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.010,0.010,-1,-1,-1,5.341,0.0,-1,-1,0.0564,0.0009,0.0009,-1,-1,-1,0.186,0.025,0.025,-1,-1,-1,-1,-1,-1,737,22,22,2016ApJ...827...78S,2016ApJ...827...78S
K2-037b,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,4.442,0.0,-1,-1,0.0511,0.0009,0.0009,-1,-1,-1,0.144,0.015,0.015,-1,-1,-1,-1,-1,-1,974,32,32,2016ApJ...827...78S,2016ApJ...827...78S
K2-037c,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,6.429,0.0,-1,-1,0.0654,0.0011,0.0011,-1,-1,-1,0.245,0.024,0.024,-1,-1,-1,-1,-1,-1,861,28,28,2016ApJ...827...78S,2016ApJ...827...78S
K2-037d,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,14.092,0.0,-1,-1,0.1103,0.0018,0.0018,-1,-1,-1,0.244,0.032,0.032,-1,-1,-1,-1,-1,-1,663,22,22,2016ApJ...827...78S,2016ApJ...827...78S
K2-042,4613,71,71,-1,-1,-1,0.702,0.046,0.046,0.643,0.039,0.039,4.659,0.050,0.050,-1,-1,-1,6.688,-1,-1,-1,0.062,0.001,0.001,-1,-1,-1,0.192,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-045,4103,90,90,-1,-1,-1,0.503,0.078,0.078,0.445,0.066,0.066,4.824,0.070,0.070,-1,-1,-1,1.729,-1,-1,-1,0.022,0.001,0.001,-1,-1,-1,0.599,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-046,6256,37,37,-1,-1,-1,0.960,0.020,0.020,1.290,0.120,0.120,4.198,0.073,0.073,-1,-1,-1,19.154,-1,-1,-1,0.138,0.001,0.001,-1,-1,-1,0.183,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-047,5054,82,82,-1,-1,-1,0.750,0.020,0.020,0.760,0.030,0.030,4.544,0.036,0.036,-1,-1,-1,31.637,-1,-1,-1,0.178,0.002,0.002,-1,-1,-1,0.169,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-049,4175,97,97,-1,-1,-1,0.510,0.140,0.140,0.450,0.120,0.120,4.810,0.110,0.110,-1,-1,-1,2.771,-1,-1,-1,0.031,0.003,0.003,-1,-1,-1,0.172,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-050,4326,128,128,-1,-1,-1,0.611,0.056,0.056,0.546,0.050,0.050,4.742,0.050,0.050,-1,-1,-1,8.753,-1,-1,-1,0.071,0.002,0.002,-1,-1,-1,0.142,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-052,6113,787,787,-1,-1,-1,1.210,0.230,0.230,1.490,0.520,0.520,4.140,0.290,0.290,-1,-1,-1,3.535,-1,-1,-1,0.049,0.003,0.003,-1,-1,-1,0.990,0.345,0.345,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-053,5269,79,79,-1,-1,-1,0.830,0.030,0.030,0.850,0.050,0.050,4.491,0.058,0.058,-1,-1,-1,12.205,-1,-1,-1,0.097,0.001,0.001,-1,-1,-1,0.223,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-054,3798,113,113,-1,-1,-1,0.421,0.069,0.069,0.384,0.052,0.052,4.891,0.057,0.057,-1,-1,-1,9.784,-1,-1,-1,0.067,0.004,0.004,-1,-1,-1,0.103,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-057,4434,61,61,-1,-1,-1,0.683,0.056,0.056,0.621,0.049,0.049,4.680,0.050,0.050,-1,-1,-1,9.006,-1,-1,-1,0.075,0.002,0.002,-1,-1,-1,0.187,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-058b,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,7.053,-1,-1,-1,0.069,0.002,0.002,-1,-1,-1,0.239,0.033,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-058c,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,2.537,-1,-1,-1,0.035,0.001,0.001,-1,-1,-1,0.145,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-058d,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,22.883,-1,-1,-1,0.152,0.005,0.005,-1,-1,-1,0.153,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-059b,5055,93,93,-1,-1,-1,0.774,0.073,0.073,0.731,0.072,0.072,4.592,0.050,0.050,-1,-1,-1,20.692,-1,-1,-1,0.135,0.004,0.004,-1,-1,-1,0.215,0.027,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-059c,5055,93,93,-1,-1,-1,0.774,0.073,0.073,0.731,0.072,0.072,4.592,0.050,0.050,-1,-1,-1,11.295,-1,-1,-1,0.090,0.003,0.003,-1,-1,-1,0.205,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-061,6293,338,338,-1,-1,-1,1.210,0.220,0.220,1.360,0.410,0.410,4.250,0.200,0.200,-1,-1,-1,2.573,-1,-1,-1,0.039,0.002,0.002,-1,-1,-1,0.221,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-062b,4880,216,216,-1,-1,-1,0.770,0.050,0.050,0.730,0.050,0.050,4.604,0.037,0.037,-1,-1,-1,6.672,-1,-1,-1,0.064,0.001,0.001,-1,-1,-1,0.191,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-062c,4880,216,216,-1,-1,-1,0.770,0.050,0.050,0.730,0.050,0.050,4.604,0.037,0.037,-1,-1,-1,16.197,-1,-1,-1,0.115,0.002,0.002,-1,-1,-1,0.191,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-063,6771,303,303,-1,-1,-1,1.400,0.250,0.250,1.630,0.480,0.480,4.150,0.190,0.190,-1,-1,-1,20.257,-1,-1,-1,0.163,0.010,0.010,-1,-1,-1,0.287,0.088,0.088,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-064,5312,82,82,-1,-1,-1,0.741,0.069,0.069,0.726,0.080,0.080,4.576,0.050,0.050,-1,-1,-1,6.530,-1,-1,-1,0.062,0.002,0.002,-1,-1,-1,0.185,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-065,5213,336,336,-1,-1,-1,0.870,0.100,0.100,0.840,0.120,0.120,4.533,0.080,0.080,-1,-1,-1,12.648,-1,-1,-1,0.101,0.004,0.004,-1,-1,-1,0.141,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-068,4746,96,96,-1,-1,-1,0.730,0.096,0.096,0.675,0.086,0.086,4.632,0.060,0.060,-1,-1,-1,8.054,-1,-1,-1,0.071,0.003,0.003,-1,-1,-1,0.141,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
