Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,Mp_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag
HAT-P-28,5680,90.0,90.0,0.12,0.08,0.08,1.025,0.047,0.047,1.103,0.091,0.069,4.36,0.06,0.06,,,,0.051,0.033,0.033,0.0434,0.0007,0.0007,0.626,0.037,0.037,1.212,0.113,0.082,10.5,1.5,1.5,0.35,0.07,0.07,1384.0,52.0,52.0,2011ApJ...733..116B,2011ApJ...733..116B,TEP,0,52,0.18,34,43,42.3,13.03,11.1,0.1341,1.5,2457713.934,0.0005,3.2572124,1.2e-06,2022ExA....53..547K,0.299,0.012750437930830938,13.616616231018291,12.568616231018291,12.209616231018291,11.321616231018291,13.791616231018292,12.808383768981708,11.262383768981707,11.569383768981707,0.043358926882037165,1381.4339571748724,0.22559594291543483,470.36529727742504,2.0,0.09472816999041642,0.11291783708002442,8.460920721760441,0.22161623101829164,-0.22161623101829164,13.779516809297403,13.400243381080298,12.779805697336407,12.627289231018292,12.573732236199637,11.61299023155147,12.568616231018291,13.03,12.053188023098755,11.181191884490854,13.03,11.452912123888414
HAT-P-29,6140,30.0,30.0,0.25,0.08,0.08,1.206,0.049,0.054,1.272,0.032,0.044,4.311,0.026,0.020,0.586,0.049,0.039,0.104,0.021,0.018,0.06667,0.00091,0.00100,0.773,0.05,0.05,1.105,0.031,0.037,15.7,1.3,1.2,0.536,0.056,0.053,1281.0,23.0,26.0,2011ApJ...733..116B,2022A+A...664A.162M,TEP,2,12,31.46,51,46,43.5,11.9,10.3,0.1463,0.9,2455838.596462,0.00065,5.7233746,3.4e-06,2022A+A...664A.162M,0.591,0.007969319160594946,12.343716951160188,11.513716951160188,11.214716951160188,10.523716951160187,12.344716951160187,11.676283048839812,10.447283048839813,10.672283048839812,0.06665361890547364,1293.401491994402,0.22559594291543483,291.16418905001683,2.0,0.024576451804644038,0.08927104323684666,11.27059262465048,0.22371695116018842,-0.22371695116018664,12.15619372398754,12.201676423590749,11.704854525200417,11.617569951160188,11.602406738724955,10.627994834972254,11.513716951160188,11.9,11.020577474515829,10.373641524419906,11.9,10.35550744487227
HAT-P-30,6338,42.0,42.0,0.12,0.03,0.03,1.242,0.041,0.041,1.215,0.051,0.051,4.36,0.03,0.03,,,,0.035,0.024,0.024,0.0419,0.0005,0.0005,0.711,0.028,0.028,1.417,0.033,0.033,9.8,0.9,0.9,0.28,0.04,0.04,1630.0,42.0,42.0,2011ApJ...735...24J,2022MNRAS.513.3444B,TEP,8,15,47.98,5,50,12.3,10.36,9.15,0.09404,1.2,2457775.212778,7.7e-05,2.8106007,1.3e-07,2024MNRAS.530.2475Y,0.854,0.014363425670496466,10.757716951160187,9.997716951160188,9.720716951160187,9.088716951160187,10.736716951160187,10.421283048839813,9.293283048839813,9.492283048839813,0.04189669986103742,1645.8254126735458,0.22559594291543483,593.5400246920437,3.0,0.007876847039332727,0.1198475100721599,7.415512199667444,-0.0612830488398135,0.0612830488398135,10.45663600970183,10.639764423590748,10.182446525200417,10.118135951160188,10.117050458932205,9.137595047887373,9.997716951160188,10.36,9.512556855817268,9.221641524419907,10.36,8.825404813187816
HAT-P-31,6065,100.0,100.0,0.15,0.08,0.08,1.218,0.089,0.063,1.36,0.27,0.18,4.26,0.11,0.13,0.49,0.17,0.18,0.245,0.0045,0.0045,0.055,0.015,0.015,2.171,0.105,0.077,1.07,0.24,0.16,41.0,17.0,21.0,1.64,0.93,0.7,1450.0,230.0,110.0,2011AJ....142...95K,2011AJ....142...95K,TEP,18,6,9.0,26,25,36.0,11.66,10.08,0.214,0.51,2458169.941,0.0017,5.0052724,6.3e-06,2019A+A...622A..81M,0.57,0.006536731181863726,12.125716951160188,11.261716951160189,10.953716951160189,10.233716951160188,12.139716951160187,11.506283048839812,10.229283048839813,10.466283048839813,0.06115623746102593,1379.1553169472213,0.22559594291543483,126.20385681391508,2.0,-10.066409767195402,0.08085005369116167,8.696153354323618,0.15371695116018813,-0.15371695116018813,11.990258295416112,11.972632423590749,11.456058525200419,11.358792951160188,11.337870671367444,10.365517198465712,11.261716951160189,11.66,10.765283433614254,10.154641524419906,11.66,10.110540272016186
HAT-P-32,6269,64.0,64.0,-0.04,0.08,0.08,1.238,0.047,0.085,1.244,0.016,0.03,4.341,0.006,0.010,0.6435,0.0032,0.0032,0.0,,,0.03448,0.00048,0.00048,0.585,0.031,0.031,1.833,0.024,0.043,6.63,1.18,1.22,0.146,0.027,0.027,1836.0,28.0,12.0,2011ApJ...742...59H,2026MNRAS.545f2063M,TEP,2,4,10.27,46,41,16.2,11.29,9.99,0.12959,3.0,2454420.447196,5.1e-05,2.1500082,3e-08,2022AJ....164..220H,0.117,0.022927413091398934,11.713716951160187,10.913716951160188,10.624716951160186,9.959716951160187,11.701716951160186,11.320283048839812,10.136283048839813,10.349283048839812,0.03500581092158579,1802.0701232283595,0.22559594291543483,988.2063270946346,3.0,-1.5020675360545988,0.1514180078174288,5.96005524720296,-0.03028304883981292,0.03028304883981292,11.47494943827326,11.582546423590747,11.102184525200418,11.025099951160186,11.016335702455525,10.03963336863432,10.913716951160188,11.29,10.424217240771156,10.063141524419907,11.29,9.74966524234632
HAT-P-33,6446,88.0,88.0,0.07,0.08,0.08,1.375,0.04,0.04,1.637,0.034,0.034,4.15,0.01,0.01,,,,0.0,,,0.0499,0.0005,0.0005,0.762,0.101,0.101,1.686,0.045,0.045,6.6,1.0,1.0,0.15,0.02,0.02,1782.0,28.0,28.0,2011ApJ...742...59H,2011ApJ...742...59H,TEP,7,32,44.2,33,50,6.2,11.19,10.0,0.1839,1.2,2456035.13775,0.00027,3.47447472,8.8e-07,2017AJ....154...49W,0.325,0.011201822028215019,11.541716951160188,10.851716951160187,10.597716951160187,10.024716951160187,11.512716951160188,11.165283048839813,10.140283048839812,10.313283048839812,0.04992294387547777,1779.9091890304608,0.22559594291543483,963.5011689172688,2.0,-0.04595857875489024,0.10583866036668746,6.554737060452246,0.024716951160186795,-0.024716951160186795,11.127078295416114,11.44785242359075,11.030038525200418,10.989454951160187,11.003087075512518,10.018341037804925,10.851716951160187,11.19,10.374789082550933,10.070141524419906,11.19,9.665011632453487
HAT-P-34,6442,88.0,88.0,0.22,0.04,0.04,1.392,0.047,0.047,1.535,0.135,0.102,4.21,0.06,0.06,,,,0.441,0.032,0.032,0.0677,0.0008,0.0008,3.328,0.211,0.211,1.197,0.128,0.092,58.0,11.0,11.0,1.81,0.47,0.47,1520.0,60.0,60.0,2012AJ....144...19B,2012AJ....144...19B,TEP,20,12,46.88,18,6,17.5,10.16,9.25,0.1455,0.8,2458686.82646,0.00025,5.4526482,1.8e-06,2024ApJS..274...13S,0.336,0.006421587844034002,10.511716951160189,9.821716951160187,9.567716951160188,8.994716951160187,10.482716951160189,10.415283048839813,9.390283048839812,9.563283048839812,0.06769520600950026,1479.2080141434349,0.22559594291543483,93.5199091158524,2.0,0.007081728208446455,0.08013481043862275,9.483828624687996,-0.25528304883981257,0.25528304883981257,10.097078295416114,10.41785242359075,10.000038525200418,9.959454951160188,9.973087075512518,8.988341037804926,9.821716951160187,10.16,9.344789082550935,9.320141524419906,10.16,8.635011632453486
HAT-P-35,6178,45.0,45.0,0.12,0.03,0.03,1.236,0.048,0.048,1.435,0.084,0.084,4.21,0.04,0.04,,,,0.025,0.018,0.018,0.0498,0.0006,0.0006,1.054,0.033,0.033,1.332,0.098,0.098,14.8,2.1,2.1,0.41,0.08,0.08,1581.0,45.0,45.0,2012AJ....144...19B,2012AJ....144...19B,TEP,8,13,0.18,4,47,13.2,12.46,11.03,0.164,1.2,2456836.75811,0.00041,3.6466566,1.2e-06,2019A+A...622A..81M,0.357,0.009098620144859623,12.903716951160188,12.073716951160188,11.774716951160189,11.08371695116019,12.904716951160188,12.406283048839812,11.177283048839811,11.402283048839811,0.04975948988047073,1599.8128934628103,0.22559594291543483,381.20504205660706,2.0,0.08141184651727733,0.09538668746140429,7.462439966824579,0.053716951160188486,-0.05371695116019026,12.71619372398754,12.76167642359075,12.264854525200418,12.177569951160189,12.162406738724956,11.187994834972255,12.073716951160188,12.46,11.58057747451583,11.103641524419906,12.46,10.915507444872269
HAT-P-36,5620,40.0,40.0,0.25,0.09,0.09,1.03,0.042,0.042,1.041,0.016,0.016,4.416,0.011,0.011,0.913,0.027,0.027,0.0,0.095,0.0,0.02388,0.00032,0.00032,1.852,0.095,0.095,1.304,0.025,0.025,27.0,1.4,1.4,0.737,0.095,0.095,1788.0,15.0,15.0,2012AJ....144...19B,2015A+A...579A.136M,TEP,12,33,3.9,44,54,55.2,12.26,10.6,0.0923,1.9,2457402.22999,5e-05,1.32734697,0.0,2025AJ....169..342W,0.312,0.016570080200385924,12.877716951160188,11.785716951160188,11.415716951160187,10.482716951160187,13.104716951160189,12.377283048839812,10.765283048839812,11.089283048839812,0.02387125398912257,1789.605728696311,0.22559594291543483,236.31551303485278,3.0,0.03663825487095558,0.12872482355935053,4.932726107024666,-0.11728304883981266,0.11728304883981266,13.131714866844689,12.642020423590749,12.000350525200417,11.836106951160186,11.775511096237908,10.81726170339062,11.785716951160188,12.26,11.266118235890445,10.682641524419907,12.26,10.677535389444394
HAT-P-37,5500,100.0,100.0,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.059,0.077,4.52,0.05,0.05,,,,0.058,0.038,0.038,0.0379,0.0006,0.0006,1.169,0.103,0.103,1.178,0.077,0.07,21.0,3.0,3.0,0.67,0.14,0.14,1271.0,47.0,47.0,2012AJ....144...19B,2012AJ....144...19B,TEP,18,57,11.05,51,16,8.8,13.23,11.67,0.0971,2.1,2457625.530538,5.6e-05,2.79744121,1.5e-07,2022MNRAS.512.2062B,0.505,0.01905295232886224,13.872461550095968,12.731461550095968,12.349461550095969,11.367461550095967,14.156461550095969,13.532538449904033,11.846538449904033,12.188538449904033,0.03791278899613852,1275.5659483630288,0.22559594291543483,215.98059712413553,2.0,-0.03373267036572056,0.1380324321631052,9.292723717119447,-0.30253844990403245,0.30253844990403245,14.138713863811446,13.634165604762382,12.952571316220345,12.772815550095968,12.704540938697006,11.749005967607848,12.731461550095968,13.23,12.207283232913435,11.758269224952016,13.23,11.633534640235768
HAT-P-38,5330,100.0,100.0,0.06,0.1,0.1,0.886,0.044,0.044,0.923,0.096,0.067,4.45,0.08,0.08,,,,0.067,0.047,0.047,0.0523,0.0009,0.0009,0.267,0.02,0.02,0.825,0.092,0.063,9.8,1.8,1.8,0.44,0.12,0.12,1082.0,55.0,55.0,2012PASJ...64...97S,2012PASJ...64...97S,TEP,2,21,31.97,32,14,46.1,12.56,10.5,0.1267,1.2,2457491.87585,9e-05,4.6403293,1.7e-06,2019A+A...622A..81M,0.372827,0.008436753915361257,13.250716951160188,12.050716951160188,11.653716951160188,10.612716951160188,13.608716951160188,12.447283048839813,10.673283048839812,11.038283048839812,0.0522938108563195,1079.7823182526938,0.21081509449217808,393.99405320048555,2.0,0.011835327315323751,0.09185180409421068,12.184378918276968,0.11271695116018776,-0.11271695116018776,13.698212723987549,12.973975423590748,12.274695525200418,12.080775951160188,12.00290289416537,11.050753914955695,12.050716951160188,12.56,11.520770050807052,10.586641524419907,12.56,10.960222915377223
HAT-P-39,6340,100.0,100.0,0.19,0.1,0.1,1.404,0.051,0.051,1.625,0.081,0.062,4.16,0.03,0.03,,,,0.0,,,0.0509,0.0006,0.0006,0.599,0.099,0.099,1.571,0.108,0.081,5.9,1.3,1.3,0.14,0.03,0.03,1752.0,43.0,43.0,2012AJ....144..139H,2012AJ....144..139H,TEP,7,35,1.97,17,49,48.3,12.42,11.16,0.1745,1.1,2455208.7504,0.0012,3.5438744,1e-06,2023AcA....73..159M,0.349,0.009869985760732877,12.817716951160188,12.057716951160188,11.780716951160187,11.148716951160187,12.796716951160187,12.431283048839813,11.303283048839813,11.502283048839812,0.0509386894410789,1726.7336591569474,0.22559594291543483,1059.6698354946984,2.0,-0.07595295737564944,0.09934780199245918,6.735468753003615,-0.011283048839812793,0.011283048839812793,12.51663600970183,12.699764423590748,12.242446525200418,12.178135951160188,12.177050458932206,11.197595047887374,12.057716951160188,12.42,11.572556855817268,11.231641524419906,12.42,10.885404813187817
HAT-P-40,6080,100.0,100.0,0.22,0.1,0.1,1.512,0.045,0.109,2.206,0.061,0.061,3.93,0.02,0.02,,,,0.0,,,0.0608,0.0006,0.0015,0.615,0.038,0.038,1.73,0.062,0.062,5.13,0.35,0.35,0.11,0.01,0.01,1770.0,33.0,33.0,2012AJ....144..139H,2012AJ....144..139H,TEP,22,22,3.33,45,27,26.6,11.34,10.01,0.2557,0.4,2455813.17584,0.00054,4.457243,1e-05,2012AJ....144..139H,0.174,0.006494595042966906,11.805716951160187,10.941716951160188,10.633716951160189,9.913716951160188,11.819716951160187,11.436283048839812,10.159283048839812,10.396283048839813,0.060837027798928134,1765.450872805794,0.22559594291543483,1231.2447252787274,1.0,-0.060863918353332734,0.08058905039127155,5.926543547039572,-0.09628304883981187,0.09628304883981187,11.670258295416112,11.652632423590749,11.136058525200419,11.038792951160188,11.017870671367444,10.045517198465712,10.941716951160188,11.34,10.445283433614252,10.084641524419906,11.34,9.790540272016186
HAT-P-41,6390,94.0,43.0,0.21,0.1,0.1,1.418,0.047,0.047,1.772,0.024,0.044,4.14,0.02,0.02,0.297,0.015,0.026,0.0,,,0.0426,0.0005,0.0005,0.8,0.102,0.102,1.773,0.035,0.052,6.99,0.87,1.01,0.159,0.022,0.023,1937.0,42.0,19.0,2012AJ....144..139H,2026MNRAS.545f2063M,TEP,19,49,17.4,4,40,20.7,11.36,9.73,0.1704,0.8,2456600.29325,0.0005,2.69404861,9.2e-07,2020AJ....159..204W,0.222,0.010572091732114642,11.757716951160187,10.997716951160188,10.720716951160187,10.088716951160187,11.736716951160187,11.001283048839813,9.873283048839813,10.072283048839813,0.04256985905844704,1987.9932643657219,0.22559594291543483,988.8739279355427,3.0,0.0708034797850188,0.10282067755133031,5.1695089342919465,0.3587169511601864,-0.3587169511601864,11.45663600970183,11.639764423590748,11.182446525200417,11.118135951160188,11.117050458932205,10.137595047887373,10.997716951160188,11.36,10.512556855817268,9.801641524419907,11.36,9.825404813187816
HAT-P-42,5743,50.0,50.0,0.27,0.08,0.08,1.178,0.068,0.068,1.53,0.14,0.14,4.14,0.07,0.07,,,,0.0,0.2,0.0,0.0575,0.0011,0.0011,1.044,0.083,0.083,1.28,0.153,0.153,15.8,3.7,3.7,0.46,0.26,0.11,1428.0,60.0,60.0,2013A+A...558A..86B,2013A+A...558A..86B,TEP,9,1,22.66,6,5,50.0,12.17,10.63,0.168,0.8,2455952.5253,0.0015,4.641841,2.1e-06,2023AcA....73..159M,0.577,0.007391081042987136,12.744716951160187,11.715716951160188,11.361716951160188,10.493716951160188,12.896716951160187,12.306283048839813,10.790283048839813,11.089283048839812,0.05751508781486509,1428.324665133996,0.22559594291543483,322.52219156443033,2.0,-0.026232794625394806,0.08597139665602238,8.081273824219927,-0.1362830488398128,0.1362830488398128,12.882083438273263,12.533760423590747,11.925010525200417,11.778154951160188,11.72779743820682,10.765921040183777,11.715716951160188,12.17,11.202175763028064,10.710141524419907,12.17,10.596330959899893
HAT-P-43,5645,74.0,74.0,0.23,0.08,0.08,1.048,0.031,0.042,1.103,0.041,0.021,4.37,0.02,0.02,,,,0.0,0.29,0.0,0.0443,0.0004,0.0006,0.662,0.06,0.06,1.281,0.062,0.033,10.0,1.2,1.2,0.29,0.04,0.04,1361.0,25.0,25.0,2013A+A...558A..86B,2013A+A...558A..86B,TEP,8,35,42.18,10,12,24.0,13.36,11.76,0.1355,1.7,2456147.34248,0.0003,3.332683,1.9e-06,2019A+A...622A..81M,0.19,0.014243545960509224,13.940508309457435,12.883508309457435,12.522508309457436,11.625508309457436,14.125508309457436,13.494491690542564,11.935491690542564,12.245491690542565,0.04435299470032143,1357.449012795911,0.22559594291543483,485.6759595912603,2.0,-0.11948392815299433,0.11934632780487728,8.63637760308727,-0.13449169054256416,0.13449169054256416,14.009587747705782,13.744036913465361,13.0987315908323,12.940675309457436,12.88583852189267,11.92555003173319,12.883508309457435,13.36,12.367323778202081,11.847745845271282,13.36,11.772323808939184
HAT-P-44,5295,100.0,100.0,0.33,0.1,0.1,0.942,0.041,0.041,0.949,0.08,0.037,4.46,0.06,0.06,,,,0.044,0.052,0.052,0.0507,0.0007,0.0007,0.352,0.029,0.029,1.242,0.106,0.061,5.62,0.69,0.84,0.17,0.03,0.03,1108.0,51.0,32.0,2014AJ....147..128H,2014AJ....147..128H,TEP,14,12,34.56,47,0,52.9,13.21,11.28,0.1302,2.1,2456204.47794,0.00019,4.3011886,1e-06,2019A+A...622A..81M,0.172,0.018087629499522386,13.932011910166917,12.673011910166917,12.263011910166917,11.163011910166917,14.368011910166917,13.326988089833083,11.464988089833083,11.851988089833084,0.05073984566574297,1104.2255645798502,0.22559594291543483,703.5450739161288,2.0,-0.07852933965440329,0.13449025800972494,11.488019275549807,-0.1169880898330824,0.1169880898330824,14.407794606870809,13.649270126017607,12.90438773015235,12.693281910166917,12.607090200322357,11.657869419759228,12.673011910166917,13.21,12.13802584036052,11.372494044916541,13.21,11.59374360346674
HAT-P-45,6330,100.0,100.0,0.07,0.1,0.1,1.259,0.058,0.058,1.319,0.155,0.072,4.3,0.06,0.06,,,,0.049,0.063,0.063,0.0452,0.0007,0.0007,0.892,0.137,0.099,1.426,0.175,0.087,10.7,1.9,1.6,0.29,0.07,0.07,1652.0,90.0,52.0,2014AJ....147..128H,2014AJ....147..128H,TEP,18,17,29.4,-3,22,51.7,12.79,10.2,0.1436,1.5,2456502.84809,0.00033,3.1289923,1.4e-06,2019A+A...622A..81M,0.281,0.012342989132379273,13.187716951160187,12.427716951160187,12.150716951160186,11.518716951160187,13.166716951160186,11.471283048839812,10.343283048839812,10.542283048839812,0.045208291011336374,1648.7331141631514,0.22559594291543483,550.9532471621073,2.0,-0.018339581415050144,0.11109900599185968,7.36880472805819,1.3187169511601873,-1.3187169511601873,12.88663600970183,13.069764423590748,12.612446525200417,12.548135951160187,12.547050458932205,11.567595047887373,12.427716951160187,12.79,11.942556855817267,10.271641524419906,12.79,11.255404813187816
HAT-P-46,6120,100.0,100.0,0.3,0.1,0.1,1.284,0.095,0.095,1.396,0.293,0.136,4.25,0.11,0.11,,,,0.123,0.12,0.12,0.0577,0.0014,0.0009,0.493,0.082,0.052,1.284,0.271,0.133,7.3,1.9,1.5,0.21,0.08,0.08,1458.0,140.0,75.0,2014AJ....147..128H,2014AJ....147..128H,TEP,18,1,46.56,-2,58,15.4,11.94,9.93,0.1291,1.0,2455969.12547,0.00044,4.4631365,5e-06,2019A+A...622A..81M,0.626,0.008933673939111859,12.383716951160187,11.553716951160187,11.254716951160187,10.563716951160186,12.384716951160186,11.306283048839811,10.077283048839812,10.302283048839811,0.057661814479146874,1452.0557030506175,0.22559594291543483,712.7268920757879,2.0,0.0662232383737026,0.09451811434382226,8.887790388388682,0.6337169511601886,-0.6337169511601868,12.19619372398754,12.241676423590748,11.744854525200417,11.657569951160188,11.642406738724954,10.667994834972253,11.553716951160187,11.94,11.060577474515828,10.003641524419905,11.94,10.395507444872267
HAT-P-47,6703,50.0,50.0,0.0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,4.22,0.02,0.02,,,,0.0,0.202,0.0,0.0615,0.0006,0.0006,0.206,0.039,0.039,1.313,0.045,0.045,2.95,0.52,0.66,0.083,0.015,0.015,1605.0,22.0,22.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,33,13.97,30,21,37.8,10.69,9.4,0.1287,0.8,2458387.36996,0.00024,4.73217441,5.5e-07,arXiv:2605.29445,0.794,0.007931860602990266,10.992716951160187,10.381716951160188,10.154716951160188,9.642716951160187,10.976716951160187,10.447283048839813,9.537283048839813,9.684283048839813,0.061518513436995735,1604.0057375473084,0.22559594291543483,1941.5183629783003,2.0,-0.030094090317537577,0.08906099372334819,8.729028101477677,0.24271695116018677,-0.24271695116018677,10.476202581130394,10.920462423590749,10.552028525200418,10.539785951160187,10.570695277585058,9.579715231405297,10.381716951160188,10.69,9.914310612142298,9.468641524419906,10.69,9.177883527800331
HAT-P-48,5946,50.0,50.0,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,4.3,0.03,0.03,,,,0.0,0.378,0.0,0.0543,0.0007,0.0007,0.168,0.024,0.024,1.131,0.054,0.054,3.24,0.57,0.48,0.106,0.023,0.015,1361.0,25.0,25.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,57,53.03,30,37,32.5,12.16,10.26,0.1411,1.0,2455839.21023,0.00029,4.40865,8e-06,arXiv:1606.04556,0.281,0.009031152637548308,12.669716951160188,11.737716951160188,11.409716951160188,10.633716951160189,12.727716951160188,11.786283048839811,10.413283048839812,10.675283048839812,0.05430120856087631,1360.7134681720115,0.22559594291543483,1498.9998752816675,1.0,-0.0022256611009888938,0.09503237678574765,9.547216723557428,0.37371695116018877,-0.37371695116018877,12.638387438273256,12.49454442359075,11.938466525200418,11.819732951160189,11.786012743906301,10.818223527140912,11.737716951160188,12.16,11.233901239623247,10.336641524419907,12.16,10.599979498756593
HAT-P-49,6820,52.0,52.0,0.074,0.08,0.08,1.543,0.051,0.051,1.833,0.138,0.076,4.1,0.04,0.04,,,,0.0,0.192,0.0,0.0438,0.0005,0.0005,1.73,0.205,0.205,1.413,0.128,0.077,21.4,3.7,3.2,0.57,0.13,0.13,2131.0,69.0,42.0,2014AJ....147...84B,2014AJ....147...84B,TEP,20,21,45.93,26,41,33.7,10.21,9.35,0.1712,0.8,2459422.24182,0.0002,2.6915575,1.5e-06,2024ApJS..274...13S,0.34,0.006275239135086576,10.49771695116019,9.91071695116019,9.691716951160188,9.198716951160188,10.48971695116019,10.361283048839812,9.486283048839812,9.626283048839813,0.043758685460736135,2128.4662659885034,0.22559594291543483,355.3515041472309,2.0,0.09441448898398498,0.07921640698167631,5.138247909639928,-0.15128304883981158,0.15128304883981158,9.949225581130412,10.432245423590748,10.078625525200419,10.074809951160189,10.110838448569513,9.118006467707325,9.91071695116019,10.21,9.446102427405258,9.418141524419905,10.21,8.701579862975317
HAT-P-50,6280,49.0,49.0,-0.18,0.08,0.08,1.273,0.049,0.115,1.698,0.071,0.071,4.072,0.037,0.037,0.253,0.026,0.026,0.0,0.115,0.0,0.0453,0.00058,0.00140,1.35,0.073,0.073,1.288,0.064,0.064,20.0,1.8,1.7,0.59,0.08,0.08,1862.0,34.0,34.0,2015AJ....150..168H,2015AJ....150..168H,TEP,7,52,15.2,12,8,21.9,11.76,10.5,0.1531,0.6,2456285.91105,0.0006,3.1220045,7e-07,2023AcA....73..159M,0.629,0.006076132571452445,12.183716951160187,11.383716951160189,11.094716951160187,10.429716951160188,12.171716951160187,11.830283048839812,10.646283048839813,10.859283048839812,0.04530766366782967,1853.8558021467577,0.22559594291543483,332.2294771340656,2.0,-0.016914727463894948,0.07794955145125881,5.736723587677154,-0.07028304883981207,0.07028304883981207,11.94494943827326,12.052546423590748,11.572184525200418,11.495099951160187,11.486335702455523,10.50963336863432,11.383716951160189,11.76,10.894217240771157,10.573141524419906,11.76,10.21966524234632
HAT-P-51,5453,31.0,32.0,0.302,0.052,0.059,0.961,0.04,0.036,0.995,0.013,0.013,4.4256,0.0069,0.0073,0.978,0.009,0.014,0.0,0.123,0.0,0.05042,0.00068,0.00065,0.307,0.021,0.02,1.205,0.017,0.016,5.25,0.33,0.32,0.164,0.011,0.011,1168.0,7.0,7.0,2015AJ....150..168H,2024MNRAS.528.1930K,TEP,1,24,15.66,32,48,38.8,13.44,11.61,0.1403,2.0,2458349.53123,0.00014,4.21802091,6.6e-07,2024MNRAS.528.1930K,0.277,0.015488124071415997,14.074756509102697,12.933756509102697,12.551756509102697,11.569756509102696,14.358756509102697,13.480243490897303,11.794243490897303,12.136243490897304,0.050418137505041344,1168.1185930606023,0.22559594291543483,793.9113688150757,2.0,0.0036940971063627068,0.12445129196362727,10.896403305436193,-0.0402434908973035,0.0402434908973035,14.27152146098044,13.851200307189236,13.156923521172276,12.975110509102697,12.906835897703735,11.951300926614579,12.933756509102697,13.44,12.409578191920163,11.70212174544865,13.44,11.837595644684052
HAT-P-52,5131,50.0,50.0,0.28,0.08,0.08,0.887,0.027,0.027,0.893,0.047,0.047,4.483,0.051,0.051,1.24,0.21,0.21,0.0,0.047,0.0,0.03694,0.00038,0.00038,0.818,0.029,0.029,1.009,0.072,0.072,19.8,3.2,2.7,0.74,0.16,0.16,1218.0,37.0,37.0,2015AJ....150..168H,2015AJ....150..168H,TEP,2,50,53.2,29,1,20.6,14.07,11.62,0.1003,1.8,2456645.13981,0.00032,2.7535965,1.1e-06,2019A+A...622A..81M,0.461,0.013481875161332011,14.791641386122883,13.484641386122883,13.061641386122885,11.910641386122885,15.293641386122884,13.779358613877116,11.839358613877115,12.244358613877115,0.03694150552679336,1216.476564113436,0.22559594291543483,219.51822367026432,2.0,-0.004075434316735839,0.11611147730234084,8.895059160660727,0.2906413861228838,-0.2906413861228856,15.057483681058807,14.553432414469809,13.728932136028073,13.495122386122883,13.400612023428586,12.454313561574082,13.484641386122883,14.07,12.94457914945362,11.729679306938557,14.07,12.4191107761893
HAT-P-53,5956,50.0,50.0,0.0,0.08,0.08,1.093,0.043,0.043,1.209,0.081,0.062,4.31,0.043,0.043,0.62,0.09,0.09,0.0,0.134,0.0,0.03159,0.00042,0.00042,1.484,0.056,0.056,1.318,0.091,0.091,21.1,2.9,2.5,0.6,0.11,0.11,1778.0,48.0,48.0,2015AJ....150..168H,2015AJ....150..168H,TEP,1,27,29.05,38,58,5.3,13.73,12.1,0.1164,1.5,2458771.88605,0.00028,1.96162529,3.5e-07,2024MNRAS.530.2475Y,0.38,0.012550155459026891,14.212749307683739,13.280749307683738,12.952749307683739,12.176749307683739,14.270749307683738,13.653250692316261,12.280250692316262,12.542250692316262,0.03159055618753323,1776.7343601770488,0.22559594291543483,300.70301532998127,2.0,-0.0017606132982561106,0.11202747635748514,5.61858213203689,0.07674930768373933,-0.07674930768373933,13.938214028364694,14.089165882084748,13.48869924253218,13.36276530768374,13.329045100429852,12.36125588366446,13.280749307683738,13.73,12.776933596146797,12.19012534615813,13.73,12.149361094078552
