Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,Mp_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag
CoRoT-08,5080,80.0,80.0,0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,0.0,,,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870.0,14.0,14.0,2010A+A...520A..66B,2019MNRAS.483..824R,TEP,19,26,21.24,1,25,35.2,14.76,11.46,0.114,0.7,2454239.03317,0.00049,6.212445,7e-06,2019MNRAS.483..824R,0.49,0.006290764801694407,15.502324822859277,14.122324822859277,13.680324822859276,12.454324822859277,16.102324822859277,13.765675177140723,11.709675177140724,12.141675177140725,0.06361773807342962,869.7512916660274,0.1381739786063517,220.18545231363902,2.0,-0.02788227618080199,0.07931434171506693,17.05242531252722,0.9943248228592765,-0.9943248228592765,15.64049678604261,15.29119743672948,14.38058409515585,14.118498822859276,14.011830429076893,13.069792463209987,14.122324822859277,14.76,13.574776820409998,11.584837588570362,14.76,13.072063935343678
CoRoT-09,5613,36.0,36.0,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420.0,16.0,16.0,2010Natur.464..384D,2017A+A...603A..43B,TEP,18,43,8.81,6,12,15.2,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,6.8e-05,2017A+A...603A..43B,0.01,0.013020954759401014,14.282400387896582,13.190400387896581,12.82040038789658,11.88740038789658,14.509400387896582,13.492599612103419,11.880599612103419,12.204599612103419,0.40272548172569256,417.8875203607187,0.22559594291543483,82.35052725788621,2.0,-0.1553121801511874,0.11410939820803988,90.06711436992417,0.19740038789658065,-0.19740038789658065,14.308082686114203,14.09513444585042,13.411793484328193,13.240790387896581,13.180194532974298,12.221945140127012,13.190400387896581,13.69,12.670801672626839,11.78529980605171,13.69,12.088060445223304
CoRoT-10,5075,75.0,75.0,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78.0,14.0,14.0,3.13,0.88,0.88,647.0,24.0,24.0,2010A+A...520A..65B,2011MNRAS.417.2166S,TEP,19,24,15.29,0,44,46.1,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,2010A+A...520A..65B,0.85,0.016938404738600407,15.94526366065989,14.565263660659891,14.123263660659891,12.897263660659892,16.54526366065989,14.102736339340108,12.046736339340109,12.47873633934011,0.10590938289717725,648.1813522651056,0.22559594291543483,29.60043951991799,2.0,0.08556097707672194,0.13014762671136346,30.677534994721466,1.1172636606598925,-1.1172636606598925,15.929570751202492,15.76677427781752,14.8280782632637,14.561437660659891,14.454769266877507,13.512731301010602,14.565263660659891,15.22,14.017715658210612,11.913368169670054,15.22,13.518584913950043
CoRoT-11,6343,72.0,72.0,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,0.0,,,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735.0,34.0,34.0,2010A+A...524A..55G,2011MNRAS.417.2166S,TEP,18,42,44.95,5,56,15.7,12.8,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,2.1e-05,2012A+A...543L...5G,0.818,0.011374608881058549,13.197716951160189,12.437716951160189,12.160716951160188,11.528716951160188,13.176716951160188,12.521283048839813,11.393283048839812,11.592283048839812,0.04391329138288457,1710.8950934735126,0.22559594291543483,217.24165407036534,3.0,0.19745415200014177,0.10665181142886673,6.886037008372703,0.27871695116018813,-0.27871695116018813,12.896636009701831,13.079764423590749,12.622446525200418,12.558135951160189,12.557050458932206,11.577595047887375,12.437716951160189,12.8,11.952556855817267,11.321641524419906,12.8,11.265404813187818
CoRoT-12,5675,80.0,80.0,0.16,0.1,0.1,1.0,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.030,0.866,0.084,0.078,0.0,,,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417.0,20.0,20.0,2010A+A...520A..97G,2019MNRAS.483..824R,TEP,6,43,3.76,-1,17,47.1,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,6.5e-07,2019MNRAS.483..824R,0.609,0.017334784527563388,16.01525645924093,14.96725645924093,14.60825645924093,13.72025645924093,16.19025645924093,15.35974354075907,13.813743540759068,14.120743540759069,0.03913795957427267,1416.7323722643737,0.22559594291543483,421.3830729493117,2.0,0.15851727172846783,0.1316616289112488,8.035520021244489,0.16025645924093013,-0.16025645924093013,15.354235461443896,15.973654852713029,15.202838984623602,15.025929459240931,14.972372464422277,14.011630459774107,14.96725645924093,15.52,14.451828251321395,13.686871770379534,15.52,13.872249421563822
CoRoT-13,5945,90.0,90.0,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.040,0.526,0.072,0.072,0.0,,,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432.0,39.0,39.0,2010A+A...522A.110C,2011MNRAS.417.2166S,TEP,6,50,53.07,-5,5,11.1,15.04,13.38,0.1308,1.0,2454790.8105,0.0023,4.0350906,5.5e-06,2021FrASS...8..210K,0.374,0.010198603048026786,15.474867981511265,14.542867981511264,14.214867981511265,13.438867981511265,15.532867981511265,14.981132018488735,13.608132018488735,13.870132018488736,0.0509861225618633,1432.992369937485,0.22559594291543483,246.8659284110805,3.0,0.027218069230226342,0.10098813320398979,8.608037628883775,0.05886798151126449,-0.05886798151126449,14.768518382200503,15.442881532880214,14.763602230447757,14.624883981511266,14.591163774257378,13.623374557491989,14.542867981511264,15.04,14.039052269974324,13.494066009244367,15.04,13.422458785692898
CoRoT-14,6035,100.0,100.0,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,0.0,,,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183.0,27.0,27.0,6.8,1.5,1.5,1936.0,95.0,95.0,2011A+A...528A..97T,2011MNRAS.417.2166S,TEP,6,53,41.8,-5,32,9.7,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,2011A+A...528A..97T,0.86,0.007728096205534031,16.3845442168287,15.520544216828702,15.212544216828702,14.492544216828701,16.3985442168287,15.3474557831713,14.070455783171301,14.307455783171301,0.026815466640151834,1938.6141283740635,0.22559594291543483,37.75224171268634,2.0,0.2033653211408698,0.08790959108956219,4.85538993518287,0.6825442168287008,-0.6825442168287008,15.246482197425706,16.444133130035397,15.744568910935438,15.617620216828701,15.596697937035957,14.624344464134225,15.520544216828702,16.03,15.024110699282765,13.94022789158565,16.03,14.39502961820761
CoRoT-16,5650,100.0,100.0,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,,,,0.33,0.16,0.11,,,,2012A+A...541A.149O,2012A+A...541A.149O,TEP,18,34,5.93,-6,0,9.3,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.0002,2012A+A...541A.149O,0.825,0.010208188651189718,16.127403938744298,15.070403938744295,14.709403938744297,13.812403938744296,16.312403938744296,14.667596061255704,13.108596061255705,13.418596061255705,0.061777828600253895,1195.7459170725185,0.22559594291543483,,1.0,0.035888926898953094,0.10103558111472274,11.167216151630122,0.9624039387442966,-0.9624039387442966,15.44701254574268,16.08991120392646,15.30781608709957,15.127570938744297,15.07273415117953,14.11244566102005,15.070403938744295,15.63,14.554219407488942,12.979298030627852,15.63,13.977916465646748
CoRoT-17,5740,80.0,80.0,0.0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,0.0,,,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60.0,13.0,27.0,2.26,0.77,1.35,1610.0,210.0,70.0,2011A+A...531A..41C,2012MNRAS.426.1291S,TEP,18,34,47.82,-6,36,44.0,15.46,12.47,0.197,0.44,2454923.3093,0.0036,3.7681,0.0003,2011A+A...531A..41C,0.18,0.004080372375529457,15.944457899524725,14.915457899524723,14.561457899524724,13.693457899524724,16.096457899524726,14.236542100475278,12.720542100475278,13.019542100475277,0.04805990407327508,1606.9828713096633,0.22559594291543483,95.75536308375325,2.0,0.08342906108131895,0.06387779250670343,6.384596720835396,1.223457899524723,-1.223457899524723,15.267829576538478,15.906166937733929,15.148850640351622,14.977895899524723,14.927538386571356,13.965661988548314,14.915457899524723,15.46,14.4019167113926,12.595271050237638,15.46,13.816592698582955
CoRoT-18,5440,100.0,100.0,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,0.0,,,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487.0,19.0,19.0,2011A+A...533A.130H,2019MNRAS.483..824R,TEP,6,32,41.36,0,1,53.7,15.0,13.01,0.0995,2.0,2455321.72565,0.00024,1.90009,5e-07,2019MNRAS.483..824R,0.4,0.01778765570720366,15.577519061724109,14.436519061724109,14.05451906172411,13.072519061724108,15.86151906172411,14.937480938275892,13.251480938275892,13.593480938275892,0.028770684143656258,1453.2403732234761,0.22559594291543483,86.003135733236,2.0,0.10189488785655068,0.1333703704246324,7.013506323116389,0.06251906172410848,-0.06251906172410848,15.258092182807147,15.463458096645889,14.674968472243773,14.47787306172411,14.409598450325147,13.45406347923599,14.436519061724109,15.0,13.912340744541575,13.130740469137946,15.0,13.353178041911223
