System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
TOI-954,TEP,04,07,45.85,-25,12,31.7,10.34,8.78,0.212,0.2,2458411.90651,0.00081,3.6849729,0.0000028,2021AJ....161...82S
TOI-969,TEP,07,40,32.84,+02,05,56.1,11.65,8.88,0.0633,0.14,2459248.37709,0.00038,1.8237305,0.0000021,2023A+A...669A.109L
TOI-1054,TEP,20,08,27.40,-54,19,02.8,8.93,7.58,0.21,0.05,2458664.9718,0.0015,15.507612,0.000038,2023A+A...675A.183C
TOI-1062,TEP,02,32,28.48,-78,01,25.6,10.25,8.30,0.06,0.04,2459082.58,0.09,4.11412,0.0015,2021A+A...653A.105O
TOI-1064b,TEP,19,44,00.95,-47,33,41.8,10.95,8.47,0.0825,0.1,2459036.85340,0.00057,6.443868,0.000025,2022MNRAS.511.1043W
TOI-1064c,TEP,19,44,00.95,-47,33,41.8,10.95,8.47,0.0987,0.1,2459043.51289,0.00068,12.226574,0.000045,2022MNRAS.511.1043W
TOI-1075,TEP,20,39,53.08,-65,26,59.0,12.75,9.12,0.06,0.1,2458654.2510,0.0045,0.6047328,0.0000032,2023AJ....165...47E
TOI-1080,TEP,18,25,28.40,-52,12,52.5,15.35,10.17,0.0373,0.3,2459756.40002,0.00031,3.9652482,0.0000015,2026MNRAS.548ag438C
TOI-1107,TEP,10,22,25.82,-82,13,08.0,10.55,9.32,0.20,0.5,2459385.0123,0.0002,4.0782387,0.0000024,2022A+A...664A..94P
TOI-1117b,TEP,18,14,24.49,-66,25,11.9,11.02,9.39,0.11,0.05,2459386.964,0.004,2.22816,0.00001,2025MNRAS.541..919L
TOI-1130b,TEP,19,05,30.24,-41,26,15.5,11.37,8.35,0.096,0.3,2458658.7405,0.0013,4.07445,0.00046,2023A+A...675A.115K
TOI-1130c,TEP,19,05,30.24,-41,26,15.5,11.37,8.35,0.0842,1.6,2458657.90322,0.00030,8.350231,0.000098,2023A+A...675A.115K
TOI-1135,TEP,12,53,34.92,+85,07,46.1,9.57,8.19,0.1859,0.05,2460466.30793,0.00018,8.0277327,0.0000019,arXiv:2510.20740
TOI-1136b,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.09,0.03,2458692.6029,0.0085,4.17278,0.00021,2023AJ....165...33D
TOI-1136c,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.15,0.08,2458720.0034,0.0018,6.25725,0.00021,2023AJ....165...33D
TOI-1136d,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.17,0.22,2459424.6430,0.0010,12.51937,0.00039,2023AJ....165...33D
TOI-1136e,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.18,0.06,2458885.7918,0.0044,18.7992,0.0016,2023AJ....165...33D
TOI-1136f,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.20,0.15,2457699.3854,0.0018,26.3162,0.0067,2023AJ....165...33D
TOI-1136g,TEP,12,48,44.38,+64,51,19.0,9.53,8.03,0.23,0.06,2459621.3499,0.0027,39.5387,0.0033,2023AJ....165...33D
TOI-1173,TEP,13,10,43.76,+70,46,06.3,11.04,9.13,0.108,0.6,2458702.8444,0.0023,7.06466,0.00029,2024AJ....168...91G
TOI-1181,TEP,19,48,51.81,+64,21,15.7,10.58,9.22,0.1690,0.6,2458684.4058,0.0017,2.103195,0.000012,2022MNRAS.513.5955K
TOI-1194,TEP,11,11,16.91,+69,57,52.9,11.19,9.34,0.0702,0.7,2459632.28801,0.00015,2.310644,0.000001,2024RAA....24c5012W
TOI-1199,TEP,11,07,31.37,+61,21,09.8,11.07,9.47,0.10,0.4,2459420.5376,0.0004,3.671463,0.000003,2024A+A...684A...6S
TOI-1201,TEP,02,48,59.27,-14,32,14.9,12.66,8.65,0.062,0.25,2459169.23222,0.0005,2.4919863,0.0000031,2021A+A...656A.124K
TOI-1221,TEP,07,11,41.04,-65,30,32.5,10.49,9.04,0.34,0.1,2458404.1791,0.0033,91.68278,0.00048,2023AJ....165..217M
TOI-1224b,TEP,02,28,46.41,-80,53,57.1,13.95,9.13,0.3,0.23,2458327.70236,0.00055,4.1782745,0.0000022,2024AJ....168...41T
TOI-1224c,TEP,02,28,46.41,-80,53,57.1,13.95,9.13,0.1,0.4,2458329.85970,0.00083,17.945466,0.000012,2024AJ....168...41T
TOI-1227,TEP,12,27,04.32,-72,27,06.4,17.19,11.03,0.1980,2.5,2460067.6622,0.0027,27.36155,0.00015,2024A+A...683A..96A
TOI-1231,TEP,10,26,59.34,-52,28,04.2,12.32,8.07,0.1350,0.5,2458563.88838,0.00058,24.245586,0.000065,2021AJ....162...87B
TOI-1232b,TEP,07,46,00.34,-61,52,47.7,12.68,10.70,0.17,0.8,2458985.9024,0.0044,14.256,0.001,arXiv:2603.18395
TOI-1235,TEP,10,08,51.81,+69,16,35.6,11.50,7.89,0.078,0.05,2458683.6155,0.0016,3.444717,0.000041,2020A+A...639A.132B
TOI-1238b,TEP,13,25,31.76,+68,50,09.8,12.80,9.18,0.0467,0.04,2458684.1022,0.0031,0.764596,0.000015,2022A+A...658A.138G
TOI-1238c,TEP,13,25,31.76,+68,50,09.8,12.80,9.18,0.0733,0.11,2458707.3521,0.0019,3.294733,0.000044,2022A+A...658A.138G
TOI-1243,TEP,09,02,55.82,+71,38,11.3,13.43,8.88,0.04,0.2,2459369.83103,0.00028,4.6594779,0.0000044,2026A+A...707A.106P
TOI-1246b,TEP,16,44,27.96,+70,25,46.7,11.63,9.91,0.09,0.10,2458686.5658,0.0010,4.30744,0.00002,2022AJ....163..293T
TOI-1246c,TEP,16,44,27.96,+70,25,46.7,11.63,9.91,0.11,0.03,2458683.4661,0.0027,5.904144,0.000083,2022AJ....163..293T
TOI-1246d,TEP,16,44,27.96,+70,25,46.7,11.63,9.91,0.16,0.13,2458688.9653,0.0090,18.65590,0.00048,2022AJ....163..293T
TOI-1246e,TEP,16,44,27.96,+70,25,46.7,11.63,9.91,0.16,0.15,2458700.7134,0.0089,37.9216,0.0010,2022AJ....163..293T
TOI-1259,TEP,18,48,24.07,+79,15,21.8,12.08,9.72,0.10314,2.7,2458686.70048,0.00004,3.4779792,0.0000001,2026A+A...708A.272V
TOI-1260b,TEP,10,28,34.56,+65,51,15.1,11.88,8.95,0.086,0.1,2459065.56427,0.00040,3.127463,0.000006,2023MNRAS.519.1437L
TOI-1260c,TEP,10,28,34.56,+65,51,15.1,11.88,8.95,0.082,0.2,2459068.27051,0.00058,7.493134,0.000020,2023MNRAS.519.1437L
TOI-1260d,TEP,10,28,34.56,+65,51,15.1,11.88,8.95,0.133,0.2,2459062.0174,0.0013,16.608164,0.000083,2023MNRAS.519.1437L
TOI-1266b,TEP,13,11,59.18,+65,50,01.3,12.94,8.84,0.0879,0.28,2459660.64605,0.00055,10.894841,0.000011,2024MNRAS.527.5464C
TOI-1266c,TEP,13,11,59.18,+65,50,01.3,12.94,8.84,0.0767,0.13,2459648.84710,0.00095,18.801611,0.000053,2024MNRAS.527.5464C
TOI-1268,TEP,13,13,33.41,+62,18,19.6,10.92,9.41,0.18,1.0,2458703.5895,0.0003,8.157728,0.0000005,2022ApJ...926L...7D
TOI-1272,TEP,13,16,47.18,+49,51,39.7,11.76,9.70,0.06338,0.2,2458713.03098,0.00040,3.3159765,0.0000015,arXiv:2606.21625
TOI-1273,TEP,14,16,29.01,+58,23,24.9,11.01,9.42,0.07,0.5,2458712.3468,0.0004,4.631296,0.000003,2024A+A...684A...6S
TOI-1278,BD,21,21,54.95,+35,38,55.7,13.51,9.74,0.08,1.0,2458711.9595,0.0013,14.47567,0.000021,2021AJ....162..144A
TOI-1288b,TEP,20,52,39.98,+65,36,32.7,10.44,9.78,0.11,0.3,2458712.3587,0.0002,2.699835,0.000004,2023MNRAS.519.5637K
TOI-1294,TEP,14,52,22.29,+70,28,35.6,11.31,9.96,0.15,0.06,2459393.0110,0.0033,3.91529,0.00001,arXiv:2402.07893
TOI-1295,TEP,17,06,41.35,+67,52,17.3,11.30,10.08,0.257,0.7,2459913.37999,0.00020,3.1968838,0.0000005,2024A+A...692A.220E
TOI-1296,TEP,17,07,05.02,+70,14,18.6,11.37,9.74,0.19,0.7,2458930.75532,0.00019,3.9443715,0.0000058,2021A+A...653A.147M
TOI-1298,TEP,16,05,17.61,+70,11,23.5,11.89,10.01,0.16,0.4,2458929.58558,0.00031,4.537164,0.000012,2021A+A...653A.147M
TOI-1333,TEP,21,40,03.50,+48,24,24.5,9.49,8.27,0.1934,0.6,2458913.37033,0.00045,4.720219,0.000011,2021AJ....161..194R
TOI-1338,CBP,06,08,31.97,-59,32,28.1,12.00,10.64,0.4,0.2,2458341.43,0.76,95.4001,0.0059,2024AJ....168...31W
TOI-1346b,TEP,17,06,29.44,+68,50,35.9,11.69,9.38,0.12,0.08,2459771.72743,0.00046,5.502558,0.000015,2025AJ....170..148G
TOI-1346c,TEP,17,06,29.44,+68,50,35.9,11.69,9.38,0.035,0.06,2459978.0239,0.0022,1.7622538,0.0000047,2025AJ....170..148G
TOI-1347b,TEP,18,41,18.42,+70,17,24.2,11.17,9.62,0.04,0.04,2458682.71214,0.000060,0.84742346,0.00000061,2024AJ....167..153R
TOI-1347c,TEP,18,41,18.42,+70,17,24.2,11.17,9.62,0.10,0.03,2458678.5059,0.0021,4.841962,0.000012,2024AJ....167..153R
TOI-1386,TEP,22,18,00.98,+54,19,08.0,10.51,9.09,0.2363,0.3,2458752.322,0.003,25.83843,0.00005,arXiv:2603.23713
TOI-1406,BD,05,28,30.71,-48,24,32.6,12.07,10.68,0.18,0.43,2458435.7545,0.0012,10.57398,0.00060,2020AJ....160...53C
TOI-1408b,TEP,20,54,02.62,+72,34,49.9,9.27,8.08,0.069,0.25,2458740.8581,0.0002,4.42587,0.00003,2024ApJ...971L..28K
TOI-1408c,TEP,20,54,02.62,+72,34,49.9,9.27,8.08,0.111,0.02,2458739.847,0.004,2.1664,0.0001,2024ApJ...971L..28K
TOI-1416,TEP,14,27,41.77,+41,57,12.3,9.98,7.71,0.06,0.04,2458739.4621,0.0008,1.0697568,0.0000028,2023A+A...677A..12D
TOI-1420,TEP,21,31,45.92,+66,20,55.9,11.65,10.12,0.1405,1.5,2459517.43305,0.00012,6.9561063,0.0000017,2023AJ....166..181Y
TOI-1422b,TEP,23,36,57.89,+39,38,21.8,10.62,9.19,0.186,0.1,2458745.9405,0.0022,12.99894,0.00003,2026MNRAS.545f2030N
TOI-1422c,TEP,23,36,57.89,+39,38,21.8,10.62,9.19,0.255,0.07,2458756.3525,0.0060,34.5633,0.0002,2026MNRAS.545f2030N
TOI-1430,TEP,20,02,27.41,+53,22,36.5,9.19,7.08,0.1114,0.06,2458705.64614,0.00061,7.4341325,0.0000043,2025A+A...693A..32N
TOI-1431,TEP,21,04,48.89,+55,35,16.9,8.05,7.44,0.10,0.6,2458739.17736,0.00007,2.65022,0.00001,2021AJ....162..292A
TOI-1437,TEP,17,04,33.28,+56,50,33.5,9.17,7.82,0.27,0.03,2459360.1652,0.0012,18.840942,0.000064,2024AJ....168..135P
TOI-1438b,TEP,18,43,41.71,+47,56,16.2,10.96,9.09,0.0433,0.09,2458683.6256,0.0007,5.139670,0.000003,2025A+A...702A..69P
TOI-1438c,TEP,18,43,41.71,+47,56,16.2,10.96,9.09,0.0696,0.08,2458689.9136,0.0014,9.428089,0.000001,2025A+A...702A..69P
TOI-1439,TEP,16,07,03.35,+67,52,39.8,10.55,9.05,0.25,0.3,2458703.4752,0.0023,27.643927,0.000090,arXiv:2402.07893
TOI-1442,TEP,19,09,10.11,+74,10,27.6,15.39,10.09,0.0271,0.1,2458683.45192,0.00035,0.4090682,0.0000004,2023A+A...673A..32M
TOI-1444,TEP,20,21,53.98,+70,56,37.3,10.94,9.06,0.058,0.02,2458711.3676,0.0016,0.4702694,0.0000044,2021AJ....162...62D
TOI-1448,TEP,21,05,17.76,+57,46,15.9,15.68,10.77,0.09,0.4,2458713.3375,0.0015,8.112245,0.000018,2024AJ....167..289H
TOI-1452,TEP,19,20,41.75,+73,11,42.4,14.35,10.03,0.08,0.3,2458691.5231,0.0015,11.06201,0.00002,2022AJ....164...96C
TOI-1453b,TEP,17,12,53.72,+57,11,52.0,11.11,8.69,0.0833,0.02,2459392.90013,0.00088,4.313523,0.000011,2025A+A...696A..86S
TOI-1453c,TEP,17,12,53.72,+57,11,52.0,11.11,8.69,0.0781,0.08,2459395.38133,0.00039,6.5886982,0.0000041,2025A+A...696A..86S
TOI-1467,TEP,01,16,27.51,+49,13,59.3,12.29,8.57,0.063,0.12,2458766.9895,0.0008,5.971143,0.000006,2024PASA...41...30M
TOI-1468b,TEP,01,06,36.93,+19,13,29.6,12.50,8.50,0.045,0.1,2458765.68079,0.00070,1.8805136,0.0000025,2022A+A...666A.155C
TOI-1468c,TEP,01,06,36.93,+19,13,29.6,12.50,8.50,0.062,0.3,2458766.9269,0.0012,15.532482,0.000034,2022A+A...666A.155C
TOI-1470b,TEP,00,40,21.39,+61,12,48.2,13.45,9.28,0.053,0.18,2458766.4702,0.0006,2.527093,0.000004,2023A+A...675A.177G
TOI-1470c,TEP,00,40,21.39,+61,12,48.2,13.45,9.28,0.113,0.23,2458772.176,0.003,18.08816,0.00007,2023A+A...675A.177G
TOI-1472b,TEP,00,56,27.42,+48,38,15.1,11.30,9.28,0.114,0.20,2459694.66385,0.00002,6.36338574,0.00000011,2026MNRAS.549f1958C
TOI-1472c,TEP,00,56,27.42,+48,38,15.1,11.30,9.28,0.118,0.13,2459689.93567,0.00011,15.5381747,0.0000031,2026MNRAS.549f1958C
TOI-1478,TEP,08,25,44.11,-13,33,35.4,10.81,9.20,0.1736,1.1,2458607.90338,0.00051,10.180249,0.000015,2021AJ....161..194R
TOI-1516,TEP,22,40,20.21,+69,30,13.5,10.86,9.67,0.1178,1.5,2458765.325144,0.000073,2.05601370,0.00000012,2025AJ....170..341S
TOI-1518,TEP,23,29,04.22,+67,02,05.4,8.95,8.33,0.114,0.8,2458766.120581,0.000097,1.90261178,0.00000019,2024PASJ...76..374W
TOI-1533b,TEP,23,40,59.21,+57,29,06.9,10.98,8.83,0.0863,0.1,2459877.6762,0.0005,3.6457974,0.0000034,arXiv:2606.30799
TOI-1533c,TEP,23,40,59.21,+57,29,06.9,10.98,8.83,0.0508,0.2,2459853.8872,0.0005,8.0637926,0.0000052,arXiv:2606.30799
TOI-1601,TEP,02,33,26.75,+41,00,48.7,10.71,9.19,0.2627,0.3,2458990.55302,0.00080,5.331751,0.000011,2021AJ....161..194R
TOI-1605,TEP,03,37,55.46,+33,04,47.5,10.20,8.44,0.13,0.4,2459887.4759,0.0766,8.7099,0.0006,arXiv:2402.07893
TOI-1634,TEP,03,45,33.64,+37,06,44.0,13.22,8.60,0.04,0.1,2459584.97039,0.00022,0.98934551,0.00000036,arXiv:2603.14552
TOI-1648,TEP,03,01,36.28,+69,13,47.7,10.43,8.18,0.0642,0.08,2459925.3431,0.0009,7.331602,0.000018,2026MNRAS.549f1958C
TOI-1670b,TEP,17,16,04.16,+72,09,40.2,9.89,8.72,0.117,0.02,2458721.9423,0.0067,10.98462,0.00049,2022AJ....163..225T
TOI-1670c,TEP,17,16,04.16,+72,09,40.2,9.89,8.72,0.225,0.6,2459402.88333,0.00024,40.750145,0.000025,2023ApJ...959L...5L
TOI-1680,TEP,19,29,15.21,+65,58,27.7,15.87,10.82,0.050,0.5,2459013.84254,0.00038,4.8026345,0.0000040,2023A+A...677A..31G
TOI-1685,TEP,04,34,22.55,+43,02,13.3,13.38,8.76,0.0377,0.09,2459593.76594,0.00015,0.66913856,0.00000014,arXiv:2512.15338
TOI-1694,TEP,06,30,59.57,66,21,38.5,11.45,9.43,0.0908,0.37,2458843.65726,0.00040,3.7701389,0.0000017,arXiv:2606.21625
TOI-1695,TEP,01,27,40.97,+72,17,47.6,12.99,8.82,0.05463,0.13,2458791.5206,0.0010,3.1342791,0.0000067,2023AJ....165..167C
TOI-1696,TEP,04,21,07.36,+48,49,11.4,16.82,11.33,0.042,0.1,2458834.20115,0.00058,2.500311,0.000004,2022AJ....163..298M
TOI-1710,TEP,06,17,07.86,+76,12,38.8,9.62,7.96,0.263,0.3,2458812.6797,0.0004,24.28336,0.00001,2026ApJ..1005L..15E
TOI-1728,TEP,08,02,26.55,+64,47,48.9,12.40,8.80,0.0817,0.6,2458843.27427,0.00043,3.491510,0.000062,2020ApJ...899...29K
TOI-1736,TEP,02,53,44.41,+69,06,05.1,8.96,7.28,0.16,0.04,2459740.5891,0.0007,7.073091,0.000008,2023AJ....166..153A
TOI-1739,TEP,16,00,42.56,+83,15,31.2,10.69,8.38,0.075,0.03,2458685.2395,0.0009,8.303342,0.000011,2024PASA...41...30M
TOI-1743,TEP,17,10,59.36,+71,52,19.9,14.97,10.00,0.03848,0.2,2459575.17230,0.00027,4.266046,0.000002,2025A+A...702A.209Y
TOI-1749b,TEP,18,50,56.93,+64,25,10.1,13.86,10.27,0.04,0.05,2458684.3613,0.0060,2.388821,0.000065,2021AJ....162..167F
TOI-1749c,TEP,18,50,56.93,+64,25,10.1,13.86,10.27,0.08,0.13,2458685.9386,0.0025,4.489010,0.000050,2021AJ....162..167F
TOI-1749d,TEP,18,50,56.93,+64,25,10.1,13.86,10.27,0.07,0.17,2458688.7805,0.0028,9.04455,0.00012,2021AJ....162..167F
TOI-1751,TEP,16,13,57.31,+63,32,03.4,9.33,7.93,0.313,0.045,2458733.6352,0.0015,37.468490,0.000079,2024AJ....167..194D
TOI-1752b,TEP,16,53,51.12,+60,42,32.7,14.62,10.55,0.0434,0.09,2459334.47908,0.00071,0.9351861,0.0000015,2026MNRAS.548ag713P
TOI-1752c,TEP,16,53,51.12,+60,42,32.7,14.62,10.55,0.150,0.16,2459358.9287,0.0049,32.71443,0.00038,2026MNRAS.548ag713P
TOI-1759,TEP,21,47,24.39,+62,45,13.7,11.50,7.93,0.1455,0.22,2459442.91796,0.00026,18.850048,0.000011,2025AJ....170..182P
TOI-1789,TEP,09,30,58.42,+26,32,24.0,9.79,8.35,0.0957,0.3,2458873.65374,0.00062,3.208664,0.000015,2022MNRAS.509.3339K
TOI-1801,TEP,11,42,18.37,+23,01,36.7,11.58,7.81,0.11,0.12,2458903.5435,0.00032,10.64387,0.000006,2023A+A...680A..76M
TOI-1803b,TEP,11,52,11.17,+35,10,18.4,11.87,9.66,0.108,0.1,2458904.6237,0.0027,6.293287,0.000028,2025A+A...695A.273Z
TOI-1803c,TEP,11,52,11.17,+35,10,18.4,11.87,9.66,0.0998,0.3,2458911.6747,0.0019,12.885779,0.000036,2025A+A...695A.273Z
TOI-1807,TEP,13,25,08.00,+38,55,20.9,10.11,7.57,0.1386,0.03,2457000.166,0.025,0.549372,0.000007,arXiv:2210.04162
TOI-1811,TEP,12,35,41.42,+27,12,51.9,11.97,9.64,0.08070,1.8,2459003.83705,0.00017,3.7130818,0.0000028,2023MNRAS.521.2765R
TOI-1820,TEP,12,30,44.81,+27,27,07.2,10.90,9.51,0.115,0.5,2458903.0631,0.0007,4.860700,0.000010,2022A+A...667A..22K
TOI-1823,TEP,13,04,52.89,+63,45,13.6,10.73,8.33,0.247,0.9,2458715.1787,0.0004,38.81360,0.00002,arXiv:2603.23713
TOI-1824,TEP,13,10,55.48,+61,44,41.2,8.28,7.76,0.166,0.1,2459267.2913,0.0009,22.80857,0.00006,2024AJ....167..282L
TOI-1828,TEP,16,06,14.98,+69,37,18.1,11.97,10.25,0.19,0.3,2458936.2770,0.0007,9.0941045,0.0000083,arXiv:2402.07893
TOI-1842,TEP,13,27,51.04,+09,01,50.3,9.81,8.45,0.18,0.3,2459402.4575,0.0025,9.5739,0.0002,2022AJ....163...82W
TOI-1846,TEP,17,11,45.19,+54,31,40.3,13.97,9.60,0.05912,0.2,2459565.9552,0.0031,3.9306737,0.0000043,2025MNRAS.541.3249S
TOI-1853,TEP,14,05,50.24,+16,59,32.5,12.18,10.06,0.0621,0.16,2459690.7419,0.0008,1.2436275,0.0000029,2023Natur.622..255N
TOI-1855,TEP,13,41,25.03,+17,41,14.0,11.39,9.52,0.04977,0.71,2458929.44324,0.00032,1.36414864,0.00000051,2024AJ....168...32S
TOI-1859,TEP,18,39,19.62,+69,31,22.3,10.33,9.24,0.2,0.4,2458662.6558,0.0014,63.48347,0.00010,2023ApJ...951L..29D
TOI-1883,TEP,08,56,21.42,-12,55,50.3,15.79,10.99,0.08,1.3,2459256.846,0.008,4.508,0.003,arXiv:2606.06868
TOI-1885,TEP,20,18,39.65,+66,09,21.5,12.65,10.93,0.17,0.6,2458958.2553,0.0008,6.544060,0.000006,arXiv:2402.07893
TOI-1899,TEP,19,57,42.44,+40,08,36.1,14.29,10.51,0.196,4.0,2458711.9592,0.0011,29.090312,0.000036,2023AJ....166...90L
TOI-1937,TEP,07,45,28.97,-52,22,59.7,13.24,11.23,0.0574,1.4,2459085.910210,0.000096,0.94667946,0.00000009,arXiv:2602.01446
TOI-1982,BD,13,50,20.36,-23,23,00.2,10.55,9.54,0.2,0.5,2459323.8230,0.0014,17.172446,0.000044,2022A+A...664A..94P
TOI-1994,BD,09,48,41.91,-51,45,23.6,10.51,9.78,0.17,0.3,2459290.01375,0.00082,4.0337142,0.000051,2024AJ....167..109P
TOI-2000b,TEP,09,45,35.29,-66,41,11.9,10.98,9.30,0.0815,0.05,2458901.7192,0.00021,3.098331,0.000020,2023MNRAS.524.1113S
TOI-2000c,TEP,09,45,35.29,-66,41,11.9,10.98,9.30,0.163,0.45,2459110.06589,0.00027,9.1270553,0.0000073,2023MNRAS.524.1113S
TOI-2005,TEP,10,56,07.60,-43,22,36.1,9.87,8.91,0.0937,0.3,2458549.8376,0.0012,17.305904,0.0000022,2025AJ....169..273B
TOI-2010,TEP,19,28,40.07,+53,29,14.5,9.85,8.28,0.3617,1.2,2458712.30168,0.00042,141.834025,0.000066,2023AJ....166..239M
TOI-2015,TEP,15,28,31.84,+27,21,39.9,16.11,10.26,0.463,0.9,2459424.78570,0.00016,3.348237,0.000033,2025A+A...695A.281B
TOI-2018,TEP,15,19,21.15,+29,12,22.2,10.25,7.10,0.098,0.11,2458958.2582,0.0006,7.435588,0.000009,2023AJ....166....9M
TOI-2019,TEP,15,37,43.60,+48,57,19.5,10.26,8.60,0.29,0.1,2458958.2895,0.0040,15.3444,0.0055,arXiv:2402.07893
TOI-2031,TEP,22,04,28.09,+81,33,57.4,11.25,9.97,0.1679,1.1,2459806.02915,0.00010,5.71548654,0.00000076,2025ApJS..280...30Y
TOI-2025,TEP,18,51,10.86,+82,14,43.5,11.60,10.01,0.151,0.6,2458690.2896,0.0005,8.872086,0.000009,2022A+A...667A..22K
TOI-2046,TEP,01,04,44.36,+74,19,52.9,11.55,10.09,0.1004,1.5,2457792.2753,0.0002,1.49718644,0.00000015,2025AJ....170..341S
TOI-2048,TEP,15,51,41.79,+52,18,22.7,11.53,9.44,0.15,0.02,2458739.1174,0.0010,13.79019,0.00075,2022AJ....164..115N
TOI-2068,TEP,12,25,05.65,+60,25,06.0,13.01,9.01,0.086,0.01,2458683.4258,0.0027,7.768915,0.000025,2024PASA...41...30M
TOI-2076b,TEP,14,29,34.24,+39,47,25.5,9.24,7.12,0.0405,0.02,2458950.8289,0.0005,10.35523,0.00001,2024A+A...690A.235D
TOI-2076c,TEP,14,29,34.24,+39,47,25.5,9.24,7.12,0.0405,0.02,2458937.8283,0.0007,21.01549,0.00003,2024A+A...690A.235D
TOI-2076d,TEP,14,29,34.24,+39,47,25.5,9.24,7.12,0.0405,0.02,2458938.296,0.001,35.12551,0.00007,2024A+A...690A.235D
TOI-2076e,TEP,14,29,34.24,+39,47,25.5,9.24,7.12,0.0902,0.03,2458740.21306,0.00081,3.0223445,0.0000066,2025AJ....170...32B
TOI-2081,TEP,17,37,12.54,+53,01,32.0,13.37,9.52,0.11,0.1,2458685.8996,0.0029,10.50534,0.00008,2022A+A...666A..10E
TOI-2084,TEP,17,17,01.09,+72,44,49.3,15.12,11.15,0.0847,0.2,2458741.07323,0.00065,6.0784247,0.0000096,2023A+A...677A..38B
TOI-2093,TEP,20,10,57.12,+70,52,09.9,11.92,8.90,0.19,0.08,2458751.6122,0.0041,53.81149,0.00017,2025A+A...703A..93S
TOI-2094,TEP,16,56,34.37,+70,01,38.3,14.41,9.97,0.0509,0.2,2460232.36095,0.00032,18.793193,0.000018,arXiv:2512.06817
TOI-2095b,TEP,19,02,31.93,+75,25,07.0,12.85,8.99,0.113,0.07,2459240.4115,0.0016,17.66484,0.00007,2023A+A...677A.182M
TOI-2095c,TEP,19,02,31.93,+75,25,07.0,12.85,8.99,0.130,0.08,2459239.5625,0.0024,28.17232,0.00014,2023A+A...677A.182M
TOI-2096b,TEP,10,06,28.60,+74,49,39.1,15.81,11.02,0.0447,0.03,2459146.45853,0.00039,3.1190633,0.0000097,2023A+A...672A..70P
TOI-2096c,TEP,10,06,28.60,+74,49,39.1,15.81,11.02,0.0564,0.06,2459147.45938,0.00034,6.387840,0.000012,2023A+A...672A..70P
TOI-2107,TEP,19,07,11.16,-58,41,48.5,12.04,10.33,0.10815,2.1,2458654.61784,0.00039,2.4545467,0.0000013,2024AJ....168...32S
TOI-2109,TEP,16,52,44.72,+16,34,47.8,10.22,9.07,0.08,0.6,2459378.459298,0.000046,0.67247401,0.00000005,arXiv:2602.01446
TOI-2119,BD,16,17,43.17,+26,18,15.2,12.37,8.14,0.0850,5.0,2458958.67837,0.00004,7.2008569,0.0000003,2025MNRAS.536.3745D
TOI-2120,TEP,01,34,01.78,+65,30,50.2,14.16,10.45,0.05,0.7,2458795.82368,0.00041,5.7998164,0.0000035,2024AJ....167..289H
TOI-2134b,TEP,18,07,44.45,39,04,26.9,8.93,6.09,0.13,0.13,2459010.68937,0.00038,9.229198,0.000003,arXiv:2607.01027
TOI-2134c,TEP,18,07,44.45,39,04,26.9,8.93,6.09,0.21,1.0,2459718.96933,0.00027,95.852840,0.000041,arXiv:2607.01027
TOI-2136,TEP,18,44,42.32,+36,33,47.3,14.13,9.34,0.071,0.4,2459017.7043,0.0008,7.851928,0.000017,2022MNRAS.514.4120G
TOI-2141,TEP,17,15,02.91,+18,20,26.8,9.46,7.87,0.20,0.08,2458992.502,0.0014,18.261608,0.000002,2025A+A...704A.174L
TOI-2145,TEP,17,35,01.95,+40,41,42.2,9.07,7.76,0.3114,0.2,2458982.49662,0.00055,10.261128,0.000008,2025AJ....169....4D
TOI-2147,TEP,10,22,33.98,+83,05,01.4,11.10,9.84,0.244,0.4,2459389.5939,0.0007,26.20518,0.00003,arXiv:2606.20224
TOI-2152,TEP,01,45,21.22,+77,47,24.6,11.44,9.60,0.1548,0.7,2458927.64980,0.00023,3.3773512,0.0000061,2023MNRAS.521.2765R
TOI-2154,TEP,04,44,06.87,+84,21,51.1,11.07,9.85,0.1027,1.1,2459148.6017,0.0009,3.8240801,0.0000025,2023MNRAS.521.2765R
TOI-2158,TEP,18,27,14.41,+20,31,36.8,10.89,9.07,0.157,0.5,2459018.9224,0.0010,8.60077,0.00003,2022A+A...667A..22K
TOI-2169,TEP,18,36,40.83,+23,15,31.0,11.16,9.67,0.1804,0.4,2459732.67386,0.00053,8.2148281,0.0000080,2025ApJS..280...30Y
TOI-2179,TEP,01,29,46.99,-60,44,23.7,12.14,10.49,0.091,0.9,2458319.15055,0.00077,15.168865,0.000018,2020AJ....160..275S
TOI-2180,TEP,18,31,46.49,+56,39,03.1,9.16,7.60,1.0,0.5,2458830.76417,0.00099,260.15764,0.00045,2022RNAAS...6...76D
TOI-2184,TEP,06,43,19.93,-66,56,51.5,12.01,10.41,0.283,0.15,2458332.126,0.002,6.90683,0.00009,2022AJ....163...53S
