NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-419 b,,0.370106,69.7546,,,,,88.95,,,Dawson 2014,http://adsabs.harvard.edu/abs/2014ApJ...791...89D,Dawson 2014,http://adsabs.harvard.edu/abs/2014ApJ...791...89D
Kepler-511 b,,0.870478,296.637865,2455236.673,,,0.00234643,,0.567,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1361 b,,0.0430059,3.57554956,2454965.858,,,0.0000998001,,0.077,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-57 c,,0.0942979,11.6092567,2454966.99083,,0.0153,,,0.138158,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
WASP-157 b,0.559161,0.0528415,3.9516205,2457257.803194,61.6,0.887,0.00891,84.93,1.06519,0.615888,Mocnik 2016,http://adsabs.harvard.edu/abs/2016PASP..128l4403M,Mocnik 2016,http://adsabs.harvard.edu/abs/2016PASP..128l4403M
K2-35 b,,0.0320135,2.39984,2456810.5871,,0.56,0.0003158,86.1,0.127325,,Sinukoff 2016,http://adsabs.harvard.edu/abs/2016ApJ...827...78S,Sinukoff 2016,http://adsabs.harvard.edu/abs/2016ApJ...827...78S
Kepler-172 c,,0.0673847,6.388996,2455008.47434,,0.81,,,0.255152,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1350 b,,0.0436851,4.4968604,2454967.206,,,0.00193776,,0.225,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-70 A b,0.589331,0.0485382,3.7130203,2455736.50348,72.3,0.431,0.0097,87.12,1.164,0.375,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A
Kepler-933 b,,0.109579,14.20443009,2454975.733,,,0.000721997,,0.219,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1406 b,,0.102102,11.62905828,2454965.82,,,0.0000788544,,0.098,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1530 b,,0.035902,2.5904434,2454965.287,,,0.000286286,,0.146,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-400 c,,0.131115,17.340824,2454971.96655,,0.17,,,0.132929,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-220 e,,0.250899,45.902733,2454999.56251,,0.53,,,0.118655,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1111 b,,0.0860862,8.79617863,2454968.677,,,0.000268632,,0.178,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
