NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-922 b,,0.0184414,0.93846683,2454968.601,,,0.000187416,,0.127,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-363 c,,0.0752686,7.542427,2454965.95422,,0.1,,,0.150772,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-687 b,,0.134386,20.50586978,2455014.435,,,0.00189834,,0.314,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1457 b,,0.270431,51.1110243,2454976.772,,,0.000332333,,0.178,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
CoRoT-24 c,0.0872135,0.0980725,11.759,2454795.3803,8.3,0.3,0.0025,89,0.427902,1.3,Alonso 2014,http://adsabs.harvard.edu/abs/2014A%26A...567A.112A,Alonso 2014,http://adsabs.harvard.edu/abs/2014A%26A...567A.112A
Kepler-567 b,,0.119888,16.54297375,2455002.649,,,0.00065076,,0.201,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1453 b,,0.252883,47.1611696,2454983.253,,,0.00067704,,0.238,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-24 d,,0.0513038,4.244384,2454970.06411,,0.29,,,0.148987,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-980 b,,0.101644,11.55102504,2454967.909,,,0.000507601,,0.238,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-472 b,,0.048077,4.17625551,2454966.09,,,0.0014115,,0.287,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
