Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
55_Cnc_e,5172,18.0,18.0,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1.0,0.11,0.07,0.05,0.03,0.03,0.01544,5e-05,5e-05,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349.0,188.0,193.0,2011ApJ...737L..18W,2019ApJ...883...79D,TEP,8,52,35.81,28,19,51.0,5.95,4.01,0.06433,0.039,2457178.8178,7e-05,0.73654604,1.6e-07,2021AJ....161..181Z,0.16
pi_Men_c,5998,62.0,62.0,0.09,0.04,0.04,1.091,0.031,0.031,1.19,0.004,0.004,4.365,0.007,0.007,0.7442,0.0009,0.0009,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0114,0.0012,0.0012,0.1914,0.0013,0.0013,11.0,1.9,9.5,2.1,0.4,0.4,1170.0,2.8,4.3,2018ApJ...868L..39H,2022AJ....163..223H,TEP,5,37,9.89,-80,28,8.8,5.67,4.24,0.1246,0.03,2458509.8068,0.0003,6.267852,1.6e-05,2020A+A...642A..31D,
AU_Mic_b,3540,120.0,110.0,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.1,1.106,0.099,0.085,0.07,0.09,0.04,0.0694,0.0027,0.0023,0.0283,0.0082,0.0084,0.412,0.013,0.013,,,,0.37,0.12,0.12,556.0,8.0,9.0,2020Natur.582..497P,2025A+A...694A.137B,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.145,0.3,2460149.955,0.0012,8.4631428,4.9e-06,2025A+A...694A.137B,0.5
AU_Mic_c,3540,120.0,110.0,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.1,1.106,0.099,0.085,0.18,0.08,0.07,0.1169,0.0047,0.0047,0.0455,0.0102,0.0108,0.246,0.023,0.026,,,,2.94,0.86,0.88,428.0,8.0,8.0,2021A+A...649A.177M,2025A+A...694A.137B,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.155,0.2,2460133.8718,0.0085,18.858827,5e-05,2025A+A...694A.137B,0.26
CoRoT-01,5950,150.0,150.0,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,0.0,,,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915.0,49.0,49.0,2008A+A...482L..17B,2011MNRAS.417.2166S,TEP,6,48,19.17,-3,6,7.8,13.6,12.15,0.10439,2.3,2454138.303971,3.6e-05,1.50897655,9e-08,2016MNRAS.459..789T,0.420251
CoRoT-02,5598,50.0,50.0,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521.0,18.0,18.0,2008A+A...482L..21A,2012MNRAS.426.1291S,TEP,19,27,6.5,1,23,1.4,12.57,10.31,0.09446,3.2,2457683.441534,3.7e-05,1.74299713,0.0,xxx2602014460.3101B,0.221
CoRoT-04,6190,60.0,60.0,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,0.0,,,0.0912,0.00125,0.0013,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058.0,42.0,17.0,2008A+A...488L..43A,2011MNRAS.417.2166S,TEP,6,48,46.72,0,40,22.0,14.0,12.29,0.184,1.3,2454141.36498,0.00098,9.2016281,4e-06,2021FrASS...8..210K,0.0
CoRoT-05,6100,65.0,65.0,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.02,0.714,0.045,0.043,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397.0,15.0,15.0,2009A+A...506..281R,2019MNRAS.483..824R,TEP,6,45,6.54,0,48,54.9,14.0,12.55,0.117,1.4,2454400.19896,2e-05,4.0379156,1.2e-06,2019MNRAS.483..824R,0.755
CoRoT-06,6090,70.0,70.0,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,0.0,,,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025.0,16.0,16.0,2010A+A...512A..14F,2011MNRAS.417.2166S,TEP,18,44,17.4,6,39,47.4,13.91,12.12,0.17,1.5,2454826.66625,0.00054,8.886621,6.3e-06,2021MNRAS.504.5671E,0.291
CoRoT-07,5313,73.0,73.0,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.0,0.32,0.0,0.01702,0.00017,4e-05,0.0191,0.002,0.002,0.141,0.009,0.009,21.5,3.5,3.0,4.9,2.1,2.3,1756.0,27.0,27.0,2009A+A...506..287L,2022MNRAS.515.3975J,TEP,6,43,49.47,-1,3,46.9,11.72,9.81,0.04413,0.034,2454398.07756,0.00059,0.85359159,5.7e-07,2014A+A...569A..74B,0.61
CoRoT-08,5080,80.0,80.0,0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,0.0,,,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870.0,14.0,14.0,2010A+A...520A..66B,2019MNRAS.483..824R,TEP,19,26,21.24,1,25,35.2,14.76,11.46,0.114,0.7,2454239.03317,0.00049,6.212445,7e-06,2019MNRAS.483..824R,0.49
CoRoT-09,5613,36.0,36.0,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420.0,16.0,16.0,2010Natur.464..384D,2017A+A...603A..43B,TEP,18,43,8.81,6,12,15.2,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,6.8e-05,2017A+A...603A..43B,0.01
CoRoT-10,5075,75.0,75.0,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78.0,14.0,14.0,3.13,0.88,0.88,647.0,24.0,24.0,2010A+A...520A..65B,2011MNRAS.417.2166S,TEP,19,24,15.29,0,44,46.1,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,2010A+A...520A..65B,0.85
CoRoT-11,6343,72.0,72.0,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,0.0,,,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735.0,34.0,34.0,2010A+A...524A..55G,2011MNRAS.417.2166S,TEP,18,42,44.95,5,56,15.7,12.8,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,2.1e-05,2012A+A...543L...5G,0.818
CoRoT-12,5675,80.0,80.0,0.16,0.1,0.1,1.0,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.03,0.866,0.084,0.078,0.0,,,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417.0,20.0,20.0,2010A+A...520A..97G,2019MNRAS.483..824R,TEP,6,43,3.76,-1,17,47.1,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,6.5e-07,2019MNRAS.483..824R,0.609
CoRoT-13,5945,90.0,90.0,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.04,0.526,0.072,0.072,0.0,,,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432.0,39.0,39.0,2010A+A...522A.110C,2011MNRAS.417.2166S,TEP,6,50,53.07,-5,5,11.1,15.04,13.38,0.1308,1.0,2454790.8105,0.0023,4.0350906,5.5e-06,2021FrASS...8..210K,0.374
CoRoT-14,6035,100.0,100.0,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,0.0,,,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183.0,27.0,27.0,6.8,1.5,1.5,1936.0,95.0,95.0,2011A+A...528A..97T,2011MNRAS.417.2166S,TEP,6,53,41.8,-5,32,9.7,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,2011A+A...528A..97T,0.86
CoRoT-16,5650,100.0,100.0,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,,,,0.33,0.16,0.11,,,,2012A+A...541A.149O,2012A+A...541A.149O,TEP,18,34,5.93,-6,0,9.3,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.0002,2012A+A...541A.149O,0.825
CoRoT-17,5740,80.0,80.0,0.0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,0.0,,,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60.0,13.0,27.0,2.26,0.77,1.35,1610.0,210.0,70.0,2011A+A...531A..41C,2012MNRAS.426.1291S,TEP,18,34,47.82,-6,36,44.0,15.46,12.47,0.197,0.44,2454923.3093,0.0036,3.7681,0.0003,2011A+A...531A..41C,0.18
CoRoT-18,5440,100.0,100.0,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,0.0,,,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487.0,19.0,19.0,2011A+A...533A.130H,2019MNRAS.483..824R,TEP,6,32,41.36,0,1,53.7,15.0,13.01,0.0995,2.0,2455321.72565,0.00024,1.90009,5e-07,2019MNRAS.483..824R,0.4
CoRoT-19,6090,70.0,70.0,-0.02,0.1,0.1,1.181,0.127,0.077,1.576,0.354,0.096,4.115,0.047,0.152,0.302,0.049,0.125,0.0,,,0.0512,0.0018,0.0011,1.09,0.093,0.078,1.19,0.26,0.069,19.1,2.4,6.2,0.6,0.11,0.27,1630.0,150.0,40.0,2012A+A...537A.136G,2012MNRAS.426.1291S,TEP,6,28,8.04,0,10,14.4,14.01,11.84,0.196,0.79,2455257.44102,0.0006,3.89713,2e-05,2012A+A...537A.136G,0.24
CoRoT-20,5880,90.0,90.0,0.14,0.12,0.12,1.1,0.1,0.1,1.16,0.15,0.2,4.35,0.11,0.14,0.71,0.26,0.35,0.59,0.02,0.02,0.0891,0.0038,0.0038,4.14,0.36,0.3,1.0,0.18,0.21,102.0,42.0,35.0,3.9,2.1,2.4,1024.0,16.0,16.0,2012A+A...538A.145D,2019MNRAS.483..824R,TEP,6,30,52.9,0,13,36.9,14.66,12.51,0.0927,0.9,2455266.0006,0.0012,9.2431839,7.2e-06,2021FrASS...8..210K,0.26
CoRoT-21,6200,100.0,100.0,0.0,0.1,0.1,1.39,0.09,0.09,1.95,0.21,0.21,3.7,0.1,0.1,0.181,0.06,0.06,0.0,,,0.0417,0.0011,0.0011,2.26,0.33,0.33,1.27,0.14,0.14,,,,1.03,0.36,0.36,,,,2012A+A...545A...6P,2012A+A...545A...6P,TEP,6,44,12.59,0,17,56.9,16.0,13.81,0.198,0.5,2454399.0282,0.0009,2.72474,0.00014,2012A+A...545A...6P,
CoRoT-22,5939,54.0,120.0,0.17,0.07,0.12,1.099,0.049,0.049,1.136,0.038,0.09,4.361,0.065,0.029,0.729,0.19,0.071,0.0,0.78,0.0,0.092,0.0014,0.0014,,0.15,0.0,0.435,0.015,0.035,,,,,,,885.0,53.0,280.0,2014MNRAS.444.2783M,2014MNRAS.444.2783M,TEP,18,42,40.12,6,13,9.3,13.94,11.99,0.187,0.2,2454598.42014,0.00075,9.75598,0.00011,2014MNRAS.444.2783M,0.012
CoRoT-23,5900,100.0,100.0,0.05,0.1,0.1,1.122,0.092,0.072,1.74,0.26,0.16,4.008,0.076,0.107,0.214,0.064,0.066,0.16,0.02,0.02,0.04809,0.00128,0.00104,3.06,0.32,0.3,1.18,0.19,0.11,54.0,12.0,14.0,1.75,0.63,0.64,1710.0,110.0,80.0,2012A+A...537A..54R,2012MNRAS.426.1291S,TEP,18,39,7.82,4,21,28.1,15.63,12.36,0.162,0.45,2455308.939,0.001,3.6313,0.0001,2012A+A...537A..54R,0.56
CoRoT-24b,4950,150.0,150.0,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,,,0.056,0.002,0.002,,0.018,0.0,0.33,0.04,0.04,,,,0.0,0.68,0.0,1070.0,140.0,140.0,2014A+A...567A.112A,2014A+A...567A.112A,TEP,6,47,41.41,-3,43,9.5,13.2,12.92,0.119,0.024,2454789.611,0.006,5.1134,0.0006,2014A+A...567A.112A,0.65
CoRoT-24c,4950,150.0,150.0,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,,,0.098,0.003,0.003,0.088,0.035,0.035,0.44,0.04,0.04,,,,0.98,0.38,0.3,850.0,80.0,80.0,2014A+A...567A.112A,2014A+A...567A.112A,TEP,6,47,41.41,-3,43,9.5,13.2,12.92,0.2,0.013,2454795.38,0.027,11.7594,0.0063,2014A+A...567A.112A,0.3
CoRoT-25,6040,90.0,90.0,-0.01,0.13,0.13,1.09,0.11,0.05,1.19,0.14,0.03,4.31,0.05,0.08,0.85,0.09,0.05,0.0,,,0.0578,0.002,0.0009,0.37,0.04,0.04,1.08,0.3,0.1,5.7,1.7,1.9,0.12,0.12,0.05,1330.0,80.0,40.0,2013A+A...555A.118A,2013A+A...555A.118A,TEP,18,42,31.13,6,30,50.0,14.97,12.85,0.08,0.5,2454576.2156,0.0008,4.86069,6e-05,2013A+A...555A.118A,0.94
CoRoT-26,5590,100.0,100.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.18,0.09,3.99,0.05,0.08,0.573,0.006,0.04,0.0,,,0.0526,0.001,0.001,0.52,0.05,0.05,1.26,0.13,0.07,7.8,1.6,1.5,0.23,0.07,0.06,1600.0,80.0,70.0,2013A+A...555A.118A,2013A+A...555A.118A,TEP,18,39,0.13,6,58,11.7,15.76,13.26,0.228,0.6,2454573.6299,0.0008,4.20474,5e-05,2013A+A...555A.118A,0.33
CoRoT-27,5900,120.0,120.0,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.18,0.06,4.4,0.1,0.1,0.97,0.1,0.08,0.0,0.065,0.0,0.0476,0.0066,0.0066,10.39,0.55,0.55,1.007,0.044,0.044,,,,9.5,1.45,1.26,1500.0,130.0,130.0,2014A+A...562A.140P,2014A+A...562A.140P,TEP,18,33,59.0,5,32,18.5,15.54,12.98,0.115,1.0,2455748.684,0.001,3.57532,6e-05,2014A+A...562A.140P,0.54
CoRoT-28,5150,100.0,100.0,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,0.047,0.055,0.038,0.059,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5.0,3.6,0.52,0.2,0.2,,,,2015A+A...579A..36C,2015A+A...579A..36C,TEP,18,34,45.21,5,34,25.7,13.78,11.03,0.238,0.3,2455755.8466,0.0029,5.20851,0.00038,2015A+A...579A..36C,0.24
CoRoT-29,5260,100.0,100.0,0.2,0.1,0.1,0.97,0.14,0.14,0.9,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,0.082,0.081,0.081,0.039,0.002,0.002,0.85,0.2,0.2,0.9,0.16,0.16,26.0,14.0,9.0,1.09,0.56,0.56,,,,2015A+A...579A..36C,2015A+A...579A..36C,TEP,18,35,36.5,6,28,47.0,15.56,13.05,0.0913,0.6,2456870.53809,0.00075,2.8505615,7.2e-06,2016A+A...589A..62B,0.43
CoRoT-30,5650,100.0,100.0,0.02,0.1,0.1,0.98,0.03,0.05,0.91,0.09,0.03,4.4,0.1,0.1,,,,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.9,0.22,0.22,1.009,0.076,0.076,,,,2.6,0.49,0.49,,,,2020A+A...635A.122B,2020A+A...635A.122B,TEP,18,30,24.26,6,50,9.4,15.27,13.56,0.16,1.4,2455665.5146,0.0012,9.06005,0.00024,2020A+A...635A.122B,0.0
CoRoT-31,5700,120.0,120.0,0.0,0.1,0.1,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,,,,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.3,0.3,,,,0.25,0.14,0.14,,,,2020A+A...635A.122B,2020A+A...635A.122B,TEP,6,19,16.98,-4,25,20.2,15.06,13.43,0.15,0.5,2455843.9445,0.0044,4.62941,0.00075,2020A+A...635A.122B,0.87
CoRoT-32,5970,100.0,100.0,0.0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,,,,0.0,,,0.071,0.001,0.001,0.15,0.1,0.1,0.57,0.06,0.05,13.0,38.0,6.0,0.8,1.0,0.6,938.0,65.0,52.0,2018MNRAS.473..710B,2018MNRAS.473..710B,TEP,6,40,46.84,9,15,26.8,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,1e-05,2018MNRAS.473..710B,
CoRoT-35,6390,130.0,130.0,-0.5,0.1,0.1,1.01,0.07,0.06,1.65,0.1,0.11,4.01,0.05,0.05,,,,0.0,,,0.0429,0.00092,0.00092,1.1,0.37,0.37,1.68,0.11,0.11,,,,0.22,0.08,0.08,1747.0,62.0,62.0,2022MNRAS.516..636S,2022MNRAS.516..636S,TEP,19,17,15.43,-2,46,28.8,15.64,12.94,0.175,1.1,2456074.2415,0.0018,3.22748,8e-05,2022MNRAS.516..636S,
CoRoT-36,6730,140.0,140.0,-0.1,0.1,0.1,1.32,0.09,0.09,1.52,0.2,0.1,4.16,0.06,0.06,,,,0.0,,,0.066,0.007,0.007,,0.68,0.0,1.41,0.14,0.14,,,,,,,1567.0,35.0,35.0,2022MNRAS.516..636S,2022MNRAS.516..636S,TEP,18,31,0.24,7,11,0.1,13.13,11.59,0.208,1.0,2455662.52236,0.00034,5.616531,2.3e-05,2022MNRAS.516..636S,
DS_Tuc,5598,28.0,59.0,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.6,0.15,0.15,,,,,,,,,,,0.0453,0.0,0.5,0.02,0.02,,,,,,,,,,2019A+A...630A..81B,2021A+A...650A..66B,TEP,23,39,39.48,-69,11,44.7,8.23,6.68,0.13,0.4,2458332.30926,0.00037,8.138268,1.1e-05,2019ApJ...880L..17N,
EPIC_210768568,5414,138.0,138.0,-0.03,0.24,0.24,1.02,0.13,0.13,1.375,0.068,0.068,4.169,0.074,0.074,,,,,,,0.0511,0.0021,0.0028,,,,0.0883,0.0044,0.0043,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,11,20,33.81,-4,48,25.2,16.44,12.86,0.077,0.14,2456813.1485,0.0006,6.7987,0.0001,2020MNRAS.498.2778D,
EPIC_201170410,3648,172.0,143.0,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,,,,0.0,,,0.0349,0.0027,0.0022,,,,0.094,0.025,0.023,,,,,,,,,,2020MNRAS.498.2778D,2020MNRAS.498.2778D,TEP,11,35,45.24,4,36,59.2,15.02,12.15,0.076,0.02,2456811.637,0.0008,2.0478,0.0001,2020MNRAS.498.2778D,
EPIC_246078343b,4116,138.0,138.0,-0.2,0.24,0.24,0.81,0.36,0.26,0.7,0.055,0.048,4.65,0.15,0.15,,,,,,,0.0258,0.0023,0.0025,,,,0.0678,0.0068,0.0044,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,23,33,40.22,-7,36,43.0,15.16,11.86,0.08,0.02,2457738.6914,0.0019,0.8094,3e-05,2023MNRAS.518..669D,
EPIC_246078343c,4116,138.0,138.0,-0.2,0.24,0.24,0.81,0.36,0.26,0.7,0.055,0.048,4.65,0.15,0.15,,,,,,,0.0426,0.0016,0.0019,,,,0.11,0.005,0.0053,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,23,33,40.22,-7,36,43.0,15.16,11.86,0.14,0.04,2457739.6914,0.0024,5.3301,0.0003,2023MNRAS.518..669D,
EPIC_246220667b,4323,138.0,138.0,-0.1,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,,,,,,,0.0552,0.0017,0.0023,,,,0.1721,0.0056,0.0065,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,23,26,32.7,-4,36,23.7,14.38,11.44,0.17,0.1,2457740.2578,0.0011,6.669,0.0002,2023MNRAS.518..669D,
EPIC_246220667c,4323,138.0,138.0,-0.1,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,,,,,,,0.0487,0.0027,0.0031,,,,0.1088,0.009,0.0065,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,23,26,32.7,-4,36,23.7,14.38,11.44,0.15,0.04,2457742.0977,0.0013,4.3696,0.0001,2023MNRAS.518..669D,
EPIC_247422570,5590,138.0,138.0,0.01,0.24,0.24,0.89,0.41,0.28,0.977,0.066,0.063,4.41,0.15,0.15,,,,,,,0.0586,0.0032,0.0033,,,,0.1888,0.0094,0.0094,,,,,,,,,,2023MNRAS.518..669D,2023MNRAS.518..669D,TEP,5,5,2.92,21,34,48.6,15.67,12.54,0.16,0.05,2457823.1445,0.0035,5.9382,0.0005,2023MNRAS.518..669D,
EPIC_249631677,3300,30.0,30.0,-0.24,0.09,0.09,0.174,0.004,0.004,0.196,0.006,0.006,5.094,0.006,0.006,23.1,0.7,0.7,,,,,,,,,,0.0848,0.0052,0.0052,,,,,,,460.0,5.0,5.0,2020AJ....160..172N,2020AJ....160..172N,TEP,15,12,5.19,-20,6,30.6,17.67,11.84,0.0342,0.2,2457990.862,0.0011,3.1443189,4.9e-06,2020AJ....160..172N,
G_9-40,3395,51.0,51.0,-0.07,0.16,0.16,0.295,0.014,0.014,0.3026,0.0095,0.0095,4.84,0.04,0.04,10.0,0.7,0.65,0.0,,,0.0418,0.00064,0.00064,0.0126,0.002,0.002,0.1695,0.0058,0.0058,10.8,1.8,1.8,2.41,0.51,0.4,441.0,8.0,8.0,2020AJ....159..100S,2022A+A...666A.154L,TEP,8,58,52.33,21,4,34.2,13.82,9.19,0.0705,0.37,2459503.32682,0.00042,5.7459982,2e-06,2022A+A...666A.154L,0.513
Gaia-001,5470,110.0,110.0,,,,0.949,0.066,0.066,0.952,0.025,0.025,,,,1.1,0.12,0.12,0.0,,,0.04047,0.00094,0.00094,1.68,0.11,0.11,1.229,0.021,0.021,,,,,,,,,,2022A+A...663A.101P,2022A+A...663A.101P,TEP,6,2,34.47,0,34,37.0,13.24,11.27,0.092,1.3,2458468.18524,0.00057,3.052524,1.7e-05,2022A+A...663A.101P,
Gaia-002,5720,84.0,84.0,,,,1.0,0.095,0.095,1.064,0.031,0.031,,,,1.05,0.22,0.22,0.346,0.023,0.023,0.0467,0.0015,0.0015,0.773,0.041,0.041,1.327,0.014,0.014,,,,,,,,,,2022A+A...663A.101P,2022A+A...663A.101P,TEP,7,22,56.46,67,15,9.2,11.28,9.74,0.092,1.7,2458843.98875,0.00019,3.6915237,3.5e-06,2022A+A...663A.101P,
GJ_0012,3296,48.0,36.0,-0.32,0.06,0.06,0.2414,0.006,0.006,0.2616,0.0058,0.006,5.21,0.07,0.07,13.5,1.2,0.9,0.11,0.14,0.08,0.0668,0.0024,0.0024,0.0022,0.0004,0.0004,0.0855,0.0041,0.0043,,,,,,,315.0,6.0,5.0,2024ApJ...967L..21K,2025AJ....170..335B,TEP,0,15,49.24,13,33,22.3,12.6,7.81,0.05,0.1,2459497.1871,0.0023,12.761416,4.5e-05,2025AJ....170..335B,
GJ_0238,3485,140.0,140.0,0.15,0.1,0.1,0.4193,0.0095,0.0098,0.4314,0.0075,0.0071,,,,,,,,,,0.02123,0.00016,0.00017,,,,0.0505,0.0012,0.0012,,,,,,,758.0,16.0,15.0,2024AJ....167..283T,2024AJ....167..283T,TEP,6,33,49.15,-58,31,29.7,11.57,7.03,0.0516,0.1,2458326.98222,0.00067,1.7446999,1.9e-06,2024AJ....167..283T,0.2
GJ_0341,3770,40.0,40.0,-0.16,0.09,0.09,0.48,0.03,0.03,0.507,0.017,0.017,4.72,0.02,0.02,,,,,,,,,,,0.013,0.0,0.0785,0.0045,0.0045,,,,,,,,,,2025ApJ...979..214D,2025ApJ...979..214D,TEP,9,21,37.6,-60,16,55.0,9.47,5.59,0.0929,0.03,2459301.771,0.002,7.57686,2.7e-05,2025ApJ...979..214D,
GJ_0357,3505,51.0,51.0,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,4.94,0.07,0.07,9.2,1.1,1.1,0.0,,,0.033,0.001,0.001,0.0066,0.001,0.001,0.1041,0.0033,0.0032,11.7,2.6,2.3,1.81,0.34,0.31,531.0,12.0,11.0,2019A+A...628A..39L,2019MNRAS.490.5585J,TEP,9,36,1.64,-21,39,38.9,10.91,6.48,0.053,0.1,2459272.6757,0.0004,3.9306,2e-05,2023AJ....165..134O,0.529
GJ_0367,3535,127.0,127.0,-0.01,0.12,0.12,0.451,0.019,0.019,0.457,0.015,0.015,4.776,0.026,0.026,4.72,0.5,0.5,0.06,0.07,0.04,0.00709,0.00027,0.00027,0.0016,0.0002,2e-05,0.0657,0.0031,0.0031,,,,,,,1329.0,50.0,50.0,2021Sci...374.1271L,arXiv:2606.18355,TEP,9,44,29.84,-45,46,35.4,9.98,5.78,0.0262,0.02,2458543.81414,0.00018,0.3219226,1e-07,arXiv:2606.18355,0.09
