Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-115b,5979,132.0,132.0,-0.1,0.1,0.1,1.055,,,1.205,0.23,0.23,4.306,0.15,0.15,0.851,0.4,0.4,,,,,,,,,,0.097,0.019,0.019,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,50,50.84,45,15,42.9,13.57,11.97,0.0544,0.01,2454967.72847,0.00305,2.403679,1.2e-05,2014ApJ...784...45R,0.43
Kepler-115c,5979,132.0,132.0,-0.1,0.1,0.1,1.055,,,1.205,0.23,0.23,4.306,0.15,0.15,0.851,0.4,0.4,,,,,,,,,,0.232,0.045,0.045,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,50,50.84,45,15,42.9,13.57,11.97,0.1701,0.05,2454969.73792,0.00132,8.990889,2.1e-05,2014ApJ...784...45R,0.11
Kepler-116b,6142,100.0,100.0,0.02,0.1,0.1,1.209,,,1.454,0.273,0.273,4.196,0.15,0.15,0.555,0.293,0.293,,,,,,,,,,0.305,0.058,0.058,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,38,58.1,43,32,12.6,13.81,12.38,0.1516,0.05,2454970.15762,0.00092,5.968734,9e-06,2014ApJ...784...45R,0.56
Kepler-116c,6142,100.0,100.0,0.02,0.1,0.1,1.209,,,1.454,0.273,0.273,4.196,0.15,0.15,0.555,0.293,0.293,,,,,,,,,,0.205,0.039,0.039,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,38,58.1,43,32,12.6,13.81,12.38,0.126,0.02,2454977.43294,0.00263,13.07163,5.6e-05,2014ApJ...784...45R,0.19
Kepler-118b,5274,200.0,200.0,0.18,0.5,0.5,0.913,,,1.094,0.489,0.489,4.321,0.3,0.3,0.984,0.674,0.674,,,,,,,,,,0.175,0.084,0.084,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,56,51.16,41,25,29.4,14.95,12.71,0.119,0.03,2454965.53666,0.00459,7.518496,5.6e-05,2014ApJ...784...45R,0.72
Kepler-119b,5595,200.0,200.0,-0.08,0.5,0.5,0.943,,,0.839,0.319,0.319,4.567,0.3,0.3,2.254,0.82,0.82,,,,,,,,,,0.321,0.122,0.122,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,47.14,42,39,32.1,14.4,12.58,0.1072,0.19,2454965.93928,0.00019,2.422082,1e-06,2014ApJ...784...45R,0.3
Kepler-119c,5595,200.0,200.0,-0.08,0.5,0.5,0.943,,,0.839,0.319,0.319,4.567,0.3,0.3,2.254,0.82,0.82,,,,,,,,,,0.082,0.031,0.031,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,47.14,42,39,32.1,14.4,12.58,0.1183,0.01,2454966.64137,0.00452,4.125103,2.8e-05,2014ApJ...784...45R,0.51
Kepler-120b,4096,150.0,150.0,-0.17,0.15,0.15,0.559,,,0.534,0.028,0.028,4.732,0.2,0.2,5.177,0.514,0.514,,,,,,,,,,0.192,0.015,0.015,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,11,33.99,39,20,20.9,15.09,12.3,0.1212,0.13,2454965.65419,0.00084,6.312501,8e-06,2014ApJ...784...45R,0.79
Kepler-120c,4096,150.0,150.0,-0.17,0.15,0.15,0.559,,,0.534,0.028,0.028,4.732,0.2,0.2,5.177,0.514,0.514,,,,,,,,,,0.136,0.008,0.008,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,11,33.99,39,20,20.9,15.09,12.3,0.1437,0.08,2454963.76464,0.00209,12.794585,4.4e-05,2014ApJ...784...45R,0.41
Kepler-121b,5311,200.0,200.0,-0.38,0.5,0.5,0.791,,,0.701,0.38,0.38,4.646,0.3,0.3,3.24,1.083,1.083,,,,,,,,,,0.209,0.113,0.113,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,38.89,39,40,40.8,14.91,12.79,0.0615,0.11,2454967.47787,0.00047,3.177422,3e-06,2014ApJ...784...45R,0.11
Kepler-121c,5311,200.0,200.0,-0.38,0.5,0.5,0.791,,,0.701,0.38,0.38,4.646,0.3,0.3,3.24,1.083,1.083,,,,,,,,,,0.203,0.112,0.112,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,4,38.89,39,40,40.8,14.91,12.79,0.1657,0.1,2454980.03476,0.00265,41.008011,0.000191,2014ApJ...784...45R,0.49
Kepler-122b,6050,137.0,137.0,-0.16,0.1,0.1,1.053,,,1.216,0.239,0.239,4.299,0.15,0.15,0.826,0.4,0.4,,,,,,,,,,0.209,0.041,0.041,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,26.85,39,56,56.8,14.38,12.82,0.1602,0.04,2454967.01488,0.00173,5.766193,1.6e-05,2014ApJ...784...45R,0.0
Kepler-122d,6050,137.0,137.0,-0.16,0.1,0.1,1.053,,,1.216,0.239,0.239,4.299,0.15,0.15,0.826,0.4,0.4,,,,,,,,,,0.196,0.039,0.039,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,26.85,39,56,56.8,14.38,12.82,0.1951,0.03,2454975.97287,0.00379,21.587475,0.000164,2014ApJ...784...45R,0.01
Kepler-122e,6050,137.0,137.0,-0.16,0.1,0.1,1.053,,,1.216,0.239,0.239,4.299,0.15,0.15,0.826,0.4,0.4,,,,,,,,,,0.232,0.048,0.048,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,26.85,39,56,56.8,14.38,12.82,0.2981,0.04,2454996.01553,0.00579,37.993273,0.00039,2014ApJ...784...45R,0.84
Kepler-123b,6089,121.0,121.0,-0.14,0.1,0.1,1.085,,,1.264,0.243,0.243,4.277,0.15,0.15,0.758,0.379,0.379,,,,,,,,,,0.262,0.051,0.051,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,47,59.67,42,46,55.1,14.19,12.65,0.1902,0.05,2454968.09113,0.00193,17.232366,5.6e-05,2014ApJ...784...45R,0.53
