Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
WASP-127,5750,100.0,100.0,-0.18,0.06,0.06,0.95,0.02,0.02,1.333,0.027,0.027,4.18,0.01,0.01,0.404,0.015,0.015,0.0,,,0.052,0.0005,0.0005,0.165,0.021,0.017,1.311,0.025,0.029,2.14,0.32,0.28,0.073,0.01,0.009,1400.0,24.0,24.0,2017A+A...599A...3L,2020A+A...643A..45S,TEP,10,42,14.08,-3,50,6.3,10.16,8.64,0.1814,1.1,2457248.74141,0.00022,4.1780647,1.1e-06,arXiv:2103.12139,0.15,0.010214473151259,10.723716951160188,9.710716951160189,9.360716951160189,8.509716951160188,10.856716951160188,10.290283048839813,8.799283048839813,9.092283048839812,0.0499073479967755,1432.9596809493637,2334.5476574665563,3.0,4.193073940453967,0.1010666767597462,8.388351158941093,-0.1302830488398125,0.1302830488398125,10.830747009701836,10.519195423590748,9.91867552520042,9.776166951160189,9.728369023699049,8.765584486604146,9.710716951160189,10.16,9.198681485289615,8.719641524419906,10.16,8.588358166071341,2.2694409628101146,1754.7867226199419,6906.088440649763,10233814.14846316,7141.732097921316,5006681.275634604,3493.9442764485734
TOI-1420,5493,50.0,50.0,0.29,0.08,0.08,0.987,0.048,0.048,0.923,0.024,0.024,4.502,0.029,0.029,1.25,0.11,0.11,0.0,0.17,0.0,0.071,0.0012,0.0012,0.079,0.012,0.012,1.061,0.029,0.029,,,,0.062,0.011,0.011,957.0,17.0,17.0,2023AJ....166..181Y,2023AJ....166..181Y,TEP,21,31,45.92,66,20,55.9,11.65,10.12,0.1405,1.5,2459517.43305,0.00012,6.9561063,1.7e-06,2023AJ....166..181Y,0.412,0.0139539850201717,12.300716951160188,11.159716951160188,10.777716951160189,9.795716951160188,12.584716951160187,11.974283048839812,10.288283048839812,10.630283048839813,0.071005126889315,954.990152721476,,1.0,-0.00722044947967,0.1181269868411606,16.540935051580586,-0.3242830488398116,0.3242830488398116,12.641420009701834,12.046628423590748,11.378622525200418,11.201070951160188,11.132796339761226,10.177261368672069,11.159716951160188,11.65,10.635538633977657,10.204141524419908,11.65,10.059887108213552,8.701842748910774,1754.2080934797516,1395.0148664223434,7686704.019095053,8048.987727454492,2914452.983559038,3051.8146969930494
HAT-P-32,6269,64.0,64.0,-0.04,0.08,0.08,1.182,0.049,0.049,1.225,0.017,0.017,4.335,0.005,0.005,0.6435,0.0032,0.0032,0.0,,,0.03448,0.00048,0.00048,0.585,0.031,0.031,1.807,0.026,0.026,,,,0.102,0.012,0.012,1801.0,18.0,18.0,2011ApJ...742...59H,2022A+A...657A...6C,TEP,2,4,10.27,46,41,16.2,11.29,9.99,0.12959,3.0,2454420.447196,5.1e-05,2.1500082,3e-08,2022AJ....164..220H,0.117,0.0229781475783985,11.713716951160189,10.913716951160188,10.624716951160186,9.959716951160187,11.701716951160186,11.320283048839812,10.136283048839813,10.349283048839812,0.0344698256426088,1802.104904814163,,3.0,0.0295167068630469,0.1515854464597395,6.052496920424883,-0.0302830488398129,0.0302830488398129,11.47494943827326,11.582546423590747,11.102184525200418,11.025099951160186,11.016335702455525,10.03963336863432,10.913716951160188,11.29,10.424217240771156,10.063141524419908,11.29,9.74966524234632,6.747192465041996,1754.3839449717386,1659.442213633417,7462078.332254489,4140.756907281151,5089085.47852443,2823.9673866540115
WASP-094,6170,80.0,80.0,0.26,0.15,0.15,1.45,0.09,0.09,1.62,0.05,0.04,4.181,0.013,0.017,0.344,0.011,0.02,0.0,0.13,0.0,0.055,0.001,0.001,0.452,0.035,0.032,1.72,0.06,0.05,3.48,0.25,0.25,0.089,0.008,0.008,1604.0,25.0,22.0,2014A+A...572A..49N,2014A+A...572A..49N,TEP,20,55,7.95,-34,8,7.9,10.06,8.87,0.187,1.4,2458328.2989,0.00014,3.95020219,4.9e-07,arXiv:2407.20846,0.22,0.0119041324785748,10.503716951160188,9.673716951160188,9.374716951160188,8.683716951160187,10.504716951160187,10.246283048839812,9.017283048839811,9.242283048839813,0.0553531152694815,1609.5517149637749,1644.801910327053,2.0,-0.6379320617501281,0.1091060606867228,7.3004744209136545,-0.1862830488398117,0.1862830488398117,10.31619372398754,10.36167642359075,9.864854525200418,9.777569951160189,9.762406738724955,8.787994834972254,9.673716951160188,10.06,9.180577474515829,8.943641524419906,10.06,8.515507444872267,2.1597096788386887,1754.7965918839861,7481.0055065770575,7216099.592007544,4483.297756089777,3630720.8206511373,2255.7341816959583
WASP-107,4425,70.0,70.0,0.02,0.09,0.09,0.683,0.017,0.016,0.67,0.02,0.02,4.633,0.012,0.012,2.441,0.023,0.023,0.06,0.04,0.004,0.0553,0.0013,0.0013,0.096,0.005,0.005,0.924,0.022,0.022,3.09,0.38,0.34,0.101,0.011,0.01,736.0,17.0,17.0,2017A+A...604A.110A,arXiv:2011.13444,TEP,12,33,32.84,-10,8,46.1,11.59,8.64,0.11411,2.2,2457584.329746,1.1e-05,5.72149242,4.6e-07,2017MNRAS.469.1622M,0.09,0.0200846941977851,12.637716951160188,10.832716951160188,10.257716951160187,8.668716951160187,13.693716951160187,11.561283048839814,8.856283048839813,9.416283048839814,0.0551340170350805,743.8307979747185,849.9782576089054,3.0,0.3010536395594262,0.1417204791051212,17.748176430718335,0.0287169511601863,-0.0287169511601863,13.700785295416118,12.230399423590748,11.122911525200418,10.728741951160188,10.536967339761222,9.624399932545028,10.832716951160188,11.59,10.23052656546669,8.748141524419907,11.59,9.808080897829877,6.8771438823497295,1754.3722543477702,1433.6044393812242,6793091.935142946,9132.576862424874,2839963.9599942677,3818.024163192544
HAT-P-67,6406,65.0,61.0,-0.08,0.05,0.05,1.642,0.155,0.072,2.546,0.099,0.084,3.854,0.014,0.023,0.083,0.002,0.002,0.0,,,0.06505,0.00273,0.00079,0.45,0.15,0.15,2.14,0.025,0.025,,,,0.046,0.015,0.016,1903.0,25.0,25.0,2017AJ....153..211Z,2025AJ....169..336W,TEP,17,6,26.56,44,46,37.1,10.11,8.9,0.2912,0.8,2459010.99174,0.00017,4.8101069,6.9e-07,2025AJ....169..336W,0.12,0.0074607353487504,10.507716951160187,9.747716951160188,9.470716951160188,8.838716951160187,10.486716951160188,10.171283048839811,9.043283048839813,9.242283048839813,0.0657911362080931,1921.6121607569544,,2.0,-1.1264985692738163,0.0863755483267713,5.494046239736498,-0.0612830488398135,0.0612830488398135,10.20663600970183,10.389764423590748,9.932446525200415,9.868135951160188,9.867050458932203,8.887595047887373,9.747716951160188,10.11,9.262556855817268,8.971641524419907,10.11,8.575404813187816,2.298402049130339,1754.7841178420392,10946.596575442414,6325367.193193226,3291.6981492777186,2884087.1372353076,1500.8684874783567
WASP-193,6080,130.0,130.0,-0.108,0.055,0.056,1.018,0.064,0.062,1.213,0.05,0.042,4.28,0.042,0.050,0.57,0.08,0.08,0.081,0.076,0.055,0.0668,0.0014,0.0014,0.112,0.029,0.034,1.319,0.058,0.046,1.58,0.46,0.49,0.045,0.014,0.014,1250.0,21.0,22.0,2024NatAs...8..909B,2025AJ....169..225Y,TEP,10,57,23.85,-29,59,49.7,12.19,10.75,0.17733,1.3,2457781.66567,0.00056,6.2463345,3e-07,2024NatAs...8..909B,0.31,0.0124864469404507,12.655716951160189,11.791716951160188,11.483716951160188,10.763716951160188,12.669716951160186,12.176283048839812,10.899283048839813,11.136283048839813,0.0667737758079708,1249.5807039457643,2823.198455570993,2.0,0.0392731902784375,0.1117427713118424,11.841836767347552,0.0137169511601875,-0.0137169511601875,12.520258295416111,12.502632423590748,11.986058525200418,11.888792951160188,11.867870671367443,10.895517198465711,11.791716951160188,12.19,11.295283433614252,10.824641524419906,12.19,10.640540272016183,15.215819465692192,1753.6219316626655,1006.9330826739674,6014197.131580144,4812.972153450586,2406384.604345929,1925.753652202982
WASP-017,6550,100.0,100.0,-0.25,0.09,0.09,1.286,0.079,0.079,1.583,0.041,0.041,4.149,0.014,0.014,0.324,0.012,0.012,0.0,,,0.05135,0.00103,0.00103,0.477,0.033,0.033,1.932,0.053,0.053,3.16,0.2,0.2,0.0618,0.0048,0.0048,1755.0,28.0,28.0,2010ApJ...709..159A,2012MNRAS.426.1338S,TEP,15,59,50.95,-28,3,42.3,11.5,10.22,0.183,1.8,2454592.80154,0.0005,3.73548546,2.7e-07,2022MNRAS.512.4185A,0.4,0.0157298036356436,11.851716951160189,11.161716951160187,10.907716951160188,10.334716951160187,11.822716951160189,11.385283048839812,10.360283048839811,10.533283048839811,0.0512371392225482,1755.58806039847,1981.8853158108373,3.0,0.2202714264775258,0.1254185139269464,6.975300817234758,0.1147169511601866,-0.1147169511601866,11.437078295416114,11.75785242359075,11.340038525200418,11.299454951160188,11.313087075512518,10.328341037804927,11.161716951160187,11.5,10.684789082550934,10.290141524419909,11.5,9.975011632453484,8.39829553256577,1754.2354034754655,1882.667731647389,5446445.054839744,3102.3479697187913,2817990.9988502027,1605.1550260660786
HAT-P-47,6703,50.0,50.0,0.0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,4.22,0.02,0.02,,,,0.0,0.202,0.0,0.0615,0.0006,0.0006,0.206,0.039,0.039,1.313,0.045,0.045,2.95,0.52,0.66,0.083,0.015,0.015,1605.0,22.0,22.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,33,13.97,30,21,37.8,10.69,9.4,0.1287,0.8,2455661.63669,0.00041,4.732182,1.3e-05,arXiv:1606.04556,0.794,0.0079318606029902,10.992716951160189,10.381716951160188,10.154716951160188,9.642716951160187,10.976716951160189,10.447283048839813,9.537283048839813,9.684283048839813,0.0615185792172413,1604.0048799858946,1941.5183629783005,1.0,-0.0302009855847026,0.0890609937233481,8.729028101477677,0.2427169511601867,-0.2427169511601867,10.476202581130394,10.920462423590749,10.552028525200418,10.539785951160187,10.570695277585058,9.579715231405295,10.381716951160188,10.69,9.914310612142298,9.468641524419906,10.69,9.177883527800333,4.0661191043629215,1754.6251209624734,2734.7157608021494,4701382.514637345,2931.0275631322825,2161199.5484540868,1347.3771653818735
KELT-19,7500,110.0,110.0,0.39,0.22,0.22,1.62,0.25,0.2,1.83,0.099,0.099,4.127,0.029,0.029,0.266,0.022,0.019,0.0,,,0.0637,0.0031,0.0027,,4.07,0.0,1.794,0.097,0.097,,,,,,,1935.0,38.0,38.0,2018AJ....155...35S,2022MNRAS.513.2822G,TEP,7,26,2.29,7,36,56.8,9.9,9.2,0.1831,1.2,2459218.17799,0.00013,4.6117105,7.7e-06,2022MNRAS.513.2822G,0.6,0.0101487740743984,10.063716951160188,9.673716951160188,9.525716951160188,9.187716951160189,10.145716951160187,9.91228304883981,9.328283048839811,9.40328304883981,0.0636824181693071,1938.6987619967483,,2.0,0.0276086103484968,0.1007411240477217,7.484999079898298,-0.0122830488398104,0.0122830488398104,9.2448565811304,10.05559642359075,9.822134525200418,9.891272951160188,9.972734091056562,8.96336983604545,9.673716951160188,9.9,9.233297106631744,9.264141524419903,9.9,8.419155435987067,2.0764003020951467,1754.8040847168334,7618.877720272597,4462516.810396131,2301.8103162143643,2078015.8068968116,1071.861109952211
