Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
Kepler-402c,6090,120.0,120.0,-0.14,0.1,0.1,1.092,,,1.264,0.244,0.244,4.278,0.15,0.15,0.763,0.379,0.379,,,,,,,,,,0.139,0.031,0.031,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,13,28.86,43,21,16.6,13.35,11.99,0.1445,0.01,2454967.936,0.00285,6.124821,2.6e-05,2014ApJ...784...45R,0.59,0.0001277045406547,13.803058669528385,12.939058669528384,12.631058669528384,11.911058669528384,13.817058669528382,13.428941330471616,12.151941330471615,12.388941330471615,0.0674646591089227,1271.1182739345256,,1.0,,0.0113006433734895,11.47711319602081,-0.0789413304716166,0.0789413304716166,13.55344220505086,13.674189434720583,13.136780004764306,13.036134669528384,13.01521238973564,12.042858916833907,12.939058669528384,13.35,12.442625151982448,12.070970665235809,13.35,11.790906579908338,12.80202189704051,946.8545749130154,975.2209534094108,13056.721713685178,10.271838570356135,5275.789356725029,4.1505101963444675
Kepler-290b,5147,200.0,200.0,-0.06,0.5,0.5,0.84,,,0.743,0.382,0.382,4.622,0.3,0.3,2.889,1.022,1.022,,,,,,,,,,0.201,0.109,0.109,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,38.4,42,40,53.6,15.83,13.45,0.1002,0.09,2454974.93413,0.00255,14.589347,6.6e-05,2014ApJ...784...45R,0.6,0.0007728324942536,16.486698897751022,15.179698897751022,14.756698897751022,13.605698897751022,16.98869889775102,15.674301102248975,13.734301102248976,14.139301102248975,0.1102529406000202,644.2979984500405,,1.0,,0.0277998650042338,31.90838154271763,0.1556988977510247,-0.1556988977510229,16.166862000054497,16.372724906353316,15.4413292920515,15.190179897751024,15.095669535056722,14.149371073202218,15.179698897751022,15.83,14.63963666108176,13.592150551124488,15.83,14.128036490036529,104.14421617116281,934.4406426392541,83.127804099765,13051.69150965432,20.257228085532166,3417.030641773027,5.303494112962058
Kepler-1625,5677,107.0,162.0,0.01,0.13,0.19,1.04,0.08,0.06,1.73,0.24,0.22,4.48,0.06,0.12,0.3,0.006,0.011,0.13,0.11,0.09,0.98,0.14,0.13,,11.6,0.0,1.02,0.14,0.13,,,,,,,,,,2018SciA....4.1784T,2020A+A...635A..59T,TEP,19,41,43.04,39,53,11.5,15.98,13.92,0.8,0.4,2456043.9587,0.0027,287.37278,0.0007,2018SciA....4.1784T,0.5,0.00367095468853,16.458195297041545,15.410195297041543,15.051195297041543,14.163195297041543,16.633195297041546,15.736804702958455,14.190804702958456,14.497804702958456,0.8634715832551347,387.48171997025344,,2.0,13.495338932356498,0.0605884039113929,121.81012286539692,0.2431952970415434,-0.2431952970415434,15.64330942660378,16.44923169380107,15.650333152731452,15.468868297041544,15.41531130222289,14.45456929757472,15.410195297041543,15.98,14.894767089122007,14.055402351479229,15.98,14.318905698716716,125.46341252448615,931.519428687581,550.9175831361207,13032.244203861921,33.63318456639037,768.7699422440284,1.984016026105815
Kepler-1044b,5985,112.0,125.0,0.04,0.14,0.16,1.08,0.08,0.06,1.11,0.25,0.12,4.38,0.08,0.16,,,,,,,,,,,,,0.223,0.067,0.029,,,,,,,1058.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,32,34.67,46,39,58.4,15.49,13.9,0.1092,0.05,2454968.95524,0.002,6.7740898,1.78e-05,2016ApJ...822...86M,0.7390174444021814,0.0004262208150099,15.864357179382829,15.000357179382828,14.692357179382828,13.972357179382827,15.878357179382828,15.417642820617171,14.140642820617174,14.377642820617174,0.0718866758733692,1134.0566277571756,,1.0,,0.0206451160086347,13.926078267604076,0.072357179382827,-0.072357179382827,14.904976947562623,15.886043895223478,15.219091812487612,15.097433179382827,15.076510899590083,14.104157426688351,15.000357179382828,15.49,14.503923661836891,14.020321410308586,15.49,13.870416245385751,85.33467927043614,937.0104141634491,110.5632561188834,13024.285623756507,11.484687188429596,5004.128311949039,4.412591214113977
Kepler-345c,4722,118.0,118.0,-0.02,0.1,0.1,0.786,0.029,0.029,0.819,0.047,0.047,4.683,0.15,0.150,1.39,0.19,0.19,0.025,0.025,0.025,,,,0.016,0.011,0.011,0.1811,0.0116,0.0116,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,40,54.91,45,58,15.7,14.44,11.55,0.0648,0.04,2454970.38084,0.00171,9.387427,2.8e-05,2014ApJ...784...45R,0.2,0.0005163450093549,15.400882384349185,13.660882384349184,13.110882384349184,11.567882384349184,16.404882384349182,14.422117615650818,11.814117615650815,12.358117615650816,0.0803732902539115,726.850942150146,,2.0,,0.0227232262092115,21.102371015425177,0.0178823843491819,-0.0178823843491819,15.960608676003416,15.100334383089194,13.95690678772795,13.575732384349184,13.399955182276644,12.481895424481284,13.660882384349184,14.44,13.069264707542056,11.68205880782541,14.44,12.643243073541052,27.13627768066711,944.9172552851737,206.31864347366755,13022.430329947385,17.916232304005646,4250.291888677385,5.84754265586327
Kepler-191b,5282,200.0,200.0,0.01,0.5,0.5,0.891,,,0.789,0.39,0.39,4.594,0.3,0.3,2.56,0.92,0.92,,,,,,,,,,0.12,0.059,0.059,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,24,44.01,45,19,23.4,15.02,12.88,0.1215,0.03,2454964.58517,0.00408,9.939632,6.6e-05,2014ApJ...784...45R,0.14,0.0002442751970819,15.675418341582214,14.416418341582212,14.006418341582211,12.906418341582214,16.111418341582215,14.993581658417789,13.131581658417788,13.518581658417787,0.0870587890474015,766.7678329659592,,1.0,,0.015629305713369,23.72679224199013,0.0264183415822127,-0.0264183415822127,15.550631696688445,15.520070054135438,14.66557464437976,14.436688341582212,14.350496631737654,13.401275851174525,14.416418341582212,15.02,13.881432271775816,13.005790829208896,15.02,13.351826146463978,51.754131134093726,941.5807738773202,202.83598178473846,13019.589319349181,16.97983243374685,4129.639417562374,5.385775511197937
Kepler-399b,5502,200.0,200.0,-0.83,0.5,0.5,0.701,,,0.68,0.363,0.363,4.62,0.3,0.3,3.145,1.225,1.225,,,,,,,,,,0.086,0.045,0.045,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,58,0.42,40,40,14.9,14.67,12.69,0.1536,0.02,2454969.75198,0.00606,14.425281,0.000144,2014ApJ...784...45R,0.21,0.0001689079005015,15.259626983284964,14.118626983284964,13.736626983284964,12.754626983284965,15.543626983284964,14.605373016715037,12.919373016715037,13.261373016715035,0.1030216997022807,681.6226051564705,,1.0,,0.0129964572288596,32.577909070331245,0.0646269832849633,-0.0646269832849633,15.049394530113036,15.122403564260829,14.353843578747878,14.159980983284964,14.091706371886,13.136171400796844,14.118626983284964,14.67,13.59444866610243,12.804686508357518,14.67,13.032617686638408,38.98068617404795,943.3134442192309,340.451677549879,13016.835164202952,19.096836087492818,3427.2301076686676,5.028046431766927
Kepler-1010b,5253,68.0,81.0,-0.01,0.15,0.16,0.86,0.04,0.09,0.82,0.05,0.05,4.55,0.03,0.07,,,,,,,,,,,,,0.218,0.01,0.018,,,,,,,477.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,19,16,46.23,44,8,57.5,14.9,12.77,0.201,0.07,2454980.05143,0.003,34.2685741,0.0001132,2016ApJ...822...86M,0.3940978826120261,0.0007463734273565,15.559821222149798,14.300821222149798,13.890821222149798,12.790821222149798,15.995821222149798,14.879178777850202,13.0171787778502,13.404178777850202,0.1963526152213547,517.6417297951265,,1.0,,0.0273198357856799,51.49039771048474,0.0208212221497987,-0.0208212221497987,15.474741641163307,15.396050224177236,14.548801955835804,14.321091222149798,14.23489951230524,13.28567873174211,14.300821222149798,14.9,13.7658351523434,12.8935893889251,14.9,13.23528026243499,46.54657001805332,942.2875448683254,373.0973086365839,13015.013819037702,25.142899171187022,2223.292569699645,4.295041225867909
Kepler-101c,5667,50.0,50.0,0.33,0.07,0.07,1.17,0.07,0.05,1.56,0.2,0.2,4.12,0.11,0.09,0.309,0.145,0.087,0.0,,,0.0684,0.0014,0.0014,,0.012,0.0,0.112,0.017,0.015,,,,0.0,7.9,0.0,1413.0,238.0,210.0,2014ApJ...784...45R,2014A+A...572A...2B,TEP,18,53,1.32,48,21,18.8,13.99,12.01,0.161,0.01,2454965.486,0.0088,6.02976,7.5e-05,2014A+A...572A...2B,0.66,5.443243157403773e-05,14.547393186477622,13.490393186477622,13.129393186477625,12.232393186477625,14.732393186477625,13.767606813522375,12.208606813522378,12.518606813522378,0.0683180017593483,1305.8137341602812,,2.0,0.1200243545478159,0.0073778337995673,9.428332979400937,0.2223931864776229,-0.2223931864776229,14.408010539212734,14.395141020745932,13.711788205688096,13.547560186477623,13.492723398912856,12.532434908753377,13.490393186477622,13.99,12.974208655222268,12.109303406761189,13.99,12.384520867549258,21.686033427751827,945.6543405340126,641.44510550273,13004.778557311109,9.959137522530336,5296.060629701743,4.055755036998011
Kepler-1033b,5547,60.0,66.0,0.06,0.15,0.16,0.94,0.04,0.02,0.92,0.15,0.06,4.49,0.05,0.14,,,,,,,,,,,,,0.214,0.065,0.021,,,,,,,914.0,,,2016ApJ...822...86M,2016ApJ...822...86M,KTEP,18,55,22.83,44,36,32.7,16.14,14.28,0.1607,0.07,2454967.47889,0.003,7.5605221,2.64e-05,2016ApJ...822...86M,0.5,0.0005713770318513,16.651691696332065,15.545691696332064,15.172691696332064,14.226691696332065,16.894691696332064,16.193308303667934,14.561308303667936,14.890308303667936,0.0738499705176424,944.0830800650454,,1.0,,0.0239034941347782,17.260998213712003,-0.0533083036679329,0.0533083036679347,15.889250424581617,16.631603481248828,15.792372013411402,15.593822696332063,15.531307152290616,14.573736833699533,15.545691696332064,16.14,15.024951014221887,14.420654151833968,16.14,14.465798162605656,142.2898963541654,929.207333811055,97.57881870572848,12980.517993302,13.749338662448723,4720.805742508316,5.000413461687146
