Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
TOI-1420,5493,50.0,50.0,0.29,0.08,0.08,0.987,0.048,0.048,0.923,0.024,0.024,4.502,0.029,0.029,1.25,0.11,0.11,0.0,0.17,0.0,0.071,0.0012,0.0012,0.079,0.012,0.012,1.061,0.029,0.029,,,,0.062,0.011,0.011,957.0,17.0,17.0,2023AJ....166..181Y,2023AJ....166..181Y,TEP,21,31,45.92,66,20,55.9,11.65,10.12,0.1405,1.5,2459517.43305,0.00012,6.9561063,1.7e-06,2023AJ....166..181Y,0.412,0.0139539850201717,12.300716951160188,11.159716951160188,10.777716951160189,9.795716951160188,12.584716951160187,11.974283048839812,10.288283048839812,10.630283048839813,0.071005126889315,954.990152721476,,1.0,-0.00722044947967,0.1181269868411606,16.540935051580586,-0.3242830488398116,0.3242830488398116,12.641420009701834,12.046628423590748,11.378622525200418,11.201070951160188,11.132796339761226,10.177261368672069,11.159716951160188,11.65,10.635538633977657,10.204141524419908,11.65,10.059887108213552,2.5426371729634796,948.2387327022017,4774.255693686564,7680410.595488676,8042.397687140004,2912066.799941086,3049.3160496393043
WASP-107,4425,70.0,70.0,0.02,0.09,0.09,0.683,0.017,0.016,0.67,0.02,0.02,4.633,0.012,0.012,2.441,0.023,0.023,0.06,0.04,0.004,0.0553,0.0013,0.0013,0.096,0.005,0.005,0.924,0.022,0.022,3.09,0.38,0.34,0.101,0.011,0.01,736.0,17.0,17.0,2017A+A...604A.110A,arXiv:2011.13444,TEP,12,33,32.84,-10,8,46.1,11.59,8.64,0.11411,2.2,2457584.329746,1.1e-05,5.72149242,4.6e-07,2017MNRAS.469.1622M,0.09,0.0200846941977851,12.637716951160188,10.832716951160188,10.257716951160187,8.668716951160187,13.693716951160187,11.561283048839814,8.856283048839813,9.416283048839814,0.0551340170350805,743.8307979747185,849.9782576089054,3.0,0.3010536395594262,0.1417204791051212,17.748176430718335,0.0287169511601863,-0.0287169511601863,13.700785295416118,12.230399423590748,11.122911525200418,10.728741951160188,10.536967339761222,9.624399932545028,10.832716951160188,11.59,10.23052656546669,8.748141524419907,11.59,9.808080897829877,2.009397412245397,948.3106201821008,4906.49780870523,6784277.471164376,9120.726769631501,2836278.928161222,3813.0700367392183
WASP-193,6080,130.0,130.0,-0.108,0.055,0.056,1.018,0.064,0.062,1.213,0.05,0.042,4.28,0.042,0.050,0.57,0.08,0.08,0.081,0.076,0.055,0.0668,0.0014,0.0014,0.112,0.029,0.034,1.319,0.058,0.046,1.58,0.46,0.49,0.045,0.014,0.014,1250.0,21.0,22.0,2024NatAs...8..909B,2025AJ....169..225Y,TEP,10,57,23.85,-29,59,49.7,12.19,10.75,0.17733,1.3,2457781.66567,0.00056,6.2463345,3e-07,2024NatAs...8..909B,0.31,0.0124864469404507,12.655716951160189,11.791716951160188,11.483716951160188,10.763716951160188,12.669716951160186,12.176283048839812,10.899283048839813,11.136283048839813,0.0667737758079708,1249.5807039457643,2823.198455570993,2.0,0.0392731902784375,0.1117427713118424,11.841836767347552,0.0137169511601875,-0.0137169511601875,12.520258295416111,12.502632423590748,11.986058525200418,11.888792951160188,11.867870671367443,10.895517198465711,11.791716951160188,12.19,11.295283433614252,10.824641524419906,12.19,10.640540272016183,4.446554371139267,947.9820160471396,3445.6594300171514,6012649.358878887,4811.73351980622,2405765.313637985,1925.2580533945268
WASP-017,6550,100.0,100.0,-0.25,0.09,0.09,1.286,0.079,0.079,1.583,0.041,0.041,4.149,0.014,0.014,0.324,0.012,0.012,0.0,,,0.05135,0.00103,0.00103,0.477,0.033,0.033,1.932,0.053,0.053,3.16,0.2,0.2,0.0618,0.0048,0.0048,1755.0,28.0,28.0,2010ApJ...709..159A,2012MNRAS.426.1338S,TEP,15,59,50.95,-28,3,42.3,11.5,10.22,0.183,1.8,2454592.80154,0.0005,3.73548546,2.7e-07,2022MNRAS.512.4185A,0.4,0.0157298036356436,11.851716951160189,11.161716951160187,10.907716951160188,10.334716951160187,11.822716951160189,11.385283048839812,10.360283048839811,10.533283048839811,0.0512371392225482,1755.58806039847,1981.8853158108373,3.0,0.2202714264775258,0.1254185139269464,6.975300817234758,0.1147169511601866,-0.1147169511601866,11.437078295416114,11.75785242359075,11.340038525200418,11.299454951160188,11.313087075512518,10.328341037804927,11.161716951160187,11.5,10.684789082550934,10.290141524419909,11.5,9.975011632453484,2.4539276093364406,948.2506922538976,6443.2218537512035,5442573.20637733,3100.1425272521037,2815987.7042229483,1604.0139300012088
WASP-039,5485,50.0,50.0,0.01,0.09,0.09,0.913,0.046,0.046,0.939,0.022,0.022,4.453,0.018,0.018,1.103,0.057,0.057,0.0,,,0.04828,0.00081,0.00081,0.281,0.032,0.032,1.279,0.04,0.04,4.26,0.5,0.5,0.126,0.017,0.017,1166.0,14.0,14.0,2011A+A...531A..40F,2018A+A...613A..41M,TEP,14,29,18.42,-3,26,40.1,12.1,10.2,0.1168,2.5,2455342.9696,0.00014,4.05528047,7e-07,2016ApJ...827...19F,0.441,0.0195920910808826,12.750716951160188,11.609716951160188,11.227716951160188,10.245716951160189,13.034716951160188,12.054283048839812,10.368283048839812,10.710283048839813,0.0482811241627232,1166.4175329696204,976.7365353482312,3.0,-0.0023283689905305,0.1399717510102756,11.05617942041964,0.0457169511601875,-0.0457169511601875,13.091420009701832,12.496628423590748,11.828622525200418,11.651070951160188,11.582796339761224,10.627261368672068,11.609716951160188,12.1,11.085538633977652,10.284141524419905,12.1,10.509887108213553,3.8470096943511622,948.0628637754163,2623.2114815873992,4153519.530559165,3560.9200077647874,2062556.285225704,1768.2829920899549
WASP-021,5924,55.0,55.0,-0.22,0.04,0.04,0.89,0.079,0.079,1.136,0.051,0.051,4.277,0.026,0.026,0.607,0.048,0.048,0.0,,,0.0499,0.0015,0.0015,0.276,0.019,0.019,1.162,0.054,0.054,5.07,0.35,0.35,0.165,0.018,0.018,1333.0,28.0,28.0,2010A+A...519A..98B,2013A+A...557A..30C,TEP,23,9,58.23,18,23,46.0,11.59,9.98,0.1426,1.4,2454743.04217,0.00065,4.3225126,2.2e-06,2015MNRAS.451.4060S,0.23,0.0110490892089883,12.099716951160188,11.167716951160187,10.839716951160188,10.063716951160188,12.157716951160188,11.506283048839812,10.133283048839813,10.395283048839811,0.049952899036384,1362.2510912923974,938.2329302116436,3.0,-0.1058978305653212,0.1051146479278141,9.44551458447212,0.0837169511601878,-0.0837169511601878,12.068387438273255,11.92454442359075,11.368466525200418,11.249732951160189,11.2160127439063,10.248223527140912,11.167716951160187,11.59,10.663901239623248,10.056641524419906,11.59,10.029979498756592,2.5189811254704857,948.2419219528265,4891.120411908128,3229339.227691414,2370.5903033101404,1553264.9207454547,1140.219252290588
TOI-2641,6100,100.0,100.0,-0.15,0.08,0.08,1.16,0.07,0.07,1.336,0.055,0.05,4.2,0.1,0.1,0.482,0.059,0.06,0.0,0.18,0.0,0.0607,0.0042,0.0043,0.367,0.049,0.04,1.62,0.46,0.64,,,,0.082,0.071,0.097,1387.0,22.0,23.0,2023A+A...675A..39P,2023A+A...675A..39P,TEP,11,24,31.34,-42,43,55.6,11.69,10.33,0.0699,1.5,2459332.21332,0.00066,4.880974,3e-06,2023A+A...675A..39P,1.043,0.015527015962383,12.155716951160189,11.291716951160188,10.983716951160188,10.263716951160188,12.169716951160186,11.756283048839812,10.479283048839813,10.716283048839813,0.05916935605569,1397.712793904226,,1.0,2.586886264013665,0.124607447459544,9.76979928832503,-0.0662830488398125,0.0662830488398125,12.020258295416111,12.002632423590748,11.486058525200418,11.388792951160188,11.367870671367443,10.395517198465711,11.291716951160188,11.69,10.795283433614252,10.404641524419906,11.69,10.140540272016183,2.806894934061395,948.2031053861728,2151.6159820280263,2996498.4733717064,2143.8585140238993,1356315.7771188656,970.3823153326613
TrES-4,6295,65.0,65.0,0.28,0.09,0.09,1.45,0.05,0.05,1.81,0.08,0.08,4.09,0.03,0.03,0.246,0.03,0.022,0.0,0.016,0.0,0.0516,0.0005,0.0005,0.494,0.035,0.035,1.838,0.081,0.09,2.82,0.34,0.31,0.075,0.012,0.01,1795.0,35.0,39.0,2007ApJ...667L.195M,2015A+A...575L..15S,TEP,17,53,13.06,37,12,42.4,11.59,10.33,0.1524,1.1,2454230.9056,0.0003,3.55392771,4.7e-07,2015A+A...575L..15S,0.755,0.0108894200591912,11.987716951160188,11.227716951160188,10.950716951160189,10.318716951160187,11.966716951160189,11.601283048839813,10.473283048839813,10.672283048839812,0.0515863631101693,1798.0462736018865,2271.453373005644,2.0,0.0264350673482493,0.1043523840608886,6.130198471049867,-0.0112830488398127,0.0112830488398127,11.68663600970183,11.869764423590748,11.412446525200416,11.348135951160188,11.347050458932204,10.367595047887374,11.227716951160188,11.59,10.742556855817268,10.401641524419906,11.59,10.055404813187817,2.623034865674438,948.2278936011846,5019.895149817001,2935579.535995122,1632.6496036803899,1557182.6519537019,866.0414778059736
WASP-052,5000,100.0,100.0,0.03,0.12,0.12,0.804,0.05,0.05,0.786,0.016,0.016,4.553,0.01,0.010,1.653,0.02,0.02,0.0,,,0.02643,0.00055,0.00055,0.434,0.024,0.024,1.253,0.027,0.027,6.85,0.26,0.26,0.206,0.009,0.009,1315.0,26.0,26.0,2013A+A...549A.134H,2017MNRAS.465..843M,TEP,23,13,58.76,8,45,40.6,12.2,10.09,0.0754,2.7,2457669.44736,0.00021,1.74978145,4.2e-07,2022MNRAS.509.5102S,0.6,0.0268366274065079,13.006716951160188,11.626716951160189,11.184716951160189,9.958716951160188,13.606716951160188,12.331283048839811,10.275283048839812,10.707283048839813,0.0264249640572437,1314.9443475502703,685.0521963375012,3.0,0.019057519795863,0.1638188859884839,7.230661417776812,-0.131283048839812,0.131283048839812,13.725604723987548,12.672407423590748,11.867783525200418,11.622890951160189,11.516222557377803,10.574184591510898,11.626716951160189,12.2,11.079168948710908,10.182641524419909,12.2,10.562530514197366,3.9881386224541706,948.0438333650355,1633.4838421416634,2841680.7169949682,2161.0653882721303,2148242.8559291125,1633.7138981822843
HAT-P-48,5946,50.0,50.0,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,4.3,0.03,0.03,,,,0.0,0.378,0.0,0.0543,0.0007,0.0007,0.168,0.024,0.024,1.131,0.054,0.054,3.24,0.57,0.48,0.106,0.023,0.015,1361.0,25.0,25.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,57,53.03,30,37,32.5,12.16,10.26,0.1411,1.0,2455839.21023,0.00029,4.40865,8e-06,arXiv:1606.04556,0.281,0.0090311526375483,12.669716951160188,11.737716951160188,11.409716951160188,10.633716951160189,12.727716951160188,11.786283048839811,10.413283048839812,10.675283048839812,0.0543012085608763,1360.7134681720115,1498.9998752816675,1.0,-0.0022256611009888,0.0950323767857476,9.547216723557428,0.3737169511601887,-0.3737169511601887,12.638387438273256,12.49454442359075,11.938466525200418,11.819732951160187,11.7860127439063,10.818223527140912,11.737716951160188,12.16,11.233901239623249,10.336641524419909,12.16,10.599979498756593,4.256085470612808,948.0077012488167,2864.3785666843496,2828824.4767545965,2078.92737370701,1347265.5045369912,990.1169761675937
HAT-P-26,5100,20.0,20.0,0.05,0.1,0.1,0.796,0.03,0.03,0.916,0.063,0.063,4.416,0.063,0.063,1.04,0.22,0.22,0.124,0.06,0.06,0.04748,0.0006,0.00060,0.0577,0.007,0.007,0.652,0.055,0.055,3.37,0.69,0.69,0.195,0.055,0.055,1080.0,39.0,39.0,2011ApJ...728..138H,2022A+A...664A.162M,TEP,14,12,37.54,4,3,36.1,11.74,9.58,0.1023,0.6,2455304.652182,3.2e-05,4.23450158,1.8e-07,2022A+A...664A.162M,0.303,0.0053502629984275,12.546716951160189,11.166716951160188,10.724716951160188,9.498716951160189,13.146716951160188,11.821283048839812,9.765283048839812,10.197283048839813,0.0474728974335953,1080.2601143523518,1143.6215654804375,2.0,0.0149613080065819,0.0731454919897837,11.14598990309782,-0.0812830488398113,0.0812830488398113,13.265604723987549,12.212407423590747,11.407783525200418,11.162890951160188,11.056222557377804,10.1141845915109,11.166716951160188,11.74,10.61916894871091,9.672641524419904,11.74,10.102530514197367,2.6118020025842257,948.2294080070371,3384.1462680764475,2702585.89816341,2501.791802045465,1313343.5837248813,1215.766060669814
WASP-031,6175,70.0,70.0,-0.2,0.09,0.09,1.163,0.026,0.026,1.252,0.033,0.033,4.308,0.02,0.020,0.592,0.042,0.042,0.0,,,0.04659,0.00035,0.00035,0.478,0.029,0.029,1.549,0.05,0.05,4.56,0.38,0.38,0.129,0.014,0.014,1575.0,32.0,32.0,2011A+A...531A..60A,2011A+A...531A..60A,TEP,11,17,45.35,-19,3,17.3,11.94,10.65,0.1103,1.6,2456088.4374,0.0001,3.4058853,5e-07,2022ExA....53..547K,0.769,0.0161646038025718,12.383716951160189,11.553716951160188,11.254716951160187,10.563716951160186,12.384716951160186,12.026283048839812,10.797283048839812,11.022283048839812,0.046589326676089,1543.5802288879522,1232.5490099453368,2.0,0.0014452321143324,0.1271400951807566,8.0018755053441,-0.0862830488398138,0.0862830488398138,12.19619372398754,12.241676423590748,11.744854525200417,11.657569951160188,11.642406738724954,10.667994834972252,11.553716951160188,11.94,11.060577474515828,10.723641524419907,11.94,10.395507444872267,3.561650761046121,948.1013415912671,2675.7031049279212,2571563.1176045933,1665.9730861266823,1393420.447552866,902.7198078046991
Qatar-8,5738,51.0,51.0,0.025,0.071,0.071,1.029,0.051,0.051,1.315,0.02,0.02,4.214,0.016,0.016,0.454,0.017,0.017,0.0,,,0.0474,0.0008,0.0008,0.371,0.062,0.062,1.285,0.022,0.022,5.6,1.1,0.9,0.163,0.028,0.028,1457.0,14.0,14.0,2019AJ....157..224A,2019AJ....157..224A,TEP,10,29,38.96,70,31,37.5,11.53,9.94,0.1678,1.1,2458210.8392,0.001,3.7146428,6e-07,2020AcA....70..181M,0.096,0.0100838328075411,12.104716951160189,11.075716951160189,10.721716951160188,9.853716951160187,12.256716951160186,11.616283048839811,10.100283048839811,10.399283048839813,0.0473903243100192,1457.5111230258549,928.4531766616802,2.0,0.020417015755125,0.1004182892083964,7.750968957250158,-0.086283048839812,0.086283048839812,12.242083438273262,11.893760423590749,11.285010525200416,11.138154951160187,11.08779743820682,10.125921040183776,11.075716951160189,11.53,10.562175763028064,10.020141524419904,11.53,9.956330959899892,2.3327355758672987,948.2670307489096,6214.986451951268,2388065.758064933,1638.4545684338977,1239046.9193143195,850.1114672401302
TOI-2796,5764,81.0,78.0,0.239,0.076,0.079,1.063,0.057,0.062,1.069,0.024,0.024,4.4,0.03,0.030,0.865,0.078,0.064,0.0,0.172,0.0,0.0569,0.001,0.0011},0.44,0.1,0.11,1.59,0.05,0.5,2.5,1.4,0.9,0.023,0.0,0.09,1205.0,18.0,17.0,2023ApJS..265....1Y,2023ApJS..265....1Y,TEP,5,36,36.65,0,53,46.6,12.53,10.94,0.0818,2.3,2459026.48882,0.00045,4.8084983,5.7e-06,2023ApJS..265....1Y,1.0,0.0233619841471168,13.093716951160188,12.080716951160188,11.730716951160188,10.879716951160187,13.226716951160189,12.590283048839812,11.099283048839812,11.392283048839811,0.0569015263612123,1204.714574460878,1720.028012659717,1.0,-0.002682460928428,0.1528462761964348,11.445584338310722,-0.0602830488398122,0.0602830488398122,13.200747009701836,12.889195423590747,12.288675525200418,12.146166951160188,12.098369023699048,11.135584486604143,12.080716951160188,12.53,11.568681485289614,11.019641524419908,12.53,10.95835816607134,5.873460634307152,947.7895720729942,1203.2974152781908,2335364.6382910176,1938.5211134646697,1065000.8796494568,884.027554930225
TOI-3540,5810,79.0,79.0,0.176,0.089,0.089,1.081,0.071,0.069,1.228,0.033,0.033,4.293,0.036,0.036,0.583,0.064,0.056,0.0,0.164,0.0,0.04289,0.00092,0.00093,1.18,0.14,0.14,2.1,0.66,0.66,6.6,7.5,2.7,0.13,0.27,0.07,1498.0,22.0,22.0,2022AJ....164...70Y,2022AJ....164...70Y,TEP,21,55,38.73,28,10,46.2,11.51,9.78,0.0792,2.3,2459109.14114,0.00089,3.119999,7.9e-06,2022AJ....164...70Y,1.015345730890473,0.0308825207950234,12.073716951160188,11.060716951160188,10.710716951160189,9.859716951160188,12.206716951160187,11.430283048839811,9.939283048839812,10.232283048839813,0.042886247880621,1499.165529551738,809.9465494040788,1.0,0.0087490036184787,0.1757342334180323,7.510365762792986,0.0797169511601882,-0.0797169511601882,12.180747009701836,11.869195423590748,11.268675525200418,11.126166951160188,11.078369023699048,10.115584486604146,11.060716951160188,11.51,10.548681485289617,9.859641524419906,11.51,9.938358166071342,2.297924795320573,948.2717237096675,2977.8520228053767,2269263.16481043,1513.6841930250068,1284717.4888567957,856.9550616875082
WASP-139,5233,60.0,60.0,0.2,0.09,0.09,0.84,0.03,0.03,0.81,0.008,0.008,4.56,0.02,0.02,1.6,0.1,0.1,0.103,0.05,0.041,0.061,0.001,0.001,0.118,0.017,0.017,0.79,0.01,0.01,,,,0.23,0.04,0.04,910.0,30.0,30.0,2017MNRAS.465.3693H,2024AJ....168..185E,TEP,3,18,14.91,-41,18,7.4,12.39,10.47,0.118,1.3,2456870.9582,0.0002,5.9242705,8e-07,2024AJ....168..185E,0.33,0.0100451177391543,13.11971695116019,11.860716951160189,11.450716951160189,10.350716951160187,13.55571695116019,12.509283048839812,10.647283048839812,11.034283048839812,0.0604583372648901,923.6308760586164,,2.0,0.8959272775509391,0.1002253348168733,16.193779624572105,-0.1192830488398115,0.1192830488398115,13.664987009701836,12.82223542359075,12.09003552520042,11.880986951160189,11.79479524131563,10.845574460752498,11.860716951160189,12.39,11.325730881353792,10.558641524419906,12.39,10.779704969492096,4.892820269094489,947.921833262931,2083.706214266239,2235092.5705726612,2419.898065892305,918286.2362849392,994.2134461804869
Kepler-051d,5670,60.0,60.0,0.05,0.04,0.04,0.985,0.012,0.012,0.881,0.011,0.011,4.7,0.1,0.1,1.44,0.06,0.06,0.01,0.01,0.01,0.509,0.02,0.020,0.0179,0.0035,0.0035,0.844,0.014,0.014,,,,0.029,0.005,0.005,381.0,8.0,8.0,2014ApJ...783...53M,2020AJ....159...57L,TEP,19,45,55.15,49,56,15.7,14.83,13.2,0.35,1.2,2455045.0223,0.0017,130.1858,0.0018,2024AJ....168..294M,0.25,0.009691789280227,15.356573022504536,14.299573022504536,13.938573022504537,13.041573022504537,15.541573022504537,14.988426977495465,13.429426977495464,13.739426977495464,0.5001815536706664,362.8611522414316,,3.0,1.763049089799083,0.0984468855791136,124.23537711272276,-0.1584269774954627,0.1584269774954627,14.93924092788866,15.263279830453358,14.529197025495824,14.356740022504535,14.30190323493977,13.34161474478029,14.299573022504536,14.83,13.783388491249182,13.314713488747731,14.83,13.200649070954883,45.724452286055374,942.3990743672891,661.3529192392823,2167759.768888017,5974.075084912057,189989.38806061036,523.5870163753432
HATS-43,5099,61.0,61.0,0.05,0.041,0.041,0.837,0.023,0.023,0.812,0.032,0.032,4.539,0.036,0.036,1.54,0.26,0.14,0.173,0.089,0.089,0.04944,0.00046,0.00046,0.261,0.054,0.054,1.18,0.05,0.05,4.7,1.3,1.0,0.143,0.041,0.029,1003.0,27.0,27.0,2018AJ....155..112B,2018AJ....155..112B,TEP,5,22,9.16,-30,58,15.0,13.59,11.56,0.12452,2.8,2457636.08946,0.00025,4.3888497,5.9e-06,2018AJ....155..112B,0.5,0.022300923237086,14.375252908393218,12.995252908393216,12.553252908393215,11.327252908393218,14.975252908393218,13.822747091606782,11.766747091606783,12.198747091606783,0.0494404188999394,996.4494080798364,761.5379609330342,1.0,-0.0008472823425955,0.1493349364250912,13.09259824673876,-0.2327470916067824,0.2327470916067824,14.900568744672563,14.082004094636993,13.242050381852229,12.991426908393215,12.884758514610834,11.942720548743928,12.995252908393216,13.59,12.44770490594394,11.663373545803392,13.59,11.935780372168493,14.100220321450239,946.6792825943614,763.004247787063,2084058.030247985,2091.4840365693794,994796.9693028745,998.3416731812345
HAT-P-12,4665,45.0,45.0,-0.2,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,0.0,,,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955.0,11.0,11.0,2009ApJ...706..785H,2018A+A...613A..41M,TEP,13,57,33.47,43,29,36.8,12.8,10.11,0.0974,2.0,2456446.635829,3.6e-05,3.21305766,1.3e-07,2018A+A...620A.142A,0.211,0.0193447161184776,13.813716951160188,12.073716951160188,11.52371695116019,9.980716951160188,14.817716951160188,12.929283048839812,10.321283048839812,10.865283048839812,0.0376742728615342,954.9868546883656,578.5975075872424,3.0,-0.0113415899223907,0.1390852836157646,11.929692642282076,-0.1292830488398113,0.1292830488398113,14.849928009701824,13.41209642359075,12.355634525200418,11.98856695116019,11.81278974908765,10.89472999129229,12.073716951160188,12.8,11.48209927435306,10.215641524419905,12.8,11.0457793800766,6.246425398326758,947.7392646245522,1347.2281286276532,2059989.8857392678,2157.087163688228,1149227.0202187332,1203.3956431722331
WASP-012,6265,50.0,50.0,0.12,0.07,0.07,1.325,0.026,0.018,1.69,0.019,0.018,4.11,0.11,0.11,0.274,0.01,0.01,0.0,0.053,0.0,0.0234,0.001,0.0010,1.47,0.076,0.069,1.965,0.088,0.087,10.09,0.35,0.34,0.201,0.011,0.011,2580.0,58.0,62.0,2009ApJ...693.1920H,arXiv:2402.12120,TEP,6,30,32.79,29,40,20.4,11.69,10.19,0.12483,1.6,2454508.978942,4.7e-05,1.09141948,2e-08,2022AJ....164..220H,0.375,0.014276527521134,12.113716951160187,11.313716951160188,11.024716951160189,10.359716951160188,12.101716951160189,11.520283048839811,10.336283048839812,10.549283048839811,0.0227862544966312,2601.7241824087605,912.4666944927332,3.0,2.693490075165645,0.119484423759476,2.977368309284506,0.1697169511601881,-0.1697169511601881,11.87494943827326,11.982546423590748,11.502184525200418,11.425099951160188,11.416335702455523,10.43963336863432,11.313716951160188,11.69,10.824217240771157,10.263141524419906,11.69,10.14966524234632,2.848861746141022,948.197447283944,3785.8320132977465,2051221.761358565,788.4086158047228,1963436.068726696,754.6672633487549
WASP-088,6450,61.0,61.0,0.03,0.04,0.04,1.288,0.035,0.035,1.93,0.12,0.03,3.976,0.015,0.051,0.179,0.09,0.029,0.0,0.482,0.0,0.06431,0.00065,0.00062,0.52,0.067,0.066,1.63,0.12,0.03,4.84,0.64,0.88,0.112,0.016,0.026,1737.0,54.0,15.0,2014A+A...563A.143D,2021MNRAS.506.2853S,TEP,20,38,2.7,-48,27,43.2,11.39,10.32,0.252,0.8,2456474.73154,0.00086,4.9540045,2e-06,2021MNRAS.506.2853S,0.23,0.007532367094433,11.741716951160187,11.051716951160188,10.797716951160188,10.224716951160188,11.71271695116019,11.485283048839811,10.460283048839813,10.633283048839813,0.0618798713949221,1736.9885904042978,1280.6868154341107,2.0,3.9271713891720896,0.086789210702904,7.165138824441927,-0.0952830488398124,0.0952830488398124,11.327078295416117,11.64785242359075,11.23003852520042,11.189454951160188,11.20308707551252,10.218341037804928,11.051716951160188,11.39,10.574789082550934,10.390141524419906,11.39,9.865011632453486,2.21763938110294,948.2825471732567,9818.007465745546,2037953.1632371866,1173.268019430592,915621.5388275476,527.1315792664068
WASP-006,5375,65.0,65.0,-0.2,0.09,0.09,0.836,0.067,0.067,0.864,0.025,0.025,4.487,0.017,0.017,1.296,0.053,0.053,0.054,0.018,0.014,0.0414,0.0011,0.0011,0.485,0.028,0.028,1.23,0.037,0.037,7.96,0.3,0.3,0.244,0.015,0.015,1184.0,16.0,16.0,2009A+A...501..785G,2015MNRAS.450.1760T,TEP,23,12,37.75,-22,40,26.1,12.16,10.32,0.1086,2.2,2454425.0218,0.00011,3.36100208,3.1e-07,2015MNRAS.450.1760T,0.26,0.0214019637728484,12.850716951160187,11.650716951160188,11.253716951160188,10.212716951160187,13.208716951160188,12.267283048839811,10.493283048839812,10.858283048839812,0.0413670416485459,1184.5172941235842,530.7953582719367,2.0,0.0796729718649743,0.1462941002667177,10.303624125880408,-0.1072830488398128,0.1072830488398128,13.298212723987549,12.573975423590747,11.874695525200416,11.680775951160188,11.60290289416537,10.650753914955695,11.650716951160188,12.16,11.12077005080705,10.406641524419909,12.16,10.560222915377222,4.013579800250733,948.0404027303963,2337.823206956999,1993613.6769132207,1683.0599998865202,1087443.2798864779,918.047617608715
TOI-1259,4775,100.0,100.0,-0.5,0.5,0.5,0.744,0.064,0.059,0.711,0.02,0.019,4.605,0.013,0.013,2.07,0.02,0.03,0.0,0.132,0.0,0.0407,0.0011,0.0011,0.441,0.049,0.047,1.022,0.03,0.027,10.5,1.0,0.9,0.387,0.038,0.036,963.0,21.0,21.0,2021MNRAS.507.4132M,2021MNRAS.507.4132M,TEP,18,48,24.07,79,15,21.8,12.08,9.72,0.10314,2.7,2458686.70053,0.0001,3.47797926,1.7e-07,2025AJ....169..104S,0.082,0.0218189313981065,12.983716951160188,11.449716951160188,10.968716951160188,9.583716951160188,13.784716951160188,12.216283048839813,9.916283048839812,10.406283048839812,0.0407082238536474,962.2776459450456,327.2845240449135,2.0,-0.0202019466066738,0.1477123264934467,12.30915434007214,-0.1362830488398128,0.1362830488398128,13.914554295416114,12.60444842359075,11.706002525200418,11.416523951160189,11.284899598828584,10.351567433085393,11.449716951160188,12.08,10.886553947906028,9.818141524419907,12.08,10.404011735172226,3.4365762342741015,948.118206155815,2593.0738597109307,1940695.6644647813,2016.7730931324281,1040624.2488587538,1081.41787689224
