,Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
274,HD_209458,6117,50.0,50.0,0.02,0.05,0.05,1.148,0.04,0.04,1.162,0.014,0.014,4.368,0.006,0.006,0.733,0.008,0.008,0.0,,,0.04747,0.00055,0.00055,0.714,0.017,0.017,1.38,0.017,0.017,9.3,0.08,0.08,0.272,0.004,0.004,1459.0,12.0,12.0,2000ApJ...529L..41H,2010MNRAS.408.1689S,TEP,22,3,10.8,18,53,4.0,7.65,6.31,0.127,2.1,2455216.40564,9.4e-05,3.52474859,3.8e-07,2014ApJ...790...53Z,0.507,0.0148941870395728,8.093716951160188,7.2637169511601885,6.964716951160188,6.273716951160188,8.094716951160187,7.686283048839812,6.457283048839812,6.682283048839811,0.0474612577704062,1459.5037685763152,559.5728423326352,3.0,0.01841971747989,0.122041743020873,8.784489182169446,-0.0362830488398113,0.0362830488398113,7.906193723987541,7.951676423590749,7.454854525200418,7.367569951160188,7.352406738724954,6.377994834972255,7.2637169511601885,7.65,6.770577474515829,6.383641524419906,7.65,6.10550744487227,0.38277247636334877,42.60595957064396,17340.830092772918,195847.53710338508,134.18775704459202,104316.74845509873,71.47412065736242
1013,WASP-107,4425,70.0,70.0,0.02,0.09,0.09,0.683,0.017,0.016,0.67,0.02,0.02,4.633,0.012,0.012,2.441,0.023,0.023,0.06,0.04,0.004,0.0553,0.0013,0.0013,0.096,0.005,0.005,0.924,0.022,0.022,3.09,0.38,0.34,0.101,0.011,0.01,736.0,17.0,17.0,2017A+A...604A.110A,arXiv:2011.13444,TEP,12,33,32.84,-10,8,46.1,11.59,8.64,0.11411,2.7,2457584.329746,1.1e-05,5.72149242,4.6e-07,2017MNRAS.469.1622M,0.09,0.0200846941977851,12.637716951160188,10.832716951160188,10.257716951160187,8.668716951160187,13.693716951160187,11.561283048839814,8.856283048839813,9.416283048839814,0.0551340170350805,743.8307979747185,849.5787093608075,3.0,0.3010536395594262,0.1417204791051212,17.748176430718335,0.0287169511601863,-0.0287169511601863,13.700785295416118,12.230399423590748,11.122911525200418,10.728741951160188,10.536967339761222,9.624399932545028,10.832716951160188,11.59,10.23052656546669,8.748141524419907,11.59,9.808080897829877,1.693246406283023,30.64503214712201,5073.522312004768,184583.4292783653,248.15244243844683,77168.14254357317,103.74421542329843
975,WASP-069,4700,50.0,50.0,0.15,0.08,0.08,0.826,0.029,0.029,0.813,0.028,0.028,4.535,0.023,0.023,1.54,0.13,0.13,0.0,0.1,0.0,0.04525,0.00053,0.00053,0.26,0.017,0.017,1.057,0.047,0.047,5.32,0.56,0.56,0.219,0.031,0.031,963.0,18.0,18.0,2014MNRAS.445.1114A,2014MNRAS.445.1114A,TEP,21,0,6.19,-5,5,40.1,9.87,7.46,0.0929,2.0,2455845.53874,0.00014,3.86813577,3.2e-07,arXiv:2203.00299,0.686,0.0178500636924553,10.883716951160189,9.143716951160188,8.593716951160188,7.050716951160187,11.887716951160186,10.279283048839812,7.671283048839812,8.215283048839812,0.0452481685492039,960.6737540699836,645.6526535641942,2.0,0.0040475688956153,0.1336041305216847,11.968271886952374,-0.4092830488398125,0.4092830488398133,11.919928009701824,10.482096423590749,9.425634525200415,9.058566951160188,8.882789749087648,7.964729991292287,9.143716951160188,9.87,8.55209927435306,7.565641524419906,9.87,8.1157793800766,0.8954724294421449,38.37303143997409,7007.204882189094,145474.64115775356,151.42980698851898,73966.73350848907,76.99464380610183
1031,WASP-127,5750,100.0,100.0,-0.18,0.06,0.06,0.95,0.02,0.02,1.333,0.027,0.027,4.18,0.01,0.01,0.404,0.015,0.015,0.0,,,0.052,0.0005,0.0005,0.165,0.021,0.017,1.311,0.025,0.029,2.14,0.32,0.28,0.073,0.01,0.009,1400.0,24.0,24.0,2017A+A...599A...3L,arXiv:2009.13386,TEP,10,42,14.08,-3,50,6.3,10.16,8.64,0.1814,1.1,2457248.74141,0.00022,4.1780647,1.1e-06,arXiv:2103.12139,0.15,0.010214473151259,10.723716951160188,9.710716951160189,9.360716951160189,8.509716951160188,10.856716951160188,10.290283048839813,8.799283048839813,9.092283048839812,0.0499073479967755,1432.9596809493637,2333.4502594822056,3.0,4.193073940453967,0.1010666767597462,8.388351158941093,-0.1302830488398125,0.1302830488398125,10.830747009701836,10.519195423590748,9.91867552520042,9.776166951160189,9.728369023699049,8.765584486604146,9.710716951160189,10.16,9.198681485289615,8.719641524419906,10.16,8.588358166071341,1.693246406283023,30.64503214712201,8065.3487634533785,130218.65392590809,90.87391338159334,63706.77509783521,44.45817697789532
415,KELT-20,8730,250.0,260.0,-0.29,0.22,0.36,1.76,0.14,0.2,1.561,0.058,0.064,4.292,0.017,0.02,0.457,0.025,0.025,0.0,,,0.0542,0.0014,0.0021,,3.5,0.0,1.735,0.07,0.075,,,,,,,2261.0,73.0,73.0,2017AJ....154..194L,2017AJ....154..194L,TEP,19,38,38.73,31,13,9.2,7.59,7.42,0.12897,1.3,2458312.58576,0.00019,3.4740985,1.6e-06,arXiv:2106.02610,0.7024079441517415,0.0130455994174531,7.577716951160188,7.461716951160188,7.412716951160188,7.315716951160188,7.640716951160187,7.694283048839812,7.540283048839812,7.530283048839812,0.054200774364509,2259.156137278924,,2.0,-0.0014286963942756,0.114217334137394,7.466202970751878,-0.1042830488398118,0.1042830488398118,6.350948295416116,7.656122423590748,7.583968525200418,7.753819951160188,7.898630831989203,6.865926591494549,7.461716951160188,7.59,7.0533159566533286,7.480141524419906,7.59,6.1269315429026,0.8722016175712812,38.57522286906974,9929.59538243778,130017.74410252496,57.55146444155333,69755.99897321893,30.877015458186808
409,KELT-11,5375,25.0,25.0,0.17,0.07,0.07,1.44,0.07,0.07,2.69,0.04,0.04,3.7,0.1,0.1,0.074,0.002,0.002,0.007,0.002,0.006,0.06229,0.00088,0.00076,0.171,0.015,0.015,1.35,0.1,0.1,2.55,0.52,0.46,0.07,0.021,0.018,1712.0,51.0,46.0,2017AJ....153..215P,2017AJ....154...25B,TEP,10,46,49.74,-9,23,56.5,8.03,6.12,0.2974,0.22,2458260.168608,3e-05,4.73620495,8.6e-07,arXiv:2010.01310,0.36,0.0026597074125251,8.720716951160187,7.520716951160187,7.123716951160187,6.082716951160188,9.078716951160189,8.067283048839812,6.293283048839812,6.658283048839812,0.062327686351934,1702.7363344506286,2394.682085899094,3.0,-0.0604648658402116,0.0515723512410008,4.979313374244764,-0.0372830488398125,0.0372830488398125,9.16821272398754,8.443975423590748,7.7446955252004175,7.550775951160187,7.472902894165369,6.520753914955694,7.520716951160187,8.03,6.99077005080705,6.206641524419906,8.03,6.430222915377222,0.3278249444727762,43.03491982082239,44469.10824081015,118730.32318372515,69.72912997832535,54556.4881056872,32.040479199199865
268,HD_189733,5050,50.0,50.0,-0.03,0.05,0.05,0.84,0.042,0.042,0.752,0.025,0.025,4.61,0.026,0.026,1.98,0.17,0.17,0.0041,0.0025,0.002,0.03142,0.00052,0.00052,1.15,0.039,0.039,1.151,0.038,0.038,21.5,1.2,1.2,0.75,0.07,0.07,1191.0,20.0,20.0,2005A+A...444L..15B,2010MNRAS.408.1689S,TEP,20,0,43.71,22,42,39.1,7.68,5.54,0.07529,2.6,2453955.525551,9e-06,2.2185752,7e-08,2015MNRAS.450.3101B,0.6631,0.0247392114586874,8.486716951160188,7.106716951160188,6.664716951160187,5.438716951160188,9.086716951160188,7.781283048839812,5.725283048839812,6.157283048839813,0.0314110447555119,1191.4954971961365,197.5866449951055,3.0,0.0285098587385349,0.1572870352530284,8.984455227617827,-0.1012830488398126,0.1012830488398117,9.205604723987548,8.152407423590748,7.347783525200417,7.102890951160187,6.996222557377804,6.0541845915108965,7.106716951160188,7.68,6.5591689487109095,5.632641524419906,7.68,6.042530514197367,0.2009514831668813,44.00941624431346,14425.179299372006,114857.89192476154,96.39809146996244,77112.31903875901,64.71893449888991
1000,WASP-094,6170,80.0,80.0,0.26,0.15,0.15,1.45,0.09,0.09,1.62,0.05,0.04,4.181,0.013,0.017,0.344,0.011,0.02,0.0,0.13,0.0,0.055,0.001,0.001,0.452,0.035,0.032,1.72,0.06,0.05,3.48,0.25,0.25,0.089,0.008,0.008,1604.0,25.0,22.0,2014A+A...572A..49N,2014A+A...572A..49N,TEP,20,55,7.95,-34,8,7.9,10.06,8.87,0.187,1.4,2456416.40138,0.00026,3.9501907,3.7e-06,2014A+A...572A..49N,0.17,0.0119041324785748,10.503716951160188,9.673716951160188,9.374716951160188,8.683716951160187,10.504716951160187,10.246283048839812,9.017283048839811,9.242283048839813,0.0553530079319205,1609.5532755408606,1644.0287402890474,1.0,-0.6377393841987878,0.1091060606867228,7.3004744209136545,-0.1862830488398117,0.1862830488398117,10.31619372398754,10.36167642359075,9.864854525200418,9.777569951160189,9.762406738724955,8.787994834972254,9.673716951160188,10.06,9.180577474515829,8.943641524419906,10.06,8.515507444872267,1.8537030812726754,28.841648913090193,7680.171286446772,76260.49838548072,47.379915622771044,38369.89476584543,23.838847305599085
982,WASP-076,6329,65.0,65.0,0.366,0.053,0.053,1.458,0.021,0.021,1.765,0.071,0.071,4.196,0.106,0.106,0.268,0.013,0.035,0.0,0.05,0.0,0.033,0.0002,0.0002,0.894,0.019,0.013,1.854,0.077,0.076,6.4,0.5,0.5,0.128,0.015,0.015,2228.0,122.0,122.0,2016A+A...585A.126W,arXiv:2003.05528,TEP,1,46,31.86,2,42,2.0,9.53,8.24,0.1582,1.2,2458080.62617,0.0004,1.80988198,6e-07,arXiv:2003.05528,0.143149689,0.011652012097099,9.927716951160187,9.167716951160187,8.890716951160186,8.258716951160187,9.906716951160186,9.511283048839813,8.383283048839813,8.582283048839813,0.0329578744958402,2233.3724294652043,1241.7080537042852,2.0,0.1278162041822889,0.1079444861820141,4.020431239166046,0.0187169511601865,-0.0187169511601865,9.62663600970183,9.809764423590748,9.352446525200415,9.288135951160188,9.287050458932203,8.307595047887373,9.167716951160187,9.53,8.682556855817268,8.311641524419906,9.53,7.995404813187815,1.408723569569735,33.60569569434984,8240.360389613044,73540.26604879866,32.92790090831755,54663.83145829301,24.475913975253395
328,K2-093f,6320,60.0,30.0,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.004,0.009,0.003,0.22,0.03,0.06,0.038,0.009,0.009,0.821,0.009,0.009,,,,0.07,0.02,0.02,294.0,3.0,1.0,2016ApJ...827L..10V,arXiv:1911.07355,TEP,8,26,27.85,10,4,49.4,8.93,7.72,0.78775,0.5,2459355.1014,0.0019,542.7975,0.0014,arXiv:2201.02686,1.0527384305886274,0.0043923849377299,9.327716951160188,8.567716951160188,8.290716951160187,7.658716951160187,9.306716951160189,8.991283048839811,7.863283048839812,8.062283048839813,1.3683097003920086,293.94926257504267,,3.0,-83.92176859252172,0.0662750702582049,37.16188079145364,-0.0612830488398117,0.0612830488398126,9.02663600970183,9.209764423590748,8.752446525200417,8.688135951160188,8.687050458932205,7.7075950478873745,8.567716951160188,8.93,8.082556855817268,7.791641524419906,8.93,7.395404813187818,1.0552327432787068,36.9550785158571,52145.18280397351,67301.96597651688,228.9577642989844,2888.742502689499,9.8273507386399
116,HAT-P-32,6269,64.0,64.0,-0.04,0.08,0.08,1.182,0.049,0.049,1.225,0.017,0.017,4.335,0.005,0.005,0.6435,0.0032,0.0032,0.0,,,0.03448,0.00048,0.00048,0.585,0.031,0.031,1.807,0.026,0.026,,,,0.102,0.012,0.012,1801.0,18.0,18.0,2011ApJ...742...59H,arXiv:2110.13582,TEP,2,4,10.27,46,41,16.2,11.29,9.99,0.12959,3.0,2454424.747289,5.5e-05,2.15000831,5.3e-07,arXiv:2203.00299,0.117,0.0229781475783985,11.713716951160189,10.913716951160188,10.624716951160186,9.959716951160187,11.701716951160186,11.320283048839812,10.136283048839813,10.349283048839812,0.0344698268183193,1802.104874080709,,3.0,0.0295132950166852,0.1515854464597395,6.052496920424883,-0.0302830488398129,0.0302830488398129,11.47494943827326,11.582546423590747,11.102184525200418,11.025099951160186,11.016335702455525,10.03963336863432,10.913716951160188,11.29,10.424217240771156,10.063141524419908,11.29,9.74966524234632,2.4998230558152996,19.996529796555752,4071.7441714373545,58572.25573178419,32.50213490580736,39945.86966145285,22.166229188981063
939,WASP-033,7430,100.0,100.0,0.1,0.2,0.2,1.561,0.045,0.079,1.509,0.019,0.03,4.27,0.01,0.01,0.478,0.008,0.008,0.0,,,0.0259,0.0002,0.0005,2.16,0.2,0.2,1.679,0.019,0.03,19.0,2.0,2.0,0.48,0.07,0.07,2710.0,50.0,50.0,2010MNRAS.407..507C,2015A+A...578L...4L,TEP,2,26,51.06,37,33,1.7,8.18,7.47,0.1188,1.4,2458792.63403,9e-05,1.21987089,7e-08,arXiv:2004.10767,0.155,0.0130735580436202,8.348716951160188,7.950716951160187,7.799716951160188,7.455716951160188,8.428716951160188,8.194283048839813,7.599283048839812,7.677283048839812,0.0259189097699978,2733.747296582168,508.74479078350015,3.0,-0.0729574282469879,0.1143396608514311,3.690744090037895,-0.0142830488398129,0.014283048839812,7.540515581130402,8.338335423590749,8.099935525200417,8.166013951160188,8.24555540193739,7.236893192189392,7.950716951160187,8.18,7.509295832065191,7.534641524419905,8.18,6.698187455144959,0.9013473747598426,38.32181756814834,8915.050509531075,58199.30631707371,21.289204890970222,52693.96448448709,19.27536043670424
860,TOI-1518,7300,100.0,100.0,-0.1,0.12,0.12,1.79,0.26,0.26,1.95,0.048,0.048,4.1,0.2,0.2,,,,0.0,0.01,0.0,0.0389,0.0011,0.0011,,2.3,0.0,1.875,0.053,0.053,,,,,,,2492.0,38.0,38.0,arXiv:2108.11403,arXiv:2108.11403,TEP,23,29,4.22,67,2,5.4,8.95,8.33,0.114,0.8,2458787.049255,9.4e-05,1.902603,1.1e-05,arXiv:2108.11403,0.9036,0.0097634702679834,9.157716951160188,8.697716951160187,8.524716951160187,8.131716951160188,9.210716951160189,9.148283048839811,8.461283048839812,8.559283048839813,0.0364857248552057,2573.427717384503,,1.0,6.617040375037939,0.0988102741013478,4.2896158233765656,-0.1982830488398121,0.1982830488398121,8.434377438273259,9.129334423590748,8.853076525200416,8.896447951160187,8.961911681730134,7.958388381563178,8.697716951160187,8.95,8.248896696315166,8.395641524419906,8.95,7.4602741236602785,1.4725991784796582,32.964180000187774,5717.871065451871,56612.845918658066,21.999003716411508,41043.17021617623,15.948833510618421
986,WASP-080,4145,100.0,100.0,-0.14,0.16,0.16,0.596,0.035,0.035,0.593,0.012,0.012,4.668,0.008,0.008,2.862,0.05,0.05,0.0,0.07,0.0,0.03479,0.00068,0.00068,0.562,0.027,0.027,0.986,0.022,0.022,14.34,0.46,0.46,0.549,0.023,0.023,825.0,20.0,20.0,2013A+A...551A..80T,2014A+A...562A.126M,TEP,20,12,40.18,-2,8,39.2,11.87,8.35,0.08878,3.5,2456487.425006,2.4e-05,3.06785234,8.1e-07,2015MNRAS.450.2279T,0.019,0.0291954605037686,13.040716951160189,11.012716951160186,10.335716951160189,8.593716951160188,14.239716951160188,11.626283048839811,8.587283048839812,9.192283048839812,0.0347732197612877,825.396697291953,205.205540601506,3.0,0.0482562121870012,0.1708667916939058,12.615461544314256,0.243716951160188,-0.243716951160188,14.253228152558968,12.601699423590748,11.329611525200416,10.831935951160188,10.57489190970941,9.684505939909398,11.012716951160186,11.87,10.36592673449643,8.468641524419905,11.87,9.987604041940468,1.486836946434155,32.81947822201008,4416.414572334063,55470.56416472902,67.20473239924824,31669.80261596363,38.36918989362229
144,HAT-P-60,6462,50.0,50.0,-0.237,0.08,0.08,1.435,0.012,0.012,2.197,0.027,0.02,3.911,0.01,0.01,0.1353,0.0038,0.005,0.0,0.25,0.0,0.06277,0.00017,0.00017,0.574,0.038,0.038,1.631,0.024,0.024,5.37,0.41,0.38,0.124,0.01,0.01,1772.0,12.0,12.0,arXiv:2007.05528,arXiv:2007.05528,TEP,1,53,7.77,52,3,14.0,9.71,8.37,0.2098,0.8,2458360.94029,0.00056,4.7947813,2.4e-06,arXiv:2007.05528,0.668,0.0058199425132843,10.06171695116019,9.371716951160188,9.117716951160189,8.544716951160188,10.03271695116019,9.535283048839812,8.510283048839812,8.683283048839812,0.0627677198683885,1843.5168169940189,1176.9925591882522,1.0,0.0036326500568444,0.0762885477203779,6.143636054365169,0.1747169511601889,-0.1747169511601889,9.647078295416115,9.96785242359075,9.55003852520042,9.509454951160189,9.52308707551252,8.538341037804926,9.371716951160188,9.71,8.894789082550934,8.440141524419905,9.71,8.185011632453486,1.5010852352554729,32.67402798032681,10351.706264804076,53328.35701942977,28.927513179068974,24354.196308632425,13.210726413846128
80,GJ_3470,3725,54.0,54.0,0.42,0.019,0.019,0.476,0.019,0.019,0.474,0.018,0.018,4.65,0.06,0.06,3.39,0.3,0.32,0.017,0.016,0.012,0.03557,0.00096,0.001,0.0432,0.0051,0.0051,0.346,0.029,0.029,6.8,1.7,1.7,0.89,0.25,0.25,604.0,98.0,98.0,2012A+A...546A..27B,arXiv:2004.12812,TEP,7,59,5.87,15,23,29.4,12.27,7.99,0.07992,0.7,2456340.72559,0.0001,3.33665266,3e-07,arXiv:2111.01295,0.44,0.0056268637722793,13.663716951160188,11.215716951160188,10.132716951160187,8.118716951160186,14.834716951160187,12.141283048839812,8.301283048839812,8.911283048839811,0.0341205613554976,669.484708600624,316.81979699541176,3.0,4.247991788296854,0.0750124241194704,16.136484762028225,0.1287169511601877,-0.128716951160186,14.738734248602968,13.253864797157174,11.657514898766845,10.729217951160187,10.21237598224827,9.406640020577235,11.215716951160188,12.27,10.367790953603784,8.145641524419906,12.27,10.077416431618794,1.2344413388957174,35.2967914118673,4651.640869242247,50069.528413801956,74.78815837102346,27410.565858450664,40.942781076725424
1087,WASP-189,8000,80.0,80.0,0.29,0.13,0.13,2.031,0.098,0.096,2.365,0.025,0.025,4.046,0.024,0.024,0.1617,0.0088,0.0089,0.0,,,0.0504,0.00064,0.0006,1.99,0.16,0.14,1.6,0.017,0.016,18.8,2.1,1.8,0.469,0.058,0.028,2641.0,34.0,34.0,arXiv:1809.04897,arXiv:2201.04518,TEP,15,2,44.86,-3,1,52.9,6.64,6.06,0.18057,0.6,2456706.4545,0.0018,2.724033,4.2e-06,arXiv:1809.04897,0.4537,0.0048333535252271,6.723716951160188,6.459716951160187,6.356716951160188,6.125716951160188,6.821716951160187,6.574283048839812,6.184283048839812,6.220283048839812,0.0483412713258412,2698.235323558016,501.0658878999225,2.0,4.258739205020124,0.0695223239343098,4.582503444311036,0.065716951160188,-0.065716951160188,5.725704295416115,6.7535984235907485,6.595852525200417,6.711157951160187,6.821414427844126,5.801482549760073,6.459716951160187,6.64,6.034096097310171,6.122141524419906,6.64,5.1708622340139305,0.31197505445401674,43.157863251435685,27761.460008500366,49877.56432740721,18.48525363667554,30220.319752074993,11.20003117898001
78,GJ_1214,3250,100.0,100.0,0.29,0.12,0.12,0.178,0.01,0.01,0.215,0.008,0.008,5.026,0.04,0.04,18.0,2.5,2.1,0.0,0.063,0.0,0.01411,0.00032,0.00032,0.0257,0.0014,0.0014,0.2446,0.0045,0.0047,10.65,0.71,0.67,1.66,0.13,0.12,596.0,19.0,19.0,2009Natur.462..891C,arXiv:2107.14732,TEP,17,15,18.94,4,57,49.7,14.67,8.78,0.0365,1.4,2455701.413328,6.3e-05,1.58040433,1.3e-07,arXiv:2107.14732,0.0,0.0136680598629229,16.124626983284962,13.344626983284964,11.842626983284964,9.522626983284963,17.32462698328496,13.927373016715036,9.196373016715036,9.754373016715036,0.0149368375696635,594.5748837276872,199.60937618738996,2.0,-5.5355597582639815,0.1169104779860338,14.112110309355476,0.7426269832849641,-0.7426269832849641,15.677149858048336,16.03772819166849,13.99516420615554,12.542620983284964,11.757662434062166,11.033152734436944,13.344626983284964,14.67,12.249852443062784,8.988186508357519,14.67,12.030677497185504,1.7915180193727216,29.553613568864865,1544.7328752792382,49833.02857649862,83.81287191963182,39639.95716814502,66.6694107891378
154,HAT-P-70,8450,540.0,690.0,-0.059,0.075,0.088,1.89,0.01,0.013,1.858,0.119,0.091,4.181,0.055,0.063,,,,0.0,,,0.04739,0.00031,0.00106,,6.78,0.0,1.87,0.15,0.1,0.0,53.7,0.0,0.0,1.16,0.0,2562.0,43.0,52.0,arXiv:1906.00462,arXiv:1906.00462,TEP,4,58,12.56,9,59,52.7,9.47,8.96,0.145,1.0,2458439.57519,0.00041,2.74432452,7.3e-07,arXiv:1906.00462,-0.629,0.0106970168628166,9.473716951160188,9.333716951160188,9.275716951160188,9.155716951160189,9.550716951160188,9.274283048839813,9.080283048839814,9.078283048839811,0.0474297420042967,2550.277741538403,,1.0,-0.0837913145156768,0.1034263837848769,5.484593034029738,0.1957169511601879,-0.1957169511601879,8.287943723987548,9.543426423590748,9.458104525200415,9.619042951160187,9.758094764631691,8.72752614629498,9.333716951160188,9.47,8.922486406981772,9.020141524419907,9.47,8.006919193108272,1.914882743605482,28.123611678628873,5786.918500322733,47612.47087318393,18.669523753308013,28741.073611889395,11.269781774651701
75,GJ_0436,3416,54.0,54.0,-0.03,0.2,0.2,0.507,0.071,0.062,0.455,0.018,0.018,4.83,0.03,0.03,5.37,0.3,0.27,0.1616,0.0041,0.0032,0.0308,0.0013,0.0012,0.0799,0.0066,0.0063,0.366,0.014,0.014,13.0,1.0,1.0,1.55,0.12,0.1,669.0,22.0,22.0,2007A+A...472L..13G,2014A+A...572A..73L,TEP,11,42,11.09,26,42,23.6,10.68,6.07,0.04189,0.6,2455475.8245,3e-05,2.64389759,7e-08,arXiv:2111.08828,0.848,0.0068329818029348,12.137716951160188,9.514716951160189,8.173716951160188,5.993716951160188,13.318716951160187,10.756283048839812,6.408283048839812,6.987283048839812,0.0298381749499547,643.2365740366063,183.5553515654008,3.0,3.223471447762796,0.082661852162499,14.556022845390917,-0.0762830488398123,0.0762830488398123,12.773475962888684,11.821040797157174,10.041984898766843,8.833943951160187,8.152008717999568,7.397025823621453,9.514716951160189,10.68,8.519403752221343,6.239141524419907,10.68,8.269124566367818,0.31456860464307596,43.13776974102355,6410.728422081038,47212.69405914595,73.39864672629622,29035.978653091766,45.14043483391748
86,HAT-P-01,5975,50.0,50.0,0.13,0.05,0.05,1.151,0.019,0.019,1.174,0.026,0.027,4.359,0.014,0.014,0.644,0.013,0.016,0.0,,,0.05561,0.00082,0.00083,0.525,0.019,0.019,1.319,0.019,0.019,7.46,0.17,0.17,0.213,0.008,0.007,1322.0,14.0,15.0,2007ApJ...656..552B,2014MNRAS.437...46N,TEP,22,57,46.83,38,40,29.8,10.4,8.86,0.11875,1.7,2453979.93202,0.00024,4.46529976,5.5e-07,2014MNRAS.437...46N,0.712,0.01332981996953,10.909716951160188,9.977716951160188,9.649716951160189,8.873716951160189,10.967716951160188,10.386283048839813,9.013283048839812,9.275283048839812,0.0556158659960484,1323.7497889962897,632.0870796721484,2.0,-0.0105473428191189,0.1154548395240757,10.185637288619382,0.0137169511601893,-0.0137169511601893,10.878387438273256,10.73454442359075,10.17846652520042,10.05973295116019,10.026012743906302,9.05822352714091,9.977716951160188,10.4,9.473901239623247,8.936641524419905,10.4,8.839979498756593,1.846839847062076,28.92108741392668,4893.077558772784,46676.2268171615,35.26061133694529,22088.714004227622,16.686472162519483
131,HAT-P-47,6703,50.0,50.0,0.0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,4.22,0.02,0.02,,,,0.0,0.202,0.0,0.0615,0.0006,0.0006,0.206,0.039,0.039,1.313,0.045,0.045,2.95,0.52,0.66,0.083,0.015,0.015,1605.0,22.0,22.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,33,13.97,30,21,37.8,10.69,9.4,0.1287,0.8,2455661.63669,0.00041,4.732182,1.3e-05,arXiv:1606.04556,0.794,0.0079318606029902,10.992716951160189,10.381716951160188,10.154716951160188,9.642716951160187,10.976716951160189,10.447283048839813,9.537283048839813,9.684283048839813,0.0615185792172413,1604.0048799858946,1940.605715797465,1.0,-0.0302009855847026,0.0890609937233481,8.729028101477677,0.2427169511601867,-0.2427169511601867,10.476202581130394,10.920462423590749,10.552028525200418,10.539785951160187,10.570695277585058,9.579715231405295,10.381716951160188,10.69,9.914310612142298,9.468641524419906,10.69,9.177883527800333,2.1940519102035374,24.58235291361776,4549.6905992778065,45922.90805246713,28.63015482401211,21110.506928055464,13.161123879025295
281,HD_332231,6089,97.0,96.0,0.036,0.059,0.058,1.127,0.077,0.077,1.277,0.039,0.036,4.279,0.027,0.034,0.548,0.043,0.051,0.032,0.03,0.022,0.1436,0.0032,0.0033,0.251,0.017,0.017,0.867,0.027,0.025,8.04,0.78,0.77,0.356,0.035,0.033,876.0,17.0,17.0,arXiv:2003.10451,arXiv:2110.10282,TEP,20,26,57.92,33,44,40.0,8.56,7.24,0.2565,0.6,2459141.3472,0.0063,18.70173,0.00028,arXiv:2110.10282,0.133,0.0048677390342451,9.025716951160188,8.161716951160189,7.853716951160188,7.133716951160189,9.039716951160187,8.666283048839812,7.389283048839812,7.626283048839812,0.1434946394684092,875.9047505737744,388.6264387380706,2.0,0.0734247160598397,0.0697691839872383,24.180593229671608,-0.1062830488398116,0.1062830488398116,8.890258295416112,8.87263242359075,8.35605852520042,8.258792951160189,8.237870671367443,7.2655171984657105,8.161716951160189,8.56,7.665283433614253,7.314641524419907,8.56,7.010540272016183,0.7721658916883358,39.432590341105126,21681.02084036003,45224.15183496645,51.63135809611912,10457.540114585847,11.939129349093585
76,GJ_0486,3340,54.0,54.0,0.07,0.16,0.16,0.323,0.015,0.015,0.328,0.011,0.011,,,,,,,,,,0.01734,0.00026,0.00027,0.0089,0.0004,0.0004,0.1164,0.0056,0.006,16.4,0.6,0.5,5.3,0.9,0.8,701.0,13.0,13.0,arXiv:2103.04950,arXiv:2103.04950,TEP,12,47,56.62,9,45,5.0,11.4,6.36,0.0425,0.2,2458931.15935,0.00042,1.467119,3.1e-05,arXiv:2103.04950,0.317409238,0.0013299311548265,12.857716951160189,10.234716951160188,8.893716951160188,6.713716951160189,14.03871695116019,11.046283048839811,6.698283048839812,7.277283048839812,0.0173374112934853,700.5264866980068,152.46089164893883,1.0,0.0149313324278188,0.0364682211634535,11.36785847355883,0.3537169511601874,-0.3537169511601883,13.493475962888676,12.541040797157176,10.761984898766844,9.55394395116019,8.872008717999565,8.117025823621452,10.234716951160188,11.4,9.239403752221344,6.529141524419906,11.4,8.98912456636782,0.39849151709054226,42.482448576138964,5662.371678313436,44496.32878388277,63.518410265427825,36735.969837328164,52.44051514809438
