,Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
603,Kepler-150f,5560,100.0,100.0,-0.02,0.1,0.1,0.936,,,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,,,,1.24,0.29,0.45,,,,0.325,0.046,0.035,,,,,,,,,,2017AJ....153..180S,2017AJ....153..180S,TEP,19,12,56.18,40,31,15.2,15.15,13.36,0.5588,0.15,2456079.2422,0.008,637.209,0.016,2017AJ....153..180S,0.0,0.0012650463097686,15.698015461014627,14.592015461014627,14.21901546101463,13.27301546101463,15.94101546101463,15.23698453898537,13.60498453898537,13.93398453898537,1.417597919951216,218.2048261562489,,1.0,-12.528088356487402,0.0355674895061294,283.9615261251108,-0.0869845389853694,0.0869845389853694,15.263157466499267,15.608439884093643,14.828997332923723,14.640146461014629,14.57763091697318,13.620060598382096,14.592015461014627,15.15,14.071274778904453,13.482492269492685,15.15,13.504247494387393,3.064996697020267,4.690455342380662,14564.213606426054,16.93259946945999,0.07759956444471645,0.6707839844907578,0.003074102421595536
1548,Kepler-254c,5957,200.0,200.0,-0.19,0.5,0.5,1.009,,,0.91,0.433,0.433,4.524,0.3,0.3,1.89,0.581,0.581,,,,,,,,,,0.192,0.092,0.092,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,12,39.53,45,48,59.4,16.02,14.25,0.1401,0.06,2454975.53938,0.00389,12.412183,8.2e-05,2014ApJ...784...45R,0.05,0.0004701003336606,16.41909457689965,15.487094576899649,15.159094576899648,14.383094576899648,16.47709457689965,15.886905423100352,14.513905423100352,14.775905423100353,0.1052290587339838,844.7218951910062,,1.0,,0.0216817972885243,24.86552894368265,0.1330945768996478,-0.1330945768996478,15.39012508334221,16.45554265129062,15.717380324867442,15.569110576899648,15.53539036964576,14.567601152880371,15.487094576899649,16.02,14.983278865362706,14.381952711550175,16.02,14.374646976391258,3.0833193441441202,3.122548939752902,3631.4072401328976,16.650843462278065,0.019711627645821853,4.72620062124181,0.005594978238575354
1759,Kepler-344c,5774,200.0,200.0,-0.1,0.5,0.5,0.979,,,0.976,0.454,0.454,4.451,0.3,0.3,1.486,0.518,0.518,,,,,,,,,,0.263,0.123,0.123,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,29,59.91,46,19,27.9,15.56,13.66,0.3139,0.09,2455048.44167,0.00546,125.596809,0.001728,2014ApJ...784...45R,0.03,0.0007668011372566,16.029605379028087,15.016605379028087,14.666605379028088,13.815605379028089,16.162605379028086,15.404394620971914,13.913394620971914,14.206394620971912,0.4873636690927817,394.01105802433375,,1.0,,0.0276911743567629,107.37588151693474,0.1556053790280867,-0.1556053790280867,15.287896946551538,16.005119288947355,15.249691742827588,15.082055379028088,15.034257451566948,14.071472914472045,15.016605379028087,15.56,14.504569913157514,13.786697310485955,15.56,13.915654514305254,3.072876855860493,4.090464032202358,8161.891390036707,16.409802477333024,0.041648075969277915,1.4642460150285606,0.003716256143598208
1619,Kepler-284c,5615,200.0,200.0,-0.14,0.5,0.5,0.918,,,0.814,0.356,0.356,4.58,0.3,0.3,2.402,0.844,0.844,,,,,,,,,,0.233,0.105,0.105,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,32,35.16,47,43,46.7,16.01,14.07,0.223,0.09,2455022.30068,0.00575,37.514456,0.00035,2014ApJ...784...45R,0.62,0.0008652346812064,16.51709457689965,15.42509457689965,15.05509457689965,14.122094576899649,16.744094576899652,15.957905423100351,14.345905423100351,14.669905423100351,0.213150577050547,529.1173524645747,,1.0,,0.0294148717693349,56.307405485995446,0.0520945768996483,-0.0520945768996483,15.773452511913646,16.493018651290623,15.669264324867443,15.47548457689965,15.414888721977372,14.456639329130084,15.42509457689965,16.01,14.905495861629907,14.207952711550178,16.01,14.34167950004636,3.08070419697586,3.3909782182184216,5784.722647389045,16.387895941116593,0.030972138533698516,2.675616534427631,0.005056754464704063
1596,Kepler-274c,6023,200.0,200.0,-0.19,0.5,0.5,1.017,,,1.007,0.541,0.541,4.44,0.3,0.3,1.405,0.514,0.514,,,,,,,,,,0.164,0.089,0.089,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,31,41.46,38,28,38.2,15.2,13.45,0.1893,0.03,2454975.10044,0.01769,33.197861,0.000894,2014ApJ...784...45R,0.14,0.0002800913144315,15.584814020730835,14.720814020730838,14.412814020730838,13.692814020730838,15.598814020730837,14.95718597926916,13.680185979269162,13.917185979269162,0.2032919754411676,646.3991523401446,,1.0,,0.0167359288487844,43.41043863916416,0.2428140207308384,-0.2428140207308384,14.719738065690418,15.586496799072744,14.936756677195705,14.817890020730838,14.796967740938094,13.824614268036362,14.720814020730838,15.2,14.224380503184902,13.56509298963458,15.2,13.58851158820932,3.067588797738428,4.501928275580676,4929.941893687795,16.352991604421895,0.025298596919905478,2.8381945559600967,0.004390777038746173
1585,Kepler-269c,5847,250.0,250.0,0.02,0.5,0.5,1.058,,,0.959,0.429,0.429,4.5,0.3,0.3,1.692,0.546,0.546,,,,,,,,,,0.151,0.071,0.071,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,20,51.64,41,46,33.5,15.95,13.96,0.1625,0.03,2455191.68805,0.00938,8.127899,0.000149,2014ApJ...784...45R,0.61,0.0002618108055332,16.35929601718344,15.41529601718344,15.08329601718344,14.29729601718344,16.42629601718344,15.61270398281656,14.22270398281656,14.48970398281656,0.0806158811006841,972.4457726725576,,1.0,,0.0161805687642082,18.07612793989643,0.3372960171834389,-0.3372960171834389,15.370677769865353,16.387184736311518,15.646061980595462,15.49430001718344,15.458020224437323,14.49114219692188,15.41529601718344,15.95,14.909993560363334,14.09135199140828,15.95,14.3044648194231,3.0788816476843675,3.566124469924429,4217.63267245217,16.33078829249186,0.016793520781740054,5.728197714080097,0.005890506057049722
1773,Kepler-351b,5643,200.0,200.0,-0.13,0.5,0.5,0.955,,,0.854,0.414,0.414,4.556,0.3,0.3,2.164,0.77,0.77,,,,,,,,,,0.273,0.138,0.138,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,5,48.65,42,39,28.4,16.19,14.09,0.2134,0.1,2455033.20033,0.00698,37.054919,0.000484,2014ApJ...784...45R,0.86,0.0010791465816349,16.666490256048274,15.609490256048272,15.248490256048274,14.351490256048274,16.851490256048272,15.928509743951729,14.369509743951728,14.679509743951728,0.2142092495031158,543.3168493925136,,1.0,,0.0328503665373005,53.93662375319109,0.2614902560482743,-0.2614902560482743,15.797490309487053,16.669005396227927,15.852486357683384,15.666657256048277,15.611820468483508,14.651531978324028,15.609490256048272,16.19,15.09330572479292,14.229754871975864,16.19,14.521535172619544,3.0810164006593643,3.360059787128519,5535.17538861421,15.572470777865549,0.028661858720702735,2.5582005646177555,0.0047084874460972415
1642,Kepler-294b,5913,200.0,200.0,-0.0,0.5,0.5,1.075,,,0.976,0.455,0.455,4.491,0.3,0.3,1.631,0.495,0.495,,,,,,,,,,0.158,0.074,0.074,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,9,34.08,46,3,33.5,16.01,14.17,0.1032,0.03,2455013.27593,0.00355,3.701212,2.5e-05,2014ApJ...784...45R,0.05,0.0002767485953313,16.40909457689965,15.477094576899647,15.14909457689965,14.37309457689965,16.46709457689965,15.806905423100352,14.433905423100352,14.695905423100353,0.0479702497305657,1286.1158662464532,,1.0,,0.0166357625413252,10.568797343870973,0.2030945768996499,-0.2030945768996499,15.380125083342213,16.445542651290623,15.707380324867444,15.55911057689965,15.525390369645764,14.557601152880371,15.477094576899647,16.01,14.973278865362708,14.301952711550175,16.01,14.364646976391258,3.0822098454033986,3.2391503110420374,2675.8458841659676,15.572174151612247,0.012107909217432994,8.094262250499861,0.006293571569195455
1672,Kepler-308b,5895,200.0,200.0,-0.11,0.5,0.5,1.038,,,0.941,0.452,0.452,4.508,0.3,0.3,1.758,0.548,0.548,,,,,,,,,,0.189,0.091,0.091,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,43,8.44,40,26,22.4,16.01,14.18,0.1087,0.05,2455015.45617,0.00558,9.694928,9e-05,2014ApJ...784...45R,0.3,0.0004260055412056,16.41709457689965,15.47309457689965,15.141094576899649,14.35509457689965,16.48409457689965,15.834905423100352,14.444905423100352,14.711905423100353,0.0900952774092151,918.6729005697124,,1.0,,0.0206399016762602,20.58807833904308,0.1750945768996494,-0.1750945768996494,15.408622797627912,16.449194651290625,15.704448324867444,15.552098576899647,15.515818784153534,14.54894075663809,15.47309457689965,16.01,14.967792120079544,14.312452711550176,16.01,14.36274660399472,3.0823529995686054,3.224342642401838,2818.3328720624177,15.532800866903681,0.016907868793420436,4.988586194395069,0.005430209371911819
1654,Kepler-299e,5617,112.0,112.0,-0.02,0.1,0.1,0.946,,,1.032,0.208,0.208,4.394,0.15,0.15,1.214,0.515,0.515,,,,,,,,,,0.167,0.035,0.035,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,52,49.67,48,34,49.8,15.17,13.43,0.2349,0.03,2454976.30747,0.02483,38.285489,0.001428,2014ApJ...784...45R,0.22,0.0002765313885544,15.707914740872734,14.615914740872734,14.245914740872731,13.312914740872731,15.934914740872737,15.287085259127268,13.675085259127266,13.999085259127266,0.2182359841306159,588.9987724415355,,1.0,,0.0166292329514748,45.47262995396295,-0.1170852591272666,0.1170852591272666,15.24222212323771,15.624879841583194,14.851855505059714,14.666304740872732,14.605708885950454,13.647459493103169,14.615914740872734,15.17,14.096316025602992,13.552542629563632,15.17,13.525795512230276,3.0670308297325346,4.543170866822333,6118.532218054933,15.36662767315479,0.026089405262181755,2.48348458911656,0.004216451214018571
1587,Kepler-270c,6067,100.0,100.0,0.11,0.1,0.1,1.218,,,1.461,0.284,0.284,4.196,0.15,0.15,0.551,0.288,0.288,,,,,,,,,,0.158,0.033,0.033,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,48,48.02,44,25,20.3,13.99,12.62,0.1541,0.01,2454967.21176,0.01785,25.262887,0.000599,2014ApJ...784...45R,0.1,0.000123505025224,14.419393186477622,13.555393186477623,13.247393186477623,12.527393186477624,14.43339318647762,14.082606813522377,12.805606813522378,13.042606813522378,0.1799468571958993,833.6049171607772,,1.0,,0.0111132814786676,26.484846412713505,-0.0926068135223765,0.0926068135223765,13.956351253498458,14.33579602074593,13.759433205688095,13.652469186477624,13.631546906684878,12.659193433783146,13.555393186477623,13.99,13.058959668931688,12.71280340676119,13.99,12.412824122630695,3.033516342523475,6.561047311995795,4054.872463271381,15.06113622214891,0.018067475265676806,2.9965135564569754,0.003594644770886155
