rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
908,863.01,863,238898571,238898571.01,1,,06h14m55.06s,93.729433,,,-49d45m21.93s,-49.756092,,,-14.851,0.635,0.635,0,1,38.379,0.719,0.719,0,1,2458438.459483,0.001989,0.001989,0,1,0.525102,4.4E-05,4.4E-05,0,1,1.45967,0.496066,0.496066,0,1,177.049601,33.88697,33.88697,0,1,1.159758,3.002864,3.002864,0,1,4648.18943,,,,,2105.914351,,,,,9.9160004,0.018,0.018,0,1,109.73487,4.4154401,4.4154401,0,1,5867,190,190,0,1,4.5948,0.258772,0.258772,0,1,0.860498,0.0988553,0.0988553,0,1,2019-05-10 14:01:31,2019-07-31 10:32:40
909,864.01,864,231728511,231728511.01,1,,05h25m46.42s,81.443422,,,-51d21m25.32s,-51.357032,,,,,,,,,,,,,2458411.154172,0.000922,0.000922,0,1,0.520662,1.6E-05,1.6E-05,0,1,0.58891,0.200691,0.200691,0,1,639.31301,84.25636,84.25636,0,1,2.533115,3.785611,3.785611,0,1,799.604043,,,,,1356.246077,,,,,11.473,0.017,0.017,0,1,,,,0,1,3460,,,0,1,,,,0,1,,,,0,1,2019-05-10 14:01:27,2019-08-16 12:00:13
910,865.03,865,44797824,44797824.03,3,,04h09m49.05s,62.454356,,,-26d01m19.51s,-26.022087,,,-33.78,0.543,0.543,0,1,-27.06,0.642,0.642,0,1,2458411.586361,0.000547,0.000547,0,1,0.745589,1.8E-05,1.8E-05,0,1,0.419908,0.067019,0.067019,0,1,824.665653,74.56171,74.56171,0,1,3.793201,2.567694,2.567694,0,1,4686.417214,,,,,2110.230943,,,,,9.7740002,0.019,0.019,0,1,135.94687,,,0,1,5181,182,182,0,1,4.1448598,0.287225,0.287225,0,1,1.31423,0.17271,0.17271,0,1,2019-05-10 14:00:45,2019-08-16 12:00:13
911,866.01,866,381976956,381976956.01,1,,05h10m11.18s,77.546597,,,-57d35m12.04s,-57.586679,,,-27.859,0.151,0.151,0,1,-1.986,0.151,0.151,0,1,2458330.873539,0.002735,0.002735,0,1,22.338916,0.000684,0.000684,0,1,3.412233,0.443433,0.443433,0,1,605.545389,80.306694,80.306694,0,1,18.449977,13.532745,13.532745,0,1,1556.900197,,,,,1602.082745,,,,,8.9440002,0.018,0.018,0,1,457.57813,42.314098,42.314098,0,1,4866,171,171,0,1,2.50648,0.696119,0.696119,0,1,7.5682502,1.72302,1.72302,0,1,2019-05-08 16:01:15,2019-08-16 12:00:13
912,867.01,867,358460246,358460246.01,1,,07h56m03.41s,119.014214,,,-64d56m28.19s,-64.941164,,,-18.025,1.241,1.241,0,1,70.769,3.119,3.119,0,1,2458326.186496,0.00598,0.00598,0,1,15.403789,0.001087,0.001087,0,1,3.612569,0.559302,0.559302,0,1,385.858905,52.400387,52.400387,0,1,2.42374,0.95952,0.95952,0,1,91.661959,,,,,789.163578,,,,,10.398,0.019,0.019,0,1,176.17593,13.3203,13.3203,0,1,5777.3599,113.596,113.596,0,1,4.3038802,0.195352,0.195352,0,1,1.151,0.153407,0.153407,0,1,2019-05-08 16:01:14,2019-07-31 10:32:40
913,868.01,868,271596418,271596418.01,1,,07h14m16.32s,108.568014,,,-74d58m13.93s,-74.970537,,,4.266,0.787,0.787,0,1,60.601,0.873,0.873,0,1,2458325.748771,0.00151,0.00151,0,1,0.556109,1.7E-05,1.7E-05,0,1,1.096708,0.221493,0.221493,0,1,172.860189,23.13988,23.13988,0,1,1.609049,2.070679,2.070679,0,1,8967.452529,,,,,2481.915671,,,,,10.669,0.018,0.018,0,1,217.94165,,,0,1,5670.4502,40.2845,40.2845,0,1,4.16644,0.110912,0.110912,0,1,1.18329,0.158197,0.158197,0,1,2019-05-08 16:01:13,2019-07-31 10:32:40
914,869.01,869,200807066,200807066.01,1,,03h32m42.95s,53.178959,,,-51d47m18.77s,-51.788547,,,103.603,0.056,0.056,0,1,111.318,0.057,0.057,0,1,2458404.081157,0.004757,0.004757,0,1,26.477129,0.006738,0.006738,0,1,4.930494,1.069741,1.069741,0,1,403.243511,56.845882,56.845882,0,1,2.525663,2.558902,2.558902,0,1,52.994943,,,,,688.142461,,,,,8.8800001,0.019,0.019,0,1,107.37885,5.6400599,5.6400599,0,1,5908,191,191,0,1,4.2815299,0.29009,0.29009,0,1,1.24169,0.163906,0.163906,0,1,2019-05-08 16:01:12,2019-08-16 12:00:13
915,870.01,870,219229644,219229644.01,1,,04h13m16.62s,63.319267,,,-50d56m39.36s,-50.944268,,,103.81,2,2,0,1,48.27,2,2,0,1,2458390.801328,0.00294,0.00294,0,1,22.041107,0.001572,0.001572,0,1,2.159148,0.663128,0.663128,0,1,1283.173278,135.0031,135.0031,0,1,2.142326,2.110094,2.110094,0,1,4.291851,,,,,367.097072,,,,,10.749,0.018,0.018,0,1,,,,0,1,3843,169,169,0,1,4.6522002,0.299215,0.299215,0,1,0.600925,0.0791438,0.0791438,0,1,2019-05-08 16:01:13,2019-08-22 12:01:09
916,871.01,871,219344917,219344917.01,1,,04h58m57.03s,74.737644,,,-50d37m38.63s,-50.627398,,,-79.491,0.513,0.513,0,1,-121.348,1.014,1.014,0,1,2458417.093111,0.005843,0.005843,0,1,28.693553,0.004044,0.004044,0,1,3.10246,0.719116,0.719116,0,1,652.313298,77.87187,77.87187,0,1,1.943332,2.298208,2.298208,0,1,10.534786,,,,,459.490124,,,,,9.7049999,0.02,0.02,0,1,68.323563,,,0,1,4939,180,180,0,1,4.5848899,0.308587,0.308587,0,1,0.76137,0.109477,0.109477,0,1,2019-05-08 16:01:13,2019-08-16 12:00:13
917,872.01,872,220459826,220459826.01,1,,04h59m28.36s,74.868177,,,-55d55m44.63s,-55.929065,,,7.164,3.403,3.403,0,1,37.56,3.403,3.403,0,1,2458411.714828,0.002313,0.002313,0,1,2.239596,0.000114,0.000114,0,1,1.289164,0.221951,0.221951,0,1,1232.786958,114.081566,114.081566,0,1,2.714413,0.764826,0.764826,0,1,233.754113,,,,,997.262675,,,,,11.762,0.018,0.018,0,1,177.386,,,0,1,4872.54,125,125,0,1,4.6895099,0.2,0.2,0,1,0.669096,0.153961,0.153961,0,1,2019-05-08 16:01:13,2019-08-16 12:00:13
918,873.01,873,237920046,237920046.01,1,,03h46m56.22s,56.73427,,,-63d20m14.29s,-63.337303,,,245.3,2,2,0,1,98.63,2,2,0,1,2458326.217236,0.004157,0.004157,0,1,5.931348,0.000423,0.000423,0,1,2.415674,0.850835,0.850835,0,1,1090.807703,140.15312,140.15312,0,1,1.802801,1.852446,1.852446,0,1,18.869712,,,,,531.57074,,,,,12.055,0.04,0.04,0,1,118.27011,,,0,1,3797,64,64,0,1,4.7400498,0.340758,0.340758,0,1,0.54,0.079,0.079,0,1,2019-05-08 16:01:13,2019-08-22 12:01:09
919,874.01,874,232025086,232025086.01,1,,06h24m16.64s,96.069347,,,-46d56m15.43s,-46.937619,,,-11.107,0.639,0.639,0,1,-5.991,0.717,0.717,0,1,2458439.501597,0.005045,0.005045,0,1,5.90215,0.001008,0.001008,0,1,3.553679,0.552067,0.552067,0,1,225.289155,26.980959,26.980959,0,1,2.22726,1.34076,1.34076,0,1,637.329946,,,,,1281.477044,,,,,8.7510004,0.02,0.02,0,1,126.83087,6.1192198,6.1192198,0,1,6437,198,198,0,1,4.2473001,0.303189,0.303189,0,1,1.42167,0.16446,0.16446,0,1,2019-05-08 16:01:13,2019-07-31 10:32:40
920,875.01,875,14165625,14165625.01,1,,05h12m08.93s,78.037211,,,-37d42m30.55s,-37.708487,,,20.033,4.346,4.346,0,1,53.422,4.346,4.346,0,1,2458442.024946,0.005781,0.005781,0,1,11.020153,0.002316,0.002316,0,1,3.638535,0.756925,0.756925,0,1,1076.926754,147.12764,147.12764,0,1,2.343228,2.098464,2.098464,0,1,23.824307,,,,,563.475213,,,,,11.292,0.017,0.017,0,1,99.108803,,,0,1,4407,174,174,0,1,4.5629301,0.240923,0.240923,0,1,0.719466,0.0753538,0.0753538,0,1,2019-05-08 16:01:10,2019-08-16 12:00:13
921,876.01,876,32497972,32497972.01,1,,05h36m26.24s,84.109319,,,-24d14m39.93s,-24.244425,,,102.88,2,2,0,1,-135.09,2,2,0,1,2458448.181557,0.004185,0.004185,0,1,38.69629,0.005052,0.005052,0,1,2.446991,0.639792,0.639792,0,1,2676.148985,306.09555,306.09555,0,1,3.146888,1.898746,1.898746,0,1,2.135945,,,,,308.331042,,,,,11.5,0.04,0.04,0,1,103.15939,,,0,1,3955,65,65,0,1,4.6887398,0.328713,0.328713,0,1,0.609,0.086,0.086,0,1,2019-05-08 16:01:11,2019-07-31 10:32:40
922,877.01,877,255704097,255704097.01,1,,06h36m27.63s,99.115112,,,-50d17m50.65s,-50.297402,,,-11.814,1.793,1.793,0,1,11.821,0.903,0.903,0,1,2458470.97649,0.00208,0.00208,0,1,6.01524,0.00035,0.00035,0,1,2.128,0.135,0.135,0,1,30115.5,2747.11,2747.11,0,1,14.805,,,0,1,1104.35,,,,,1605,,,,,10.585,0.019,0.019,0,1,489.638,,,0,1,7416,211,211,0,1,4.1371899,1.60153,1.60153,0,1,1.84153,1.46,1.46,0,1,2019-04-01 16:52:04,2019-07-31 10:32:40
923,878.01,878,219380235,219380235.01,1,,05h07m02.83s,76.761781,,,-51d46m01.06s,-51.76696,,,24.084,1.517,1.517,0,1,26.142,2.908,2.908,0,1,2458413.16027,0.01039,0.01039,0,1,3.97244,0.00066,0.00066,0,1,3.394,0.268,0.268,0,1,886.891,1.70143,1.70143,0,1,6.09822,0.40479,0.40479,0,1,443.956,,,,,1278,,,,,10.769,0.018,0.018,0,1,196.17,89.074997,89.074997,0,1,5518.2998,76,76,0,1,3.9300001,0.12,0.12,0,1,1.99597,0.348499,0.348499,0,1,2019-03-21 15:42:33,2019-08-16 12:00:13
924,879.01,879,37084932,37084932.01,1,,06h32m29.71s,98.123772,,,-03d32m41.42s,-3.54484,,,0.265,0.465,0.465,0,1,-2.905,0.52,0.52,0,1,2458470.64431,0.00102,0.00102,0,1,6.58454,0.00012,0.00012,0,1,3.395,0.395,0.395,0,1,5500.94,3.14556,3.14556,0,1,,,,0,1,1274.11,,,,,1664,,,,,9.5109997,0.019,0.019,0,1,507.89276,,,0,1,8429,226,226,0,1,3.91259,0.702629,0.702629,0,1,2.64837,0.896235,0.896235,0,1,2019-03-21 15:42:32,2019-07-31 10:32:40
