System       ,  M_A  , errup , errdn , sysup , sysdn ,  R_A  , errup , errdn , sysup , sysdn , loggA , errup , errdn , sysup , sysdn ,  rho_A ,  errup ,  errdn ,   M_b  ,  errup ,  errdn ,  sysup ,  sysdn ,   R_b  ,  errup ,  errdn ,  sysup ,  sysdn ,  g_b  , erru , errd ,  rho_b  , errup  , errdn  , sysup  , sysdn  , Teq  , err , err ,  a(AU)  ,  errup  , errdown ,  sysup  , sysdown ,Safronov,  errup ,  errdn ,  sysup ,   sysdn , age , err , err , sys , sys , Reference
HAT-P-13     , 1.320 , 0.048 , 0.048 , 0.039 , 0.039 , 1.756 , 0.043 , 0.043 , 0.017 , 0.017 , 4.070 , 0.020 , 0.020 , 0.004 , 0.004 ,  0.244 ,  0.013 ,  0.013 ,  0.906 ,  0.024 ,  0.024 ,  0.018 ,  0.018 ,  1.487 ,  0.038 ,  0.038 ,  0.015 ,  0.015 , 10.15 , 0.43 , 0.43 ,   0.257 ,  0.017 ,  0.017 ,  0.003 ,  0.003 , 1725 ,  31 ,  31 , 0.04383 , 0.00053 , 0.00053 , 0.00043 , 0.00043 , 0.0404 , 0.0023 , 0.0023 , 0.0004 ,  0.0004 , 3.5 , 1.1 , 2.9 , 0.3 , 0.7 , 2012MNRAS.420.2580S
HAT-P-14     , 1.418 , 0.048 , 0.048 , 0.025 , 0.025 , 1.591 , 0.056 , 0.056 , 0.009 , 0.009 , 4.187 , 0.025 , 0.025 , 0.003 , 0.003 ,  0.352 ,  0.031 ,  0.031 ,  2.271 ,  0.079 ,  0.079 ,  0.027 ,  0.027 ,  1.219 ,  0.059 ,  0.059 ,  0.007 ,  0.007 ,  37.9 ,  3.7 ,  3.7 ,    1.17 ,   0.17 ,   0.17 ,   0.01 ,   0.01 , 1624 ,  32 ,  32 , 0.06108 , 0.00069 , 0.00069 , 0.00036 , 0.00036 , 0.1603 , 0.0089 , 0.0089 , 0.0010 ,  0.0010 , 1.5 , 0.4 , 0.4 , 0.4 , 0.2 , 2012MNRAS.426.1291S
HD_017156    , 1.297 , 0.046 , 0.046 , 0.053 , 0.053 , 1.487 , 0.037 , 0.037 , 0.020 , 0.020 , 4.207 , 0.018 , 0.018 , 0.006 , 0.006 ,  0.395 ,  0.022 ,  0.022 ,  3.262 ,  0.072 ,  0.072 ,  0.088 ,  0.088 ,  1.065 ,  0.033 ,  0.033 ,  0.014 ,  0.014 ,  71.2 ,  3.7 ,  3.7 ,    2.52 ,   0.20 ,   0.20 ,   0.03 ,   0.03 ,  883 ,  11 ,  11 ,  0.1637 ,  0.0019 ,  0.0019 ,  0.0022 ,  0.0022 ,  0.772 ,  0.026 ,  0.026 ,  0.010 ,   0.010 , 2.8 , 1.1 , 0.6 , 0.4 , 0.4 , 2011MNRAS.417.2166S
HD_080606    , 1.018 , 0.035 , 0.035 , 0.045 , 0.045 , 1.037 , 0.032 , 0.032 , 0.015 , 0.015 , 4.415 , 0.021 , 0.021 , 0.007 , 0.007 ,  0.913 ,  0.062 ,  0.062 ,  4.114 ,  0.096 ,  0.096 ,  0.122 ,  0.122 ,  1.003 ,  0.023 ,  0.023 ,  0.015 ,  0.015 , 101.4 ,  3.9 ,  3.9 ,    3.82 ,   0.23 ,   0.23 ,   0.06 ,   0.06 ,  405 ,   7 ,   7 ,  0.4564 ,  0.0054 ,  0.0054 ,  0.0068 ,  0.0068 ,  3.677 ,  0.093 ,  0.093 ,  0.055 ,   0.055 , 5.9 , 1.6 , 2.2 , 4.1 , 2.1 , 2011MNRAS.417.2166S
HD_149026    , 1.271 , 0.043 , 0.024 , 0.012 , 0.017 ,  1.29 ,  0.12 ,  0.06 ,  0.01 ,  0.01 , 4.321 , 0.042 , 0.070 , 0.001 , 0.002 ,  0.592 ,  0.083 ,  0.129 ,  0.356 ,  0.013 ,  0.011 ,  0.002 ,  0.003 ,  0.610 ,  0.099 ,  0.072 ,  0.002 ,  0.003 ,  23.7 ,  6.8 ,  6.2 ,    1.57 ,   0.67 ,   0.53 ,   0.01 ,   0.01 , 1626 ,  69 ,  37 , 0.04288 , 0.00048 , 0.00027 , 0.00013 , 0.00019 , 0.0393 , 0.0054 , 0.0056 , 0.0002 ,  0.0001 , 1.2 , 1.1 , 1.5 , 0.3 , 0.1 , 2010MNRAS.408.1689S
HD_189733    , 0.840 , 0.030 , 0.030 , 0.029 , 0.029 , 0.752 , 0.023 , 0.023 , 0.009 , 0.009 , 4.610 , 0.026 , 0.026 , 0.005 , 0.005 ,   1.98 ,   0.17 ,   0.17 ,  1.150 ,  0.028 ,  0.028 ,  0.027 ,  0.027 ,  1.151 ,  0.036 ,  0.036 ,  0.013 ,  0.013 ,  21.5 ,  1.2 ,  1.2 ,   0.706 ,  0.062 ,  0.062 ,  0.008 ,  0.008 , 1191 ,  20 ,  20 , 0.03142 , 0.00038 , 0.00038 , 0.00036 , 0.00036 , 0.0747 , 0.0024 , 0.0024 , 0.0009 ,  0.0009 , 1.4 , 4.7 , 3.3 , 1.5 , 1.3 , 2010MNRAS.408.1689S
HD_209458    , 1.148 , 0.033 , 0.033 , 0.022 , 0.022 , 1.162 , 0.012 , 0.012 , 0.008 , 0.008 , 4.368 , 0.005 , 0.005 , 0.003 , 0.003 ,  0.733 ,  0.008 ,  0.008 ,  0.714 ,  0.014 ,  0.014 ,  0.009 ,  0.009 ,  1.380 ,  0.015 ,  0.015 ,  0.009 ,  0.009 ,  9.30 , 0.08 , 0.08 ,   0.254 ,  0.004 ,  0.004 ,  0.002 ,  0.002 , 1459 ,  12 ,  12 , 0.04747 , 0.00046 , 0.00046 , 0.00031 , 0.00031 , 0.0427 , 0.0005 , 0.0005 , 0.0003 ,  0.0003 , 2.3 , 0.9 , 0.7 , 0.5 , 0.4 , 2010MNRAS.408.1689S
KOI-135      ,  1.24 ,  0.11 ,  0.11 ,  0.02 ,  0.02 , 1.332 , 0.046 , 0.046 , 0.007 , 0.007 , 4.281 , 0.017 , 0.017 , 0.002 , 0.002 ,  0.523 ,  0.022 ,  0.022 ,   3.09 ,   0.21 ,   0.21 ,   0.03 ,   0.03 ,  1.115 ,  0.041 ,  0.041 ,  0.006 ,  0.006 ,  61.6 ,  3.3 ,  3.3 ,    2.09 ,   0.16 ,   0.16 ,   0.01 ,   0.01 , 1603 ,  39 ,  39 ,  0.0440 ,  0.0013 ,  0.0013 ,  0.0002 ,  0.0002 , 0.1969 , 0.0100 , 0.0100 , 0.0011 ,  0.0011 , 2.7 , 2.4 , 1.4 , 1.2 , 0.5 , 2012MNRAS.426.1291S
KOI-196      , 0.939 , 0.092 , 0.082 , 0.019 , 0.015 , 0.939 , 0.062 , 0.031 , 0.006 , 0.005 , 4.466 , 0.018 , 0.054 , 0.003 , 0.002 ,  1.135 ,  0.046 ,  0.183 ,  0.493 ,  0.072 ,  0.070 ,  0.007 ,  0.005 ,  0.852 ,  0.071 ,  0.031 ,  0.006 ,  0.005 ,  16.9 ,  2.3 ,  3.2 ,    0.75 ,   0.11 ,   0.18 ,   0.00 ,   0.01 , 1554 ,  53 ,  29 , 0.02895 , 0.00091 , 0.00086 , 0.00020 , 0.00016 , 0.0356 , 0.0048 , 0.0002 , 0.0054 ,  0.0002 , 6.2 , 5.2 , 5.1 , 0.6 , 0.5 , 2012MNRAS.426.1291S
KOI-204      ,  1.21 ,  0.13 ,  0.13 ,  0.01 ,  0.01 ,  1.46 ,  0.12 ,  0.12 ,  0.00 ,  0.00 , 4.192 , 0.055 , 0.055 , 0.001 , 0.001 ,  0.388 ,  0.071 ,  0.071 ,  1.030 ,  0.087 ,  0.087 ,  0.006 ,  0.006 ,   1.20 ,   0.11 ,   0.11 ,   0.00 ,   0.00 ,  17.6 ,  2.9 ,  2.9 ,    0.55 ,   0.14 ,   0.14 ,   0.00 ,   0.00 , 1568 ,  59 ,  59 ,  0.0457 ,  0.0017 ,  0.0017 ,  0.0001 ,  0.0001 , 0.0647 , 0.0063 , 0.0063 , 0.0002 ,  0.0002 , 4.7 , 4.4 , 6.7 , 0.3 , 0.4 , 2012MNRAS.426.1291S
KOI-254      , 0.570 , 0.040 , 0.040 , 0.044 , 0.044 , 0.539 , 0.036 , 0.036 , 0.014 , 0.014 , 4.730 , 0.039 , 0.039 , 0.011 , 0.011 ,   3.63 ,   0.52 ,   0.52 ,  0.500 ,  0.055 ,  0.055 ,  0.026 ,  0.026 ,  0.999 ,  0.064 ,  0.064 ,  0.026 ,  0.026 ,  12.4 ,  1.8 ,  1.8 ,   0.469 ,  0.093 ,  0.093 ,  0.012 ,  0.012 ,  787 ,  26 ,  26 , 0.02954 , 0.00068 , 0.00068 , 0.00075 , 0.00075 , 0.0518 , 0.0059 , 0.0059 , 0.0013 ,  0.0013 ,  10 ,  10 ,  10 ,  10 ,  10 , 2012MNRAS.426.1291S
KOI-423      ,  1.08 ,  0.16 ,  0.16 ,  0.03 ,  0.03 , 1.225 , 0.092 , 0.092 , 0.010 , 0.010 , 4.294 , 0.039 , 0.039 , 0.004 , 0.004 ,  0.586 ,  0.072 ,  0.072 ,   17.9 ,    1.8 ,    1.8 ,    0.3 ,    0.3 ,  1.092 ,  0.077 ,  0.077 ,  0.009 ,  0.009 ,   372 ,   38 ,   38 ,    12.9 ,    2.1 ,    2.1 ,    0.1 ,    0.1 ,  851 ,  25 ,  25 ,  0.1539 ,  0.0073 ,  0.0073 ,  0.0013 ,  0.0013 ,   4.69 ,   0.35 ,   0.35 ,   0.04 ,    0.04 , 4.4 , 2.2 , 4.2 , 0.7 , 0.5 , 2012MNRAS.426.1291S
KOI-428      ,  1.46 ,  0.18 ,  0.18 ,  0.18 ,  0.18 ,  2.48 ,  0.17 ,  0.17 ,  0.10 ,  0.10 , 3.812 , 0.048 , 0.048 , 0.017 , 0.017 ,  0.096 ,  0.014 ,  0.014 ,   2.16 ,   0.40 ,   0.40 ,   0.18 ,   0.18 ,   1.44 ,   0.11 ,   0.11 ,   0.06 ,   0.06 ,  25.7 ,  5.0 ,  5.0 ,    0.67 ,   0.17 ,   0.17 ,   0.03 ,   0.03 , 1744 ,  51 ,  51 ,  0.0802 ,  0.0032 ,  0.0032 ,  0.0032 ,  0.0032 ,  0.165 ,  0.028 ,  0.028 ,  0.007 ,   0.007 , 0.8 , 3.6 , 1.5 , 0.7 , 0.8 , 2012MNRAS.426.1291S
Kepler-04    , 1.173 , 0.193 , 0.095 , 0.039 , 0.033 ,  1.48 ,  0.33 ,  0.13 ,  0.02 ,  0.01 , 4.168 , 0.063 , 0.133 , 0.005 , 0.004 ,  0.362 ,  0.081 ,  0.136 ,  0.075 ,  0.013 ,  0.011 ,  0.002 ,  0.001 ,  0.368 ,  0.074 ,  0.034 ,  0.004 ,  0.003 ,  13.8 ,  3.3 ,  4.5 ,    1.41 ,   0.48 ,   0.62 ,   0.01 ,   0.02 , 1620 , 140 ,  60 ,  0.0449 ,  0.0024 ,  0.0012 ,  0.0005 ,  0.0004 , 0.0156 , 0.0025 , 0.0034 , 0.0001 ,  0.0002 , 5.3 , 1.5 , 2.5 , 0.4 , 0.4 , 2011MNRAS.417.2166S
Kepler-05    , 1.296 , 0.040 , 0.030 , 0.011 , 0.022 , 1.544 , 0.055 , 0.042 , 0.004 , 0.009 , 4.174 , 0.023 , 0.024 , 0.001 , 0.002 ,  0.352 ,  0.025 ,  0.029 ,  2.034 ,  0.049 ,  0.040 ,  0.011 ,  0.023 ,  1.209 ,  0.035 ,  0.030 ,  0.003 ,  0.007 ,  34.5 ,  1.7 ,  1.9 ,   1.077 ,  0.080 ,  0.086 ,  0.006 ,  0.003 , 1692 ,  29 ,  25 , 0.04967 , 0.00051 , 0.00038 , 0.00014 , 0.00028 , 0.1288 , 0.0036 , 0.0040 , 0.0007 ,  0.0004 , 2.8 , 0.3 , 0.5 , 0.3 , 0.3 , 2011MNRAS.417.2166S
Kepler-06    , 1.114 , 0.146 , 0.062 , 0.061 , 0.040 , 1.261 , 0.057 , 0.024 , 0.023 , 0.015 , 4.284 , 0.017 , 0.011 , 0.008 , 0.005 ,  0.555 ,  0.008 ,  0.021 ,  0.633 ,  0.057 ,  0.031 ,  0.023 ,  0.015 ,  1.169 ,  0.052 ,  0.022 ,  0.021 ,  0.014 , 11.48 , 0.39 , 0.54 ,   0.370 ,  0.015 ,  0.026 ,  0.004 ,  0.007 , 1451 ,  15 ,  13 , 0.04438 , 0.00181 , 0.00081 , 0.00080 , 0.00053 , 0.0431 , 0.0016 , 0.0022 , 0.0005 ,  0.0008 , 5.7 , 0.8 , 2.3 , 0.3 , 0.5 , 2011MNRAS.417.2166S
Kepler-07    , 1.413 , 0.081 , 0.081 , 0.060 , 0.060 , 2.028 , 0.025 , 0.025 , 0.029 , 0.029 , 3.974 , 0.018 , 0.018 , 0.006 , 0.006 ,  0.169 ,  0.007 ,  0.007 ,  0.453 ,  0.067 ,  0.067 ,  0.013 ,  0.013 ,  1.649 ,  0.030 ,  0.030 ,  0.024 ,  0.024 ,  4.13 , 0.35 , 0.35 ,  0.0944 , 0.0085 , 0.0085 , 0.0014 , 0.0014 , 1619 ,  15 ,  15 , 0.06324 , 0.00042 , 0.00042 , 0.00090 , 0.00090 , 0.0245 , 0.0021 , 0.0021 , 0.0004 ,  0.0004 , 2.9 , 0.0 , 0.1 , 0.3 , 0.3 , 2012MNRAS.426.1291S
Kepler-08    , 1.230 , 0.072 , 0.072 ,  0.01 ,  0.01 , 1.495 , 0.037 , 0.037 , 0.005 , 0.005 , 4.178 , 0.022 , 0.022 , 0.002 , 0.002 ,  0.368 ,  0.014 ,  0.014 ,   0.59 ,   0.12 ,   0.12 ,   0.00 ,   0.00 ,  1.381 ,  0.037 ,  0.037 ,  0.005 ,  0.005 ,   7.7 ,  1.4 ,  1.4 ,   0.210 ,  0.040 ,  0.040 ,  0.001 ,  0.001 , 1662 ,  41 ,  41 ,  0.0485 ,  0.0012 ,  0.0012 ,  0.0002 ,  0.0002 , 0.0337 , 0.0063 , 0.0063 , 0.0001 ,  0.0001 , 3.2 , 1.8 , 3.1 , 0.6 , 1.1 , 2011MNRAS.417.2166S
Kepler-12    , 1.157 , 0.147 , 0.078 , 0.022 , 0.011 , 1.490 , 0.061 , 0.038 , 0.009 , 0.005 , 4.155 , 0.018 , 0.014 , 0.003 , 0.001 ,  0.350 ,  0.006 ,  0.009 ,  0.430 ,  0.053 ,  0.044 ,  0.005 ,  0.003 ,  1.706 ,  0.069 ,  0.039 ,  0.011 ,  0.006 ,  3.66 , 0.33 , 0.34 ,   0.081 ,  0.008 ,  0.008 ,  0.001 ,  0.001 , 1485 ,  25 ,  25 ,  0.0555 ,  0.0022 ,  0.0013 ,  0.0003 ,  0.0002 , 0.0241 , 0.0022 , 0.0001 , 0.0024 ,  0.0002 , 5.3 , 1.5 , 5.0 , 0.3 , 0.3 , 2012MNRAS.426.1291S
Kepler-14    , 1.318 , 0.052 , 0.052 , 0.029 , 0.029 ,  2.09 ,  0.11 ,  0.11 ,  0.02 ,  0.02 , 3.918 , 0.040 , 0.040 , 0.003 , 0.003 ,  0.145 ,  0.020 ,  0.020 ,   7.68 ,   0.37 ,   0.37 ,   0.11 ,   0.11 ,  1.126 ,  0.049 ,  0.049 ,  0.008 ,  0.008 ,   150 ,   13 ,   13 ,    5.04 ,   0.67 ,   0.67 ,   0.04 ,   0.04 , 1605 ,  39 ,  39 ,  0.0771 ,  0.0010 ,  0.0010 ,  0.0006 ,  0.0006 ,  0.798 ,  0.047 ,  0.047 ,  0.006 ,   0.006 , 2.2 , 1.6 , 1.9 , 0.9 , 0.5 , 2012MNRAS.426.1291S
Kepler-15    ,  1.08 ,  0.12 ,  0.12 ,  0.05 ,  0.05 , 1.253 , 0.047 , 0.047 , 0.020 , 0.020 , 4.275 , 0.017 , 0.017 , 0.007 , 0.007 ,  0.548 ,  0.008 ,  0.008 ,  0.696 ,  0.097 ,  0.097 ,  0.022 ,  0.022 ,  1.289 ,  0.050 ,  0.050 ,  0.021 ,  0.021 ,  10.4 ,  1.1 ,  1.1 ,   0.304 ,  0.036 ,  0.036 ,  0.005 ,  0.005 , 1251 ,  27 ,  27 ,  0.0583 ,  0.0022 ,  0.0022 ,  0.0009 ,  0.0009 , 0.0582 , 0.0068 , 0.0068 , 0.0009 ,  0.0009 , 6.7 , 6.7 , 1.6 , 0.9 , 1.1 , 2012MNRAS.426.1291S
Kepler-17    , 1.066 , 0.022 , 0.150 , 0.045 , 0.061 , 0.983 , 0.013 , 0.047 , 0.014 , 0.019 , 4.481 , 0.005 , 0.023 , 0.006 , 0.008 ,  1.121 ,  0.015 ,  0.034 ,  2.340 ,  0.060 ,  0.228 ,  0.066 ,  0.089 ,  1.310 ,  0.016 ,  0.063 ,  0.018 ,  0.025 , 33.82 , 0.85 , 1.01 ,   0.974 ,  0.054 ,  0.037 ,  0.019 ,  0.014 , 1712 ,  26 ,  25 , 0.02605 , 0.00018 , 0.00124 , 0.00037 , 0.00050 , 0.0873 , 0.0047 , 0.0017 , 0.0023 ,  0.0012 , 1.5 , 9.9 , 1.2 , 2.6 , 1.5 , 2012MNRAS.426.1291S
LHS_6343     , 0.440 , 0.049 , 0.049 , 0.012 , 0.012 , 0.418 , 0.030 , 0.030 , 0.004 , 0.004 , 4.839 , 0.035 , 0.035 , 0.004 , 0.004 ,   6.01 ,   0.76 ,   0.76 ,   69.9 ,    5.6 ,    5.6 ,    1.2 ,    1.2 ,  0.864 ,  0.048 ,  0.048 ,  0.007 ,  0.007 ,  2320 ,  210 ,  210 ,     101 ,     13 ,     13 ,      0 ,      0 ,  352 ,  22 ,  22 ,  0.0850 ,  0.0031 ,  0.0031 ,  0.0007 ,  0.0007 ,   31.2 ,    2.2 ,    2.2 ,    0.3 ,     0.3 , 4.0 , 0.7 , 0.0 , 2.0 , 3.0 , 2011MNRAS.417.2166S
OGLE-TR-010  , 1.277 , 0.082 , 0.082 , 0.013 , 0.013 ,  1.52 ,  0.10 ,  0.10 ,  0.00 ,  0.00 , 4.178 , 0.053 , 0.053 , 0.001 , 0.001 ,  0.361 ,  0.063 ,  0.063 ,   0.68 ,   0.15 ,   0.15 ,   0.00 ,   0.00 ,   1.72 ,   0.11 ,   0.11 ,   0.01 ,   0.01 ,   5.7 ,  1.4 ,  1.4 ,   0.125 ,  0.036 ,  0.036 ,  0.000 ,  0.000 , 1702 ,  54 ,  54 , 0.04516 , 0.00099 , 0.00099 , 0.00015 , 0.00015 , 0.0279 , 0.0062 , 0.0062 , 0.0001 ,  0.0001 , 3.1 , 3.3 , 0.7 , 0.3 , 0.2 , 2010MNRAS.408.1689S
OGLE-TR-056  , 1.339 , 0.077 , 0.077 , 0.066 , 0.066 , 1.737 , 0.035 , 0.035 , 0.029 , 0.029 , 4.086 , 0.018 , 0.018 , 0.007 , 0.007 ,  0.256 ,  0.011 ,  0.011 ,   1.41 ,   0.17 ,   0.17 ,   0.05 ,   0.05 ,  1.734 ,  0.051 ,  0.051 ,  0.029 ,  0.029 ,  11.6 ,  1.3 ,  1.3 ,   0.253 ,  0.031 ,  0.031 ,  0.004 ,  0.004 , 2482 ,  30 ,  30 , 0.02453 , 0.00046 , 0.00046 , 0.00041 , 0.00041 , 0.0298 , 0.0033 , 0.0033 , 0.0005 ,  0.0005 , 3.0 , 2.9 , 1.3 , 0.3 , 0.4 , 2012MNRAS.426.1291S
OGLE-TR-111  , 0.846 , 0.049 , 0.049 , 0.043 , 0.043 , 0.822 , 0.019 , 0.019 , 0.014 , 0.014 , 4.536 , 0.024 , 0.024 , 0.008 , 0.008 ,   1.52 ,   0.10 ,   0.10 ,   0.55 ,   0.10 ,   0.10 ,   0.02 ,   0.02 ,  1.011 ,  0.035 ,  0.035 ,  0.017 ,  0.017 ,  13.2 ,  2.5 ,  2.5 ,    0.49 ,   0.10 ,   0.10 ,   0.01 ,   0.01 , 1019 ,  20 ,  20 , 0.04676 , 0.00092 , 0.00092 , 0.00081 , 0.00081 ,  0.060 ,  0.011 ,  0.011 ,  0.001 ,   0.001 , 9.7 , 9.6 , 8.8 , 5.3 , 2.8 , 2012MNRAS.426.1291S
OGLE-TR-113  , 0.755 , 0.095 , 0.095 , 0.021 , 0.021 , 0.766 , 0.038 , 0.038 , 0.007 , 0.007 , 4.548 , 0.021 , 0.021 , 0.004 , 0.004 ,  1.679 ,  0.064 ,  0.064 ,   1.23 ,   0.20 ,   0.20 ,   0.02 ,   0.02 ,  1.088 ,  0.054 ,  0.054 ,  0.010 ,  0.010 ,  25.7 ,  3.4 ,  3.4 ,    0.89 ,   0.13 ,   0.13 ,   0.01 ,   0.01 , 1342 ,  22 ,  22 , 0.02265 , 0.00099 , 0.00099 , 0.00021 , 0.00021 , 0.0678 , 0.0095 , 0.0095 , 0.0006 ,  0.0006 ,  10 ,  10 ,  10 ,  10 ,  10 , 2012MNRAS.426.1291S
OGLE-TR-132  ,  1.29 ,  0.12 ,  0.12 ,  0.04 ,  0.04 , 1.338 , 0.075 , 0.075 , 0.013 , 0.013 , 4.297 , 0.036 , 0.036 , 0.004 , 0.004 ,  0.540 ,  0.062 ,  0.062 ,   1.17 ,   0.15 ,   0.15 ,   0.02 ,   0.02 ,  1.229 ,  0.075 ,  0.075 ,  0.012 ,  0.012 ,  19.2 ,  2.8 ,  2.8 ,    0.59 ,   0.11 ,   0.11 ,   0.01 ,   0.01 , 1991 ,  42 ,  42 , 0.03026 , 0.00098 , 0.00098 , 0.00029 , 0.00029 , 0.0445 , 0.0056 , 0.0056 , 0.0004 ,  0.0004 , 1.7 , 3.5 , 2.2 , 2.1 , 0.7 , 2012MNRAS.426.1291S
OGLE-TR-182  , 1.187 , 0.039 , 0.039 , 0.021 , 0.021 ,  1.53 ,  0.17 ,  0.17 ,  0.01 ,  0.01 , 4.142 , 0.089 , 0.089 , 0.003 , 0.003 ,   0.33 ,   0.10 ,   0.10 ,   1.06 ,   0.15 ,   0.15 ,   0.01 ,   0.01 ,   1.47 ,   0.14 ,   0.14 ,   0.01 ,   0.01 ,  12.1 ,  2.9 ,  2.9 ,   0.311 ,  0.104 ,  0.104 ,  0.002 ,  0.002 , 1550 ,  81 ,  81 , 0.05205 , 0.00057 , 0.00057 , 0.00031 , 0.00031 , 0.0628 , 0.0109 , 0.0109 , 0.0004 ,  0.0004 , 4.3 , 0.5 , 1.9 , 1.4 , 1.3 , 2010MNRAS.408.1689S
OGLE-TR-211  , 1.312 , 0.059 , 0.056 , 0.015 , 0.016 ,  1.56 ,  0.18 ,  0.10 ,  0.01 ,  0.01 , 4.170 , 0.052 , 0.085 , 0.002 , 0.002 ,  0.345 ,  0.068 ,  0.090 ,   0.75 ,   0.15 ,   0.15 ,   0.01 ,   0.01 ,   1.26 ,   0.16 ,   0.09 ,   0.01 ,   0.01 ,  11.6 ,  2.9 ,  3.3 ,   0.348 ,  0.109 ,  0.124 ,  0.001 ,  0.001 , 1686 ,  90 ,  55 , 0.05105 , 0.00076 , 0.00073 , 0.00020 , 0.00021 , 0.0460 , 0.0097 , 0.0104 , 0.0002 ,  0.0002 , 2.6 , 0.6 , 0.7 , 0.4 , 0.3 , 2010MNRAS.408.1689S
OGLE-TR-L9   , 1.427 , 0.099 , 0.099 , 0.028 , 0.028 , 1.499 , 0.042 , 0.042 , 0.010 , 0.010 , 4.241 , 0.016 , 0.016 , 0.003 , 0.003 ,  0.424 ,  0.018 ,  0.018 ,    4.4 ,    1.5 ,    1.5 ,    0.1 ,    0.1 ,  1.633 ,  0.045 ,  0.045 ,  0.011 ,  0.011 ,    40 ,   13 ,   13 ,    0.94 ,   0.32 ,   0.32 ,   0.01 ,   0.01 , 2034 ,  22 ,  22 , 0.04047 , 0.00093 , 0.00093 , 0.00026 , 0.00026 ,  0.151 ,  0.051 ,  0.051 ,  0.001 ,   0.001 , 1.0 , 0.6 , 1.3 , 0.3 , 0.2 , 2012MNRAS.426.1291S
TrES-1       , 0.892 , 0.026 , 0.026 , 0.041 , 0.041 , 0.818 , 0.017 , 0.017 , 0.013 , 0.013 , 4.563 , 0.019 , 0.019 , 0.007 , 0.007 ,  1.632 ,  0.092 ,  0.092 ,  0.761 ,  0.045 ,  0.045 ,  0.023 ,  0.023 ,  1.099 ,  0.031 ,  0.031 ,  0.017 ,  0.017 ,  15.6 ,  1.2 ,  1.2 ,   0.536 ,  0.052 ,  0.052 ,  0.009 ,  0.009 , 1147 ,  15 ,  15 , 0.03946 , 0.00039 , 0.00039 , 0.00060 , 0.00060 , 0.0612 , 0.0037 , 0.0037 , 0.0009 ,  0.0009 , 3.4 , 3.4 , 3.0 , 1.9 , 2.9 , 2010MNRAS.408.1689S
TrES-2       , 0.991 , 0.052 , 0.052 , 0.024 , 0.024 , 0.964 , 0.017 , 0.017 , 0.008 , 0.008 , 4.466 , 0.008 , 0.008 , 0.004 , 0.004 ,  1.105 ,  0.011 ,  0.011 ,  1.206 ,  0.045 ,  0.045 ,  0.020 ,  0.020 ,  1.193 ,  0.021 ,  0.021 ,  0.010 ,  0.010 , 21.02 , 0.31 , 0.31 ,   0.665 ,  0.015 ,  0.015 ,  0.005 ,  0.005 , 1466 ,  12 ,  12 , 0.03567 , 0.00061 , 0.00061 , 0.00029 , 0.00029 , 0.0727 , 0.0017 , 0.0017 , 0.0006 ,  0.0006 , 3.4 , 2.0 , 2.2 , 0.5 , 0.5 , 2011MNRAS.417.2166S
TrES-3       , 0.921 , 0.014 , 0.014 , 0.014 , 0.014 , 0.824 , 0.010 , 0.010 , 0.004 , 0.004 , 4.571 , 0.006 , 0.006 , 0.002 , 0.002 ,  1.648 ,  0.041 ,  0.041 ,  1.899 ,  0.060 ,  0.060 ,  0.019 ,  0.019 ,  1.310 ,  0.019 ,  0.019 ,  0.006 ,  0.006 ,  27.4 ,  1.1 ,  1.1 ,   0.790 ,  0.040 ,  0.040 ,  0.004 ,  0.004 , 1638 ,  22 ,  22 , 0.02276 , 0.00012 , 0.00012 , 0.00011 , 0.00011 , 0.0716 , 0.0024 , 0.0024 , 0.0004 ,  0.0004 , 1.0 , 0.5 , 0.0 , 0.0 , 0.0 , 2011MNRAS.417.2166S
TrES-4       , 1.339 , 0.084 , 0.084 , 0.016 , 0.016 , 1.834 , 0.087 , 0.087 , 0.007 , 0.007 , 4.038 , 0.033 , 0.033 , 0.002 , 0.002 ,  0.217 ,  0.025 ,  0.025 ,  0.897 ,  0.075 ,  0.075 ,  0.007 ,  0.007 ,  1.735 ,  0.072 ,  0.072 ,  0.007 ,  0.007 ,  7.39 , 0.76 , 0.76 ,   0.161 ,  0.021 ,  0.021 ,  0.001 ,  0.001 , 1805 ,  40 ,  40 ,  0.0502 ,  0.0010 ,  0.0010 ,  0.0002 ,  0.0002 , 0.0387 , 0.0033 , 0.0033 , 0.0002 ,  0.0002 , 2.5 , 2.8 , 0.7 , 0.9 , 2.5 , 2012MNRAS.426.1291S
WASP-01      , 1.265 , 0.052 , 0.030 , 0.015 , 0.014 , 1.465 , 0.051 , 0.079 , 0.006 , 0.005 , 4.209 , 0.051 , 0.028 , 0.002 , 0.002 ,  0.403 ,  0.069 ,  0.037 ,  0.980 ,  0.047 ,  0.042 ,  0.008 ,  0.007 ,  1.493 ,  0.061 ,  0.091 ,  0.006 ,  0.006 ,  10.9 ,  1.5 ,  0.9 ,   0.275 ,  0.058 ,  0.032 ,  0.001 ,  0.001 , 1830 ,  33 ,  49 , 0.03920 , 0.00053 , 0.00031 , 0.00015 , 0.00015 , 0.0406 , 0.0031 , 0.0002 , 0.0023 ,  0.0002 , 2.7 , 0.4 , 3.5 , 0.5 , 0.4 , 2012MNRAS.426.1291S
