System       ,  M_A  , errup , errdn , sysup , sysdn ,  R_A  , errup , errdn , sysup , sysdn , loggA , errup , errdn , sysup , sysdn ,  rho_A ,  errup ,  errdn ,   M_b  ,  errup ,  errdn ,  sysup ,  sysdn ,   R_b  ,  errup ,  errdn ,  sysup ,  sysdn ,  g_b  , erru , errd ,  rho_b  , errup  , errdn  , sysup  , sysdn  , Teq  , err , err ,  a(AU)  ,  errup  , errdown ,  sysup  , sysdown ,Safronov,  errup ,  errdn ,  sysup ,   sysdn , age , err , err , sys , sys , Reference
CoRoT-11     ,  1.26 ,  0.14 ,  0.14 ,  0.02 ,  0.02 , 1.374 , 0.061 , 0.061 , 0.009 , 0.009 , 4.264 , 0.019 , 0.019 , 0.003 , 0.003 ,  0.488 ,  0.022 ,  0.022 ,   2.34 ,   0.39 ,   0.39 ,   0.03 ,   0.03 ,  1.426 ,  0.057 ,  0.057 ,  0.009 ,  0.009 ,  28.5 ,  4.2 ,  4.2 ,    0.76 ,   0.12 ,   0.12 ,   0.00 ,   0.00 , 1735 ,  34 ,  34 ,  0.0440 ,  0.0016 ,  0.0016 ,  0.0003 ,  0.0003 ,  0.114 ,  0.017 ,  0.017 ,  0.001 ,   0.001 , 2.0 , 0.8 , 2.1 , 0.4 , 0.4 , 2011MNRAS.417.2166S
CoRoT-12     , 1.018 , 0.088 , 0.088 , 0.029 , 0.029 , 1.046 , 0.042 , 0.042 , 0.010 , 0.010 , 4.407 , 0.029 , 0.029 , 0.004 , 0.004 ,  0.889 ,  0.076 ,  0.076 ,  0.887 ,  0.077 ,  0.077 ,  0.017 ,  0.017 ,  1.350 ,  0.074 ,  0.074 ,  0.013 ,  0.013 ,  12.1 ,  1.3 ,  1.3 ,   0.337 ,  0.052 ,  0.052 ,  0.003 ,  0.003 , 1410 ,  28 ,  28 ,  0.0394 ,  0.0011 ,  0.0011 ,  0.0004 ,  0.0004 , 0.0508 , 0.0042 , 0.0042 , 0.0005 ,  0.0005 , 5.8 , 3.3 , 6.7 , 1.8 , 1.5 , 2011MNRAS.417.2166S
CoRoT-13     , 1.086 , 0.077 , 0.077 , 0.035 , 0.035 , 1.274 , 0.077 , 0.077 , 0.014 , 0.014 , 4.264 , 0.040 , 0.040 , 0.005 , 0.005 ,  0.526 ,  0.072 ,  0.072 ,  1.312 ,  0.092 ,  0.092 ,  0.028 ,  0.028 ,  1.252 ,  0.075 ,  0.075 ,  0.013 ,  0.013 ,  20.7 ,  2.5 ,  2.5 ,    0.62 ,   0.11 ,   0.11 ,   0.00 ,   0.00 , 1432 ,  39 ,  39 ,  0.0510 ,  0.0012 ,  0.0012 ,  0.0005 ,  0.0005 , 0.0983 , 0.0080 , 0.0080 , 0.0010 ,  0.0010 , 5.8 , 1.4 , 6.2 , 0.5 , 1.0 , 2011MNRAS.417.2166S
CoRoT-14     , 1.125 , 0.098 , 0.098 , 0.018 , 0.018 ,  1.19 ,  0.14 ,  0.14 ,  0.01 ,  0.01 , 4.338 , 0.082 , 0.082 , 0.002 , 0.002 ,   0.67 ,   0.19 ,   0.19 ,   7.67 ,   0.49 ,   0.49 ,   0.08 ,   0.08 ,  1.018 ,  0.079 ,  0.079 ,  0.005 ,  0.005 ,   183 ,   27 ,   27 ,     6.8 ,    1.5 ,    1.5 ,    0.0 ,    0.0 , 1936 ,  95 ,  95 , 0.02687 , 0.00077 , 0.00077 , 0.00015 , 0.00015 ,  0.360 ,  0.030 ,  0.030 ,  0.002 ,   0.002 , 3.7 , 2.5 , 5.0 , 0.7 , 0.6 , 2011MNRAS.417.2166S
CoRoT-15     ,  1.31 ,  0.16 ,  0.19 ,  0.04 ,  0.03 ,  1.36 ,  0.39 ,  0.12 ,  0.01 ,  0.01 , 4.288 , 0.059 , 0.191 , 0.005 , 0.003 ,   0.52 ,   0.12 ,   0.25 ,   64.9 ,    5.3 ,    6.2 ,    1.3 ,    1.0 ,  1.045 ,  0.347 ,  0.091 ,  0.011 ,  0.008 ,  1470 ,  240 ,  620 ,      53 ,     13 ,     29 ,      0 ,      0 , 1670 , 200 ,  80 ,  0.0458 ,  0.0018 ,  0.0022 ,  0.0005 ,  0.0003 ,   4.34 ,   0.41 ,   1.07 ,   0.03 ,    0.05 , 1.6 , 4.5 , 5.9 , 0.9 , 1.6 , 2011MNRAS.417.2166S
CoRoT-17     , 1.043 , 0.073 , 0.041 , 0.015 , 0.022 ,  1.62 ,  0.47 ,  0.13 ,  0.01 ,  0.01 , 4.035 , 0.069 , 0.208 , 0.002 , 0.003 ,  0.243 ,  0.066 ,  0.126 ,   2.46 ,   0.26 ,   0.24 ,   0.02 ,   0.04 ,  1.007 ,  0.345 ,  0.092 ,  0.005 ,  0.007 ,    60 ,   13 ,   27 ,    2.26 ,   0.77 ,   1.35 ,   0.02 ,   0.01 , 1610 , 210 ,  70 , 0.04810 , 0.00109 , 0.00064 , 0.00023 , 0.00034 ,  0.225 ,  0.031 ,  0.002 ,  0.062 ,   0.001 , 8.0 , 0.7 , 3.5 , 0.3 , 0.4 , 2012MNRAS.426.1291S
CoRoT-18     , 0.861 , 0.059 , 0.059 , 0.017 , 0.017 , 0.924 , 0.057 , 0.057 , 0.006 , 0.006 , 4.442 , 0.043 , 0.043 , 0.003 , 0.003 ,   1.09 ,   0.16 ,   0.16 ,   3.27 ,   0.17 ,   0.17 ,   0.04 ,   0.04 ,  1.251 ,  0.083 ,  0.083 ,  0.008 ,  0.008 ,  51.8 ,  6.6 ,  6.6 ,    1.56 ,   0.30 ,   0.30 ,   0.01 ,   0.01 , 1490 ,  45 ,  45 , 0.02860 , 0.00065 , 0.00065 , 0.00019 , 0.00019 ,  0.173 ,  0.012 ,  0.012 ,  0.001 ,   0.001 ,  10 ,  10 ,  10 ,  10 ,  10 , 2012MNRAS.426.1291S
CoRoT-19     , 1.181 , 0.125 , 0.074 , 0.024 , 0.022 , 1.576 , 0.354 , 0.096 , 0.011 , 0.010 , 4.115 , 0.047 , 0.152 , 0.003 , 0.003 ,  0.302 ,  0.049 ,  0.125 ,  1.090 ,  0.092 ,  0.077 ,  0.015 ,  0.014 ,  1.190 ,  0.260 ,  0.069 ,  0.008 ,  0.007 ,  19.1 ,  2.4 ,  6.2 ,    0.60 ,   0.11 ,   0.27 ,   0.00 ,   0.00 , 1630 , 150 ,  40 ,  0.0512 ,  0.0018 ,  0.0011 ,  0.0003 ,  0.0003 , 0.0794 , 0.0064 , 0.0005 , 0.0150 ,  0.0005 , 4.9 , 0.6 , 1.7 , 0.3 , 0.3 , 2012MNRAS.426.1291S
CoRoT-20     ,  1.11 ,  0.10 ,  0.10 ,  0.01 ,  0.01 ,  1.34 ,  0.37 ,  0.37 ,  0.01 ,  0.01 ,  4.23 ,  0.24 ,  0.24 ,  0.00 ,  0.00 ,   0.46 ,   0.48 ,   0.48 ,   5.06 ,   0.36 ,   0.36 ,   0.04 ,   0.04 ,   1.16 ,   0.26 ,   0.26 ,   0.00 ,   0.00 ,    93 ,   46 ,   46 ,     3.0 ,    2.5 ,    2.5 ,    0.0 ,    0.0 , 1100 , 150 , 150 ,  0.0892 ,  0.0028 ,  0.0028 ,  0.0004 ,  0.0004 ,   0.70 ,   0.17 ,   0.17 ,   0.00 ,    0.00 , 5.9 , 1.6 , 11. , 0.8 , 1.6 , 2012MNRAS.426.1291S
CoRoT-23     , 1.122 , 0.088 , 0.061 , 0.027 , 0.039 ,  1.74 ,  0.26 ,  0.16 ,  0.01 ,  0.02 , 4.008 , 0.076 , 0.107 , 0.004 , 0.005 ,  0.214 ,  0.064 ,  0.066 ,   3.06 ,   0.32 ,   0.30 ,   0.05 ,   0.07 ,   1.18 ,   0.19 ,   0.11 ,   0.01 ,   0.01 ,    54 ,   12 ,   14 ,    1.75 ,   0.63 ,   0.64 ,   0.02 ,   0.01 , 1710 , 110 ,  80 , 0.04809 , 0.00122 , 0.00088 , 0.00039 , 0.00056 ,  0.222 ,  0.031 ,  0.003 ,  0.036 ,   0.002 , 5.4 , 2.4 , 1.7 , 0.5 , 1.0 , 2012MNRAS.426.1291S
