Unnamed: 0,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate,a_calc,Teq_Calc,R*/Rp,a_calc/R*,Impact Parameter
425,404.01,404,166833457,166833457.01,1,CP,03h53m42.96s,58.429006,-34d19m41.77s,-34.32827,33.39,3.368,3.368,0.0,1.0,-14.029,3.368,3.368,0.0,1.0,2458413.16667,0.000463,2.962482,0.000103,1.931425,0.0804760416667,0.029495,0.00122895833333,28072.631654,2.8072631654,353.9316,0.03539316,13.280845,1.18483763048,0.142448,0.0127083593541,,,,310.356078,,,,,1070.49542,,,,,12.315,0.019,364.99701,,,0,1,5182.0,182.0,182.0,4.4635801,2.00366,2.00366,0.910706,0.910706,0.910706,0.803925482508,2019-01-16 19:24:29,2019-06-17 14:58:32,0.0375360810993,1230.65240351,7.47763120412,8.8653117693,0.848264016206
427,406.01,406,153065527,153065527.01,1,,03h17m02.98s,49.262413,-42d14m32.38s,-42.242329,39.43,2.0,2.0,0.0,1.0,-415.87,2.0,2.0,0.0,1.0,2458388.56838,0.002362,13.173838,0.001285,2.044853,0.0852022083333,0.465681,0.019403375,2117.004715,0.2117004715,191.76883,0.019176883,1.430284,0.127601391739,0.736514,0.0657073779998,,,,1.994074,,,,,303.078458,,,,,11.222,0.04,44.065922,,,0,1,3349.0,63.0,63.0,4.94138,0.395255,0.395255,0.309,0.052,0.052,0.0645510214145,2019-01-16 19:24:29,2019-06-13 04:18:11,0.043790755259,428.920230318,23.5585063128,30.4822652835,0.838717131237
432,411.01,411,100990000,100990000.01,2,,03h39m16.69s,54.819548,-42d45m46.84s,-42.763012,-51.597,0.061,0.061,0.0,1.0,-110.555,0.067,0.067,0.0,1.0,2458386.19196,0.002175,9.571576,0.000721,3.641579,0.151732458333,0.312774,0.01303225,391.737902,0.0391737902,27.212782,0.0027212782,2.31812,0.206808814346,0.776367,0.069262824516,,,,187.290358,,,,,943.514556,,,,,7.7399998,0.019,61.333099,1.4428101,1.4428101,0,1,6101.0,193.0,193.0,4.3877401,0.262054,0.262054,1.13529,0.125965,0.125965,1.34456735404,2019-01-16 19:24:29,2019-06-13 04:18:11,0.097376988449,1004.38362301,53.4050653434,18.4489990677,0.441361448127
433,411.02,411,100990000,100990000.02,2,,03h39m16.69s,54.819548,-42d45m46.84s,-42.763012,-51.597,0.061,0.061,0.0,1.0,-110.555,0.067,0.067,0.0,1.0,2458385.7307,0.00415,4.040051,0.000633,3.228516,0.1345215,0.316352,0.0131813333333,166.390795,0.0166390795,16.105507,0.0016105507,1.566935,0.139792577393,0.545492,0.0486655366224,,,,591.531085,,,,,1257.807392,,,,,7.7399998,0.019,61.333099,1.4428101,1.4428101,0,1,6101.0,193.0,193.0,4.3877401,0.262054,0.262054,1.13529,0.125965,0.125965,1.34456735404,2019-02-08 18:54:05,2019-06-13 04:18:11,0.0547930239762,1338.95246017,79.0073296428,10.3810609093,0.5
435,413.01,413,170634116,170634116.01,1,CP,04h25m29.02s,66.370902,-30d36m01.57s,-30.600436,0.162,0.608,0.608,0.0,1.0,2.126,0.882,0.882,0.0,1.0,2458412.89234,0.000216,3.662355,2.8e-05,3.758513,0.156604708333,0.012933,0.000538875,12394.908792,1.2394908792,50.329994,0.0050329994,17.802377,1.58822169685,0.052899,0.0047193326791,,,,1482.475705,,,,,1582.583545,,,,,9.6750002,0.018,243.98099,26.3491,26.3491,0,1,7002.0,162.0,162.0,4.77,0.14,0.14,1.50825,0.255231,0.255231,2.60878194012,2019-01-16 19:24:29,2019-06-17 14:58:32,0.0640117061292,1638.7112419,9.23861549437,9.1287087468,0.5
437,415.01,415,152476657,152476657.01,1,CP,04h10m27.86s,62.616092,-45d53m53.67s,-45.898242,2.792,0.783,0.783,0.0,1.0,-6.672,0.648,0.648,0.0,1.0,2458411.72896,0.000673,3.611175,7.7e-05,3.518394,0.14659975,0.045751,0.00190629166667,5593.619309,0.5593619309,80.023575,0.0080023575,14.958986,1.33455134267,0.166434,0.0148482469444,,,,2048.362565,,,,,1715.818939,,,,,10.551,0.018,,,,0,1,6471.0,198.0,198.0,4.1588302,0.402199,0.402199,1.58385,0.275771,0.275771,2.9241486579,2019-01-16 19:24:28,2019-06-17 14:58:32,0.0658726835374,1529.85090315,11.5457844535,8.94570535146,0.5
440,418.01,418,178284730,178284730.01,1,CP,04h01m32.53s,60.385542,-20d27m03.61s,-20.451002,-18.949,0.849,0.849,0.0,1.0,20.547,0.806,0.806,0.0,1.0,2458412.6973,0.000139,2.235982,1e-05,1.522777,0.0634490416667,0.007637,0.000318208333333,19230.613528,1.9230613528,131.13382,0.013113382,13.884701,1.23871005442,0.080584,0.00718922294585,,,,496.466077,,,,,1203.904795,,,,,10.261,0.019,115.98522,5.0304298,5.0304298,0,1,5328.0,184.0,184.0,4.5344901,0.280374,0.280374,0.858218,0.107587,0.107587,0.699940480184,2019-01-16 19:24:28,2019-06-17 14:58:32,0.0297124927908,1380.59673519,6.74019776522,7.44671533773,0.941397806779
443,421.01,421,94986319,94986319.01,1,,05h27m24.79s,81.853287,-14d16m36.29s,-14.276747,-33.69,2.0,2.0,0.0,1.0,54.18,2.0,2.0,0.0,1.0,2458440.1311,0.000789,16.068919,0.000422,2.682681,0.111778375,0.069954,0.00291475,2958.651255,0.2958651255,60.01873,0.006001873,6.445067,0.574990364885,6.447638,0.575219734142,,,,74.824872,,,,,750.120865,,,,,9.2159996,0.017,89.442101,,,0,1,5718.0,189.0,189.0,4.3565798,2.00367,2.00367,1.10966,1.10966,1.10966,1.27480328219,2019-01-31 16:53:30,2019-08-14 16:04:01,0.135128000016,790.023123855,18.7747449993,26.1926053854,0.884390628708
444,422.01,422,117979455,117979455.01,1,,04h47m12.67s,71.802808,-17d15m12.09s,-17.253358,-79.3,2.0,2.0,0.0,1.0,-65.68,2.0,2.0,0.0,1.0,2458438.29783,0.00192,0.63322,7e-05,0.576,0.024,0.151,0.00629166666667,1133.72,0.113372,16.2524,0.00162524,5.30602,0.473371397984,0.732131,0.0653163529307,,,,782.879,,,,,1473.0,,,,,8.9239998,0.018,98.088501,,,0,1,5823.0,190.0,190.0,4.3369398,2.00353,2.00353,1.15079,1.15079,1.15079,1.38779137851,2019-01-31 16:53:31,2019-06-17 14:58:32,0.0160972242509,2373.79217387,23.6504140823,3.00869522777,0.986071426634
445,423.01,423,43647325,43647325.01,1,CP,05h04m19.65s,76.081888,-06d13m47.22s,-6.229782,20.405,0.662,0.662,0.0,1.0,10.862,0.663,0.663,0.0,1.0,2458440.12315,0.00023,3.16164,6e-05,3.067,0.127791666667,0.042,0.00175,16457.8,1.64578,0.580572,5.80572e-05,15.9255,1.42077794629,0.843186,0.0752240164154,,,,651.247,,,,,1407.0,,,,,10.41,0.02,194.26491,14.5317,14.5317,0,1,6072.0,62.0,62.0,4.6900001,0.13,0.13,1.0959899,0.130187,0.130187,1.23845991546,2019-01-31 16:53:31,2019-06-17 14:58:32,0.0452732960174,1440.41403106,7.50455643349,8.88502887945,0.135919910469
