,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate
961,916.01,916,348844154,348844154.01,1,FP,07h03m49.6s,105.956652,-60d17m50.99s,-60.297497,-9.716,1.28,1.28,0,1,32.904,0.821,0.821,0,1,2458343.2066,0.00401,29.17362,0.00233,8.075,0.336458333333333,0.499,0.020791666666667,5558.85,0.555885,22.7513,0.00227513,15.4676,1.37992684449996,1.2126,0.108180926041574,,,,167.644,,,,,1002,,,,,11.201,0.018,422.03836,76.221901,76.221901,0,1,5814,190,190,3.92083,0.522115,0.522115,1.85575,0.471726,0.471726,4.23199775060886,2019-01-18 16:50:48,2019-08-06 02:59:21
962,917.01,917,207237016,207237016.01,1,,03h19m15.95s,49.816472,-59d24m00.4s,-59.40011,13.351,0.282,0.282,0,1,10.654,1.334,1.334,0,1,2458365.00939,0.00239,26.41014,,2.746,0.114416666666667,0.22,0.009166666666667,13775.9,1.37759,1361.45,0.136145,34.9086,3.11433669372825,11.1426,0.994076188776876,,,,193.603,,,,,1039,,,,,11.205,0.018,581.25574,,,0,1,6230,195,195,3.8134,0.635663,0.635663,2.2532001,0.6939,0.6939,6.65578744709898,2019-01-18 16:50:44,2019-08-16 12:00:13
963,918.01,918,294869729,294869729.01,1,,04h47m11.81s,71.799227,-68d59m08.31s,-68.985642,4.369,1.29,1.29,0,1,7.957,1.535,1.535,0,1,2458326.51803,0.00504,1.11424,0.0001,2.708,0.112833333333333,0.469,0.019541666666667,431.734,0.0431734,1.24118,0.000124118,6.7532,0.602480149879561,0.495127,0.044172272281203,,,,2913.27,,,,,2046,,,,,11.18,0.018,606.88165,138.86099,138.86099,0,1,4989,178,178,,,,0.850497,0.850497,0.850497,0.685335403454431,2019-01-18 16:50:45,2019-08-16 12:00:13
964,919.01,919,150167117,150167117.01,1,,06h13m39.26s,93.413568,-62d13m11.02s,-62.219727,-12.295,3.049,3.049,0,1,23.012,2.331,2.331,0,1,2458344.89595,0.00947,20.0228,0.00207,3.079,0.128291666666667,0.88,0.036666666666667,16132.8,1.61328,47.2954,0.00472954,21.0649,1.87928450352395,1.44833,0.129211348023909,,,,42.8732,,,,,712,,,,,11.123,0.018,,,,0,1,5811.0898,125,125,0.2,,,,,,0,2019-04-01 16:52:03,2019-07-31 10:32:40
965,920.01,920,271722899,271722899.01,1,,07h21m15s,110.312487,-73d27m11.65s,-73.453235,-0.282,1.252,1.252,0,1,5.322,1.252,1.252,0,1,2458335.23411,0.00239,19.2998,,3.17,0.132083333333333,0.382,0.015916666666667,1864.78,0.186478,2.57372,0.000257372,,0,,0,,,,16.9727,,,,,565,,,,,11.038,0.018,,,,0,1,3818,163,163,,,,,,,0,2019-01-18 16:50:42,2019-07-31 10:32:40
966,921.01,921,278775625,278775625.01,1,,06h38m41.81s,99.674204,-56d13m13.96s,-56.220544,-1.338,1.245,1.245,0,1,36.175,4.333,4.333,0,1,2458328.93654,0.0041,5.1288,0.00025,1.788,0.0745,0.374,0.015583333333333,616.892,0.0616892,1.99921,0.000199921,2.61197,0.233024355428673,0.338967,0.030240610223927,,,,191.262,,,,,1036,,,,,11.215,0.018,297.48843,42.710999,42.710999,0,1,6055.4702,46.198799,46.198799,4.4153199,0.124233,0.124233,1.21136,0.262723,0.262723,1.56424292956479,2019-03-21 15:42:33,2019-07-31 10:32:40
967,922.01,922,278199349,278199349.01,1,,07h23m33.63s,110.890133,-79d30m15.33s,-79.504258,,,,,,,,,,,2458418.21857,0.00159,9.46516,0.00275,3.951,0.164625,0.391,0.016291666666667,10952.3,1.09523,82.0134,0.00820134,,0,,0,,,,83.6782,,,,,842,,,,,11.29,0.019,,,,0,1,4120,171,171,,,,,,,0,2019-01-18 16:50:47,2019-07-31 10:32:40
968,923.01,923,301051430,301051430.01,1,,03h20m08.72s,50.036332,-45d03m42.67s,-45.061852,25.671,0.692,0.692,0,1,11.615,1.048,1.048,0,1,2458387.44487,0.0035,3.27294,0.00054,1.489,0.062041666666667,0.481,0.020041666666667,1036.97,0.103697,4.84773,0.000484773,4.2861,0.382380230172183,0.418156,0.037305379605674,,,,388.023,,,,,1236,,,,,10.994,0.019,317.6907,40.726799,40.726799,0,1,5694,188,188,4.1445999,0.395121,0.395121,1.4121,0.265305,0.265305,2.23710339587886,2019-01-18 16:50:41,2019-08-16 12:00:13
969,924.01,924,382068562,382068562.01,1,,05h18m37.65s,79.65689,-55d53m18.85s,-55.88857,-5.114,0.557,0.557,0,1,54.703,0.93,0.93,0,1,2458330.36121,0.00029,12.12753,3E-05,1.886,0.078583333333333,0.051,0.002125,20037.6,2.00376,30.2355,0.00302355,15.9498,1.42294584708716,0.842693,0.075180033901329,,,,30.8672,,,,,656,,,,,11.293,0.018,,,,0,1,5688,188,188,,,,,,,0,2019-04-01 16:52:02,2019-08-16 12:00:13
970,925.01,925,300599466,300599466.01,1,,07h32m11.41s,113.047533,-68d00m44.61s,-68.012391,2.732,1.286,1.286,0,1,-0.071,0.986,0.986,0,1,2458331.85558,0.00299,13.18099,0.0007,3.426,0.14275,0.627,0.026125,2444.68,0.244468,99.7673,0.00997673,4.68693,0.418139887590329,4.78161,0.426586671424748,,,,142.381,,,,,962,,,,,10.848,0.032,2098.7158,967.84802,967.84802,0,1,5027.7002,103,103,2.3,0.19,0.19,0.861756,0.861756,0.861756,0.706691829799779,2019-03-26 13:55:09,2019-07-31 10:32:40
