Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
K2-039,4912,60.0,60.0,0.43,0.04,0.04,1.192,0.085,0.07,2.93,0.21,0.21,3.58,0.05,0.05,,,,0.152,0.084,0.066,0.0574,0.0012,0.0012,0.125,0.014,0.014,0.509,0.056,0.056,,,,0.88,0.35,0.24,1670.0,54.0,54.0,2016AJ....152..143V,2017AJ....153..142P,TEP,22,33,28.41,-9,1,22.0,10.83,8.52,0.38,0.04,2456980.8236,0.0039,4.60543,0.00046,2016AJ....152..143V,0.57,0.0003186920359193682,11.733716951160188,10.199716951160188,9.718716951160188,8.333716951160188
K2-043b,3841,99.0,50.0,,,,0.571,0.111,0.055,0.542,0.049,0.022,,,,,,,,,,,,,,,,0.402,0.039,0.017,,,,,,,939.0,38.0,19.0,2016ApJS..226....7C,2019ApJ...880L...5H,TEP,11,16,28.11,-3,58,31.6,15.6,11.57,0.095,0.6,2456809.8843,0.0007,3.471149,7.8e-05,2019ApJ...880L...5H,0.11,0.00580930822864912,16.84950465888619,14.50550465888619,13.57050465888619,11.62850465888619
K2-043c,3841,99.0,50.0,,,,0.571,0.111,0.055,0.542,0.049,0.022,,,,,,,,,,,,,,,,0.215,0.023,0.01,,,,,,,1094.0,44.0,22.0,2019ApJ...880L...5H,2019ApJ...880L...5H,TEP,11,16,28.11,-3,58,31.6,15.6,11.57,0.079,0.2,2456809.8845,0.0033,3.47114,0.00021,2019ApJ...880L...5H,0.14,0.0016616870428288015,16.84950465888619,14.50550465888619,13.57050465888619,11.62850465888619
K2-055,4300,107.0,100.0,0.376,0.095,0.095,0.688,0.069,0.069,0.715,0.043,0.04,4.566,0.036,0.036,,,,0.124,0.054,0.055,0.0347,0.001,0.001,0.138,0.017,0.017,0.395,0.026,0.026,,,,2.1,0.5,0.5,900.0,,,2016ApJS..226....7C,arXiv:1804.05148,TEP,22,15,0.46,-17,15,2.5,13.55,10.47,0.1,0.4,2456983.4229,0.0004,2.849275,2.7e-05,arXiv:1804.05148,0.37,0.0032229457424124293,14.700353628535114,12.672353628535113,11.995353628535113,10.253353628535114
K2-056,5766,99.0,99.0,-0.15,0.05,0.05,0.961,0.032,0.029,0.928,0.055,0.044,4.5,0.08,0.08,1.2,0.14,0.18,0.0,0.36,0.0,0.241,0.019,0.017,0.051,0.019,0.019,0.199,0.013,0.01,32.0,12.0,12.0,5.9,2.6,2.3,546.0,19.0,18.0,arXiv:1601.07608,arXiv:1601.07608,TEP,3,34,36.23,20,35,57.2,11.04,9.37,0.236,0.06,2457151.9021,0.0045,41.6855,0.0031,arXiv:1601.07608,,0.00048560269357853766,11.603716951160187,10.590716951160188,10.240716951160188,9.389716951160187
K2-060,5500,100.0,100.0,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,4.33,0.04,0.04,0.7,0.04,0.04,0.0,0.18,0.0,0.045,0.003,0.003,0.426,0.037,0.037,0.683,0.037,0.037,22.4,3.3,,1.3,0.2,0.2,1400.0,50.0,50.0,2017AJ....153..130E,2017AJ....153..130E,TEP,22,34,25.49,-13,43,54.1,12.79,10.99,0.128,0.47,2456928.0593,0.0007,3.00265,4e-05,2017AJ....153..130E,0.21,0.003927138777710145,13.440716951160187,12.299716951160187,11.917716951160187,10.935716951160186
K2-066,5887,46.0,46.0,-0.047,0.02,0.02,1.01,0.04,0.04,1.67,0.12,0.12,4.03,0.05,0.05,0.26,0.1,0.16,0.0,,,0.05983,0.00072,0.00072,0.067,0.011,0.011,0.222,0.03,0.021,,,,5.9,2.0,2.0,1372.0,51.0,51.0,2016ApJS..226....7C,2017AJ....153..271S,TEP,22,6,6.41,-10,42,41.6,11.71,10.6,0.196,0.02,2455817.0092,0.0051,5.06963,0.00081,2017AJ....153..271S,0.47,0.0001866138587874008,12.227716951160188,11.283716951160189,10.951716951160188,10.165716951160189
K2-079,5926,86.0,86.0,0.053,0.048,0.036,1.06,0.05,0.05,1.269,0.051,0.051,4.26,0.01,0.01,0.52,0.02,0.02,0.082,0.088,0.056,0.099,0.001,0.001,0.037,0.011,0.011,0.365,0.015,0.011,7.0,2.2,2.2,0.7,0.25,0.25,1021.0,21.0,20.0,2016ApJS..226....7C,arXiv:2111.02608,TEP,3,41,1.42,13,31,9.7,12.07,9.9,0.1894,0.08,2457070.24341,0.00057,10.994748,2.5e-05,arXiv:2108.08889,0.68,0.0008736417324380016,12.579716951160188,11.647716951160188,11.319716951160189,10.543716951160189
K2-093b,6320,60.0,30.0,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.07,0.06,0.06,0.1283,0.0015,0.0015,0.0217,0.0028,0.0028,0.2315,0.0032,0.0032,,,,1.64,0.21,0.21,959.0,9.0,5.0,2016ApJ...827L..10V,arXiv:1911.07355,TEP,8,26,27.85,10,4,49.4,8.93,7.72,0.211,0.04,2457152.283,0.002,15.57209,2e-05,arXiv:1911.07519,,0.00034923363961400044,9.327716951160188,8.567716951160188,8.290716951160187,7.658716951160187
K2-093c,6320,60.0,30.0,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.04,0.04,0.03,0.2061,0.0024,0.0024,0.0138,0.0035,0.0035,0.2433,0.0054,0.0054,,,,0.9,0.23,0.23,757.0,7.0,4.0,2016ApJ...827L..10V,arXiv:1911.07355,TEP,8,26,27.85,10,4,49.4,8.93,7.72,0.134,0.03,2457163.162,0.003,31.7061,0.0002,arXiv:1911.07519,,0.0003857432162532902,9.327716951160188,8.567716951160188,8.290716951160187,7.658716951160187
K2-093f,6320,60.0,30.0,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.004,0.009,0.003,0.22,0.03,0.06,0.038,0.009,0.009,0.821,0.009,0.009,,,,0.07,0.02,0.02,294.0,3.0,1.0,2016ApJ...827L..10V,arXiv:1911.07355,TEP,8,26,27.85,10,4,49.4,8.93,7.72,0.78775,0.5,2459355.1014,0.0019,542.7975,0.0014,arXiv:2201.02686,,0.004392384937729997,9.327716951160188,8.567716951160188,8.290716951160187,7.658716951160187
K2-095,3471,124.0,124.0,0.11,0.17,0.17,0.361,0.069,0.069,0.402,0.05,0.05,,,,5.5,1.3,1.3,,,,0.0653,0.0039,0.0045,,,,0.31,0.07,0.047,,,,,,,,,,2016AJ....152..223O,2016AJ....152..223O,TEP,8,37,27.06,18,58,36.1,17.07,12.47,0.0908,0.7,2457171.1477,0.0019,10.13389,0.00073,2016AJ....152..223O,0.83,0.006279747304286252,18.35656937193329,15.793569371933291,14.52856937193329,12.404569371933292
K2-097,4790,90.0,90.0,0.42,0.08,0.08,1.16,0.12,0.12,4.2,0.14,0.14,3.26,0.01,0.01,0.0157,0.0003,0.0003,0.22,0.08,0.08,,,,0.48,0.07,0.07,1.31,0.11,0.11,,,,,,,,,,2016AJ....152..185G,2017AJ....154..254G,TEP,8,31,3.08,10,50,51.3,12.61,10.04,0.27,0.07,2457142.072,0.007,8.4062,0.0015,2016AJ....152..185G,0.44,0.0010273416541474152,13.513716951160188,11.979716951160187,11.498716951160187,10.113716951160187
K2-098,6120,80.0,80.0,-0.2,0.1,0.1,1.074,0.042,0.042,1.311,0.083,0.048,4.23,0.03,0.05,0.47,0.05,0.09,0.0,,,0.0943,0.0061,0.0052,0.101,0.025,0.025,0.38,0.03,0.02,,,,1.62,0.51,0.45,1102.0,26.0,20.0,2016AJ....152..193B,2016AJ....152..193B,TEP,8,25,57.19,11,30,40.1,12.17,10.87,0.21,0.11,2457145.9807,0.0012,10.13675,0.00033,2016AJ....152..193B,0.33,0.000887222805448515,12.613716951160187,11.783716951160187,11.484716951160188,10.793716951160187
K2-099,6069,92.0,92.0,0.2,0.07,0.07,1.44,0.03,0.03,2.55,0.02,0.02,3.738,0.004,0.004,0.055,0.002,0.002,0.22,0.01,0.01,0.153,0.001,0.001,0.87,0.02,0.02,1.06,0.01,0.01,19.5,0.9,0.9,,,,1184.0,19.0,19.0,2017MNRAS.464.2708S,arXiv:2111.14660,TEP,13,55,5.7,-5,26,32.9,11.15,9.72,0.462,0.2,2458182.7133,0.0005,18.24783,3e-05,arXiv:2111.14660,0.34,0.0018247453110132605,11.615716951160188,10.751716951160189,10.443716951160189,9.723716951160188
K2-100,5945,110.0,110.0,0.22,0.09,0.09,1.15,0.05,0.05,1.24,0.05,0.05,4.33,0.1,0.1,0.6,0.08,0.08,0.0,0.28,,0.0301,0.0014,0.0014,0.069,0.02,0.02,0.346,0.014,0.014,15.4,4.4,4.4,1.54,0.5,0.46,1841.0,41.0,41.0,2017AJ....153...64M,arXiv:1909.05252,TEP,8,38,24.3,20,6,21.8,10.52,9.18,0.067,0.08,2457140.71941,0.00027,1.6739035,4e-07,arXiv:1909.05252,0.4,0.0008222042435618026,11.029716951160188,10.097716951160187,9.769716951160188,8.993716951160188
K2-101,4819,45.0,45.0,0.14,0.04,0.04,0.8,0.06,0.06,0.73,0.03,0.03,,,,2.07,0.29,0.25,0.0,,,,,,,,,0.18,0.01,0.01,,,,,,,,,,2017AJ....153...64M,2017AJ....153...64M,TEP,8,41,22.58,18,56,2.0,12.96,10.54,0.138,0.07,2457152.68125,0.00227,14.6773,0.00082,2017AJ....153...64M,0.35,0.0006420519608106036,13.863716951160189,12.329716951160188,11.848716951160188,10.463716951160189
K2-102,4695,50.0,50.0,0.14,0.04,0.04,0.77,0.06,0.06,0.71,0.03,0.03,,,,2.14,0.31,0.27,0.0,,,,,,,,,0.12,0.01,0.01,,,,,,,,,,2017AJ....153...64M,2017AJ....153...64M,TEP,8,40,13.45,19,46,43.7,13.2,10.64,0.112,0.03,2457139.65488,0.00539,9.9157,0.0012,2017AJ....153...64M,0.43,0.00030165927387949533,14.206562270237864,12.466562270237864,11.916562270237865,10.373562270237864
K2-103,3880,67.0,67.0,0.14,0.04,0.04,0.61,0.02,0.02,0.59,0.03,0.03,,,,2.98,0.43,0.38,0.0,,,,,,,,,0.2,0.02,0.01,,,,,,,,,,2017AJ....153...64M,2017AJ....153...64M,TEP,8,41,38.49,17,38,24.0,15.26,11.43,0.145,0.13,2457123.23787,0.00432,21.1697,0.0017,2017AJ....153...64M,0.232883851,0.0012134638830049924,16.510612580447045,14.188612580447046,13.282612580447045,11.353612580447045
K2-104,3660,67.0,67.0,0.14,0.04,0.04,0.51,0.02,0.02,0.48,0.02,0.02,,,,4.64,0.68,0.6,0.0,,,,,,,,,0.17,0.02,0.01,,,,,,,,,,2017AJ....153...64M,2017AJ....153...64M,TEP,8,38,32.82,19,46,25.8,16.26,12.01,0.06,0.16,2457140.38097,0.00255,1.97419,0.00011,2017AJ....153...64M,0.352252699,0.0013246045871071715,17.540288815764484,15.076288815764483,13.965288815764483,11.934288815764482
K2-105,5430,70.0,70.0,0.26,0.05,0.05,1.01,0.07,0.07,0.95,0.11,0.1,4.477,0.085,0.085,1.19,0.44,0.32,,,,,,,,0.28,0.0,0.369,0.039,0.034,,,,,,,,,,2017PASJ...69...29N,2017PASJ...69...29N,TEP,8,21,40.87,13,29,51.1,11.75,10.09,0.1443,0.15,2457147.9911,0.0012,8.266902,7e-05,2017PASJ...69...29N,0.36,0.0015932224170325394,12.400716951160188,11.259716951160188,10.877716951160188,9.895716951160187
K2-106b,5496,46.0,46.0,0.06,0.03,0.03,0.902,0.057,0.046,0.981,0.019,0.018,4.42,0.05,0.05,0.956,0.099,0.085,0.0,,,0.01342,0.00014,0.00014,0.0243,0.0025,0.0025,0.1527,0.0061,0.0061,26.9,3.6,3.9,6.4,1.4,1.4,2242.0,63.0,46.0,2017AJ....153...82A,arXiv:1908.06299,TEP,0,52,19.15,10,47,40.9,12.1,10.34,0.0746,0.03,2456226.4368,0.0016,0.571336,2e-05,2017AJ....153..271S,0.42,0.00025586503747011434,12.750716951160188,11.609716951160188,11.227716951160188,10.245716951160187
K2-106c,5496,46.0,46.0,0.06,0.03,0.03,0.902,0.057,0.046,0.981,0.019,0.018,4.42,0.05,0.05,0.956,0.099,0.085,0.0,,,0.1071,0.0015,0.0015,0.0214,0.0072,0.0072,0.231,0.025,0.025,10.4,4.0,3.7,1.8,1.2,0.8,771.0,31.0,23.0,2017AJ....153...82A,arXiv:1705.04163,TEP,0,52,19.15,10,47,40.9,12.1,10.34,0.146,0.07,2456238.7352,0.0042,13.3387,0.0018,2017AJ....153..271S,0.41,0.000585540355008784,12.750716951160188,11.609716951160188,11.227716951160188,10.245716951160187
K2-107,6030,120.0,120.0,0.1,0.1,0.1,1.3,0.14,0.14,1.78,0.16,0.16,4.05,0.07,0.07,0.23,0.04,0.04,0.0,0.21,0.0,0.048,0.005,0.005,0.84,0.08,0.08,1.44,0.15,0.15,10.0,1.7,1.5,0.26,0.08,0.08,1780.0,90.0,90.0,2017AJ....153..130E,2017AJ....153..130E,TEP,18,59,56.49,-22,17,36.3,12.92,11.21,0.133,0.66,2457304.5244,0.0002,3.31392,2e-05,2017AJ....153..130E,0.74,0.006911238276297854,13.385716951160187,12.521716951160188,12.213716951160189,11.493716951160188
K2-108,5474,60.0,60.0,0.33,0.04,0.04,1.121,0.065,0.053,1.75,0.14,0.14,3.99,0.05,0.05,,,,0.18,0.042,0.042,0.0573,0.001,0.001,0.187,0.014,0.014,0.471,0.048,0.048,,,,1.67,0.58,0.41,1446.0,48.0,48.0,2017AJ....153..142P,2017AJ....153..142P,TEP,8,13,31.65,16,25,10.6,12.47,10.56,0.16,0.09,2457145.0965,0.0019,4.73401,0.00024,2017AJ....153..142P,0.33,0.0007649562609468262,13.120716951160189,11.979716951160189,11.597716951160189,10.615716951160188
K2-110,5010,50.0,50.0,-0.34,0.03,0.03,0.738,0.018,0.018,0.713,0.02,0.02,4.6,0.03,0.03,,,,0.079,0.07,0.07,0.1021,0.0008,0.0008,0.0525,0.0101,0.0101,0.231,0.009,0.009,,,,3.9,0.9,0.9,640.0,20.0,20.0,2017A+A...604A..19O,2017A+A...604A..19O,TEP,13,49,23.89,-12,17,4.2,11.91,9.61,0.134,0.13,2457275.32992,0.00061,13.86375,0.00026,2017A+A...604A..19O,0.31,0.0011084491807852339,12.716716951160189,11.336716951160188,10.894716951160188,9.668716951160189
K2-111,5775,60.0,60.0,-0.46,0.05,0.05,0.84,0.02,0.02,1.25,0.02,0.02,4.17,0.01,0.01,0.43,0.02,0.02,0.13,0.13,0.09,0.057,0.0012,0.0012,0.0166,0.0024,0.0024,0.162,0.009,0.09,,,,3.6,0.8,0.8,1309.0,71.0,63.0,2017A+A...604A..16F,arXiv:2010.01993,TEP,3,59,33.54,21,17,55.3,11.14,9.38,0.133,0.02,2457067.9704,0.0042,5.3518,0.0004,arXiv:2010.01993,0.309,0.00017737029557243918,11.703716951160189,10.690716951160189,10.34071695116019,9.489716951160188
K2-113,5627,88.0,88.0,0.18,0.062,0.062,1.007,0.04,0.039,1.047,0.11,0.08,4.4,0.15,0.15,0.87,0.26,0.23,0.0,0.13,0.0,0.0575,0.0074,0.0057,1.29,0.13,0.14,0.93,0.1,0.07,36.3,7.3,7.5,1.48,0.46,0.4,1178.0,22.0,23.0,2017MNRAS.471.4374E,2017MNRAS.471.4374E,TEP,1,17,47.83,6,52,8.0,13.68,11.95,0.14,0.8,2457392.88605,0.00019,5.817608,3e-05,2017MNRAS.471.4374E,0.72,0.00833188794313574,14.248950747967529,13.191950747967528,12.83095074796753,11.933950747967529
K2-131,5200,100.0,100.0,-0.02,0.08,0.08,0.793,0.024,0.04,0.744,0.01,0.009,4.62,0.1,0.1,1.92,0.1,0.13,0.0,0.26,0.0,,,,0.0198,0.0044,0.0044,0.1473,0.0058,0.005,,,,5.8,2.0,2.0,,,,2017AJ....154..226D,arXiv:1908.06299,TEP,12,11,0.38,-9,45,54.8,12.12,10.05,0.058,0.05,2457582.936,0.0011,0.3693038,9.1e-06,2017AJ....154..226D,0.4,0.0004139334367213299,12.880716951160187,11.573716951160186,11.150716951160186,9.999716951160186
K2-132,4840,90.0,90.0,-0.01,0.08,0.08,1.08,0.08,0.08,3.85,0.13,0.13,3.297,0.007,0.007,0.0187,0.0006,0.0006,0.0,0.0007,0.0,,,,0.49,0.06,0.06,1.3,0.07,0.07,,,,,,,,,,2017AJ....154..254G,2017AJ....154..254G,TEP,12,8,39.93,-8,44,49.8,11.9,9.54,0.35,0.09,2457590.1491,0.009,9.1751,0.0025,2017AJ....154..254G,0.848,0.0012040267402076636,12.803716951160188,11.269716951160188,10.788716951160188,9.403716951160188
K2-133b,3655,80.0,80.0,,,,0.455,0.022,0.022,0.461,0.011,0.01,,,,,,,,,,0.03194,0.00025,0.00026,,,,0.12,0.007,0.007,,,,,,,,,,2018MNRAS.473L.131W,arXiv:1905.05206,TEP,4,40,35.63,25,0,36.1,14.0,10.28,0.051,0.071,2457821.315,0.0016,3.07133,0.00011,xxx1905052063,0.63,0.0007155360644955256,15.362842826406675,12.898842826406675,11.787842826406674,9.756842826406674
K2-133c,3655,80.0,80.0,,,,0.455,0.022,0.022,0.461,0.011,0.01,,,,,,,,,,0.04341,0.00034,0.00035,,,,0.143,0.008,0.008,,,,,,,,,,2018MNRAS.473L.131W,arXiv:1905.05206,TEP,4,40,35.63,25,0,36.1,14.0,10.28,0.068,0.1,2457823.7686,0.0011,4.86784,0.00012,xxx1905052063,0.64,0.001016110901588125,15.362842826406675,12.898842826406675,11.787842826406674,9.756842826406674
K2-133d,3655,80.0,80.0,,,,0.455,0.022,0.022,0.461,0.011,0.01,,,,,,,,,,0.07487,0.00059,0.0006,,,,0.179,0.01,0.01,,,,,,,,,,2018MNRAS.473L.131W,arXiv:1905.05206,TEP,4,40,35.63,25,0,36.1,14.0,10.28,0.097,0.19,2457826.1709,0.0012,11.02454,0.00036,xxx1905052063,0.37,0.001592117433507023,15.362842826406675,12.898842826406675,11.787842826406674,9.756842826406674
K2-133e,3655,80.0,80.0,,,,0.455,0.022,0.022,0.461,0.011,0.01,,,,,,,,,,0.1346,0.0011,0.0011,,,,0.154,0.012,0.012,,,,,,,296.0,10.0,10.0,arXiv:1905.05206,arXiv:1905.05206,TEP,4,40,35.63,25,0,36.1,14.0,10.28,0.06,0.1,2457837.8657,0.0023,26.5841,0.0018,arXiv:1905.05206,,0.001178448146220548,15.362842826406675,12.898842826406675,11.787842826406674,9.756842826406674
K2-136b,4499,50.0,50.0,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,0.1,0.19,0.07,,,,,,,0.088,0.005,0.004,,,,,,,,,,2018AJ....155....4M,2018AJ....155....4M,TEP,4,29,38.99,22,52,57.8,11.2,8.37,0.106,0.02,2457817.7563,0.0048,7.97529,0.0008,2018AJ....155....4M,0.27,0.00018773634563290566,12.247716951160188,10.442716951160188,9.867716951160187,8.278716951160186
K2-136c,4499,50.0,50.0,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,0.13,0.27,0.11,,,,,,,0.26,0.01,0.009,,,,,,,,,,2018AJ....155....4M,2018AJ....155....4M,TEP,4,29,38.99,22,52,57.8,11.2,8.37,0.144,0.19,2457812.7177,0.0009,17.30714,0.00027,2018AJ....155....4M,0.28,0.0016388141741715428,12.247716951160188,10.442716951160188,9.867716951160187,8.278716951160186
K2-136d,4499,50.0,50.0,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,0.14,0.13,0.09,,,,,,,0.129,0.01,0.007,,,,,,,,,,2018AJ....155....4M,2018AJ....155....4M,TEP,4,29,38.99,22,52,57.8,11.2,8.37,0.13,0.03,2457780.8116,0.00065,25.5751,0.0024,2018AJ....155....4M,0.53,0.0004034246549169916,12.247716951160188,10.442716951160188,9.867716951160187,8.278716951160186
K2-137,3492,70.0,70.0,0.08,0.12,0.12,0.463,0.052,0.052,0.442,0.044,0.044,4.815,0.043,0.043,,,,0.0,,,0.0058,0.0006,0.0006,,0.7,0.0,0.079,0.008,0.008,,,,,,,1471.0,47.0,47.0,2018MNRAS.474.5523S,2018MNRAS.474.5523S,TEP,12,27,28.97,-6,11,42.8,15.5,10.88,0.0262,0.035,2457583.0242,0.0004,0.179715,1e-06,2018MNRAS.474.5523S,0.02,0.00033734985712102414,16.843806819311876,14.280806819311879,13.015806819311878,10.89180681931188
K2-138b,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.189,0.0,0.03385,0.00023,0.00029,0.0098,0.0035,0.0035,0.135,0.01,0.007,,,,3.7,1.5,1.3,1308.0,24.0,20.0,2018AJ....155...57C,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.0721,0.03,2457773.31683,0.00091,2.35309,0.00022,arXiv:1909.13527,0.5,0.0002602205084880118,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-138c,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.192,0.0,0.04461,0.0003,0.00038,0.0198,0.0035,0.0038,0.205,0.011,0.008,,,,2.1,0.51,0.46,1140.0,21.0,17.0,2018AJ....155...57C,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.097,0.05,2457740.32182,0.00088,3.56004,0.00012,arXiv:1909.13527,0.47,0.0006000420778715332,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-138d,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.144,0.0,0.05893,0.0004,0.0005,0.0249,0.0044,0.0041,0.213,0.009,0.007,,,,2.37,0.52,0.45,992.0,18.0,15.0,2018AJ....155...57C,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.124,0.08,2457743.15989,0.00092,5.40479,0.00021,arXiv:1909.13527,0.47,0.0006477884361916381,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-138e,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.183,0.0,0.0782,0.00053,0.00066,0.0409,0.0063,0.0063,0.302,0.012,0.01,,,,1.35,0.27,0.24,861.0,16.0,13.0,2018AJ....155...57C,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.1276,0.12,2457740.64558,0.00083,8.26146,0.00022,arXiv:1909.13527,0.44,0.001302230521598937,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-138f,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.21,0.0,0.10447,0.0007,0.00088,0.005,0.0066,0.0038,0.259,0.015,0.01,,,,0.26,0.37,0.2,745.0,14.0,11.0,2018AJ....155...57C,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.133,0.08,2457738.70235,0.00093,12.75758,0.00049,arXiv:1909.13527,0.48,0.0009577970880594961,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-138g,5350,80.0,80.0,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,0.0,0.226,0.0,0.23109,0.00154,0.00196,0.0135,0.0167,0.0094,0.269,0.027,0.022,,,,0.65,0.81,0.45,501.0,9.0,7.0,arXiv:1909.13527,arXiv:1909.13527,TEP,23,15,47.77,-10,50,58.9,12.21,10.31,0.198,0.12,2457773.8541,0.0044,41.9666,0.0063,arXiv:2102.08978,0.56,0.0010331860748807144,12.900716951160188,11.700716951160189,11.303716951160188,10.262716951160188
K2-139,5340,110.0,110.0,0.22,0.08,0.08,0.919,0.033,0.033,0.862,0.032,0.032,4.5,0.09,0.09,1.43,0.18,0.16,0.12,0.12,0.08,0.179,0.029,0.027,0.387,0.083,0.075,0.808,0.034,0.033,,,,0.69,0.18,0.15,565.0,48.0,32.0,2018MNRAS.475.1765B,2018MNRAS.475.1765B,TEP,19,16,15.97,-17,54,38.5,11.65,9.66,0.204,1.1,2457325.81714,0.00033,28.38236,0.00026,2018MNRAS.475.1765B,0.17,0.009278527869795836,12.340716951160188,11.140716951160188,10.743716951160188,9.702716951160188
K2-140,5654,55.0,55.0,0.12,0.045,0.045,1.005,0.021,0.02,0.987,0.011,0.011,4.452,0.01,0.009,1.048,0.041,0.041,0.12,0.056,0.046,0.0591,0.0034,0.0034,1.019,0.07,0.07,1.095,0.018,0.018,21.1,1.7,1.5,0.726,0.062,0.062,1114.0,34.0,34.0,2018MNRAS.475.1809G,2018MNRAS.475.1809G,TEP,12,32,32.96,-9,36,27.5,12.62,11.0,0.19,1.3,2457621.13089,0.0001,6.569228,1e-05,2018RNAAS...2a..22M,0.12,0.012997649447904143,13.213716951160187,12.156716951160186,11.795716951160188,10.898716951160187
K2-141b,4599,79.0,79.0,-0.06,0.08,0.1,0.706,0.021,0.015,0.6862,0.0066,0.008,4.62,0.02,0.03,2.74,0.11,0.13,0.0,,,0.00716,0.00055,0.00065,0.0162,0.0011,0.0011,0.1332,0.0037,0.0031,,,,6.4,1.0,0.9,2039.0,87.0,48.0,2018A+A...612A..95B,arXiv:1908.06299,TEP,23,23,39.97,-1,11,21.4,11.49,8.4,0.039,0.05,2457744.07151,0.0001,0.28032945,5e-08,arXiv:2203.00370,0.0,0.00039790363709810606,12.503716951160188,10.763716951160188,10.213716951160189,8.670716951160188
K2-141c,4599,79.0,79.0,-0.06,0.08,0.1,0.708,0.028,0.028,0.681,0.018,0.018,4.62,0.02,0.03,2.244,0.161,0.161,0.0,,,,,,,0.0233,0.0,0.62,0.41,0.25,,,,,,,,,,2018AJ....155..107M,2018AJ....155..107M,TEP,23,23,39.97,-1,11,21.4,11.49,8.4,0.092,0.05,2458371.07415,0.00064,7.7489943,1.5e-05,arXiv:2203.00370,,0.00875306274880273,12.503716951160188,10.763716951160188,10.213716951160189,8.670716951160188
K2-146b,3385,70.0,70.0,-0.02,0.12,0.12,0.331,0.009,0.009,0.33,0.01,0.01,4.906,0.041,0.041,9.3,0.8,0.8,0.129,0.019,0.019,,,,0.0182,0.0002,0.0002,0.183,0.005,0.005,,,,,,,,,,2018AJ....156..277L,arXiv:1907.10620,TEP,8,40,6.42,19,5,34.4,16.25,11.37,0.034,0.4,2458204.5902,0.0005,2.6446,6e-05,arXiv:1907.10620,0.328540667,0.0032474702886882124,17.588288815764482,14.965288815764481,13.624288815764482,11.444288815764482
