# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun  7 06:36:29 2017
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
21,WASP-12 b,1.63100,0.05200,,,,,,,,,0.11830,0.00065,-0.00065,0,2454508.977005,0.000310,-0.000310,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
22,WASP-12 b,3.60000,,,,,,,,,,0.11722,0.00138,-0.00138,0,2454508.977005,0.000310,-0.000310,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
23,WASP-12 b,4.50000,,,,,,,,,,0.11773,0.00183,-0.00183,0,2454508.977005,0.000310,-0.000310,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
24,HAT-P-1 b,1.12690,,,,,,,,,,0.11656,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
25,HAT-P-1 b,1.14610,,,,,,,,,,0.11632,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
26,HAT-P-1 b,1.16530,,,,,,,,,,0.11643,0.00073,-0.00073,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
27,HAT-P-1 b,1.18450,,,,,,,,,,0.11493,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
28,HAT-P-1 b,1.20370,,,,,,,,,,0.11640,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
29,HAT-P-1 b,1.22290,,,,,,,,,,0.11715,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
30,HAT-P-1 b,1.24210,,,,,,,,,,0.11656,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
31,HAT-P-1 b,1.26130,,,,,,,,,,0.11528,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
32,HAT-P-1 b,1.28050,,,,,,,,,,0.11639,0.00064,-0.00064,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
33,HAT-P-1 b,1.29970,,,,,,,,,,0.11519,0.00055,-0.00055,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
34,HAT-P-1 b,1.31890,,,,,,,,,,0.11651,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
35,HAT-P-1 b,1.33810,,,,,,,,,,0.11744,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
36,HAT-P-1 b,1.35730,,,,,,,,,,0.11656,0.00054,-0.00054,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
37,HAT-P-1 b,1.37650,,,,,,,,,,0.11726,0.00060,-0.00060,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
38,HAT-P-1 b,1.39570,,,,,,,,,,0.11716,0.00069,-0.00069,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
39,HAT-P-1 b,1.41490,,,,,,,,,,0.11807,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
40,HAT-P-1 b,1.43410,,,,,,,,,,0.11780,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
41,HAT-P-1 b,1.45330,,,,,,,,,,0.11719,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
42,HAT-P-1 b,1.47250,,,,,,,,,,0.11823,0.00064,-0.00064,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
43,HAT-P-1 b,1.49170,,,,,,,,,,0.11731,0.00070,-0.00070,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
44,HAT-P-1 b,1.51090,,,,,,,,,,0.11798,0.00076,-0.00076,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
45,HAT-P-1 b,1.53010,,,,,,,,,,0.11737,0.00076,-0.00076,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
46,HAT-P-1 b,1.54930,,,,,,,,,,0.11650,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
47,HAT-P-1 b,1.56850,,,,,,,,,,0.11605,0.00088,-0.00088,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
48,HAT-P-1 b,1.58770,,,,,,,,,,0.11466,0.00086,-0.00086,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
49,HAT-P-1 b,1.60690,,,,,,,,,,0.11616,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
50,HAT-P-1 b,1.62610,,,,,,,,,,0.11474,0.00081,-0.00081,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
51,HAT-P-1 b,1.64530,,,,,,,,,,0.11571,0.00090,-0.00090,0,2456114.345307,0.000180,-0.000180,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.435.3481W target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
52,CoRoT-1 b,0.86000,0.17550,,,,,,,,,0.13890,0.00120,-0.00120,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
53,CoRoT-1 b,0.98000,0.17550,,,,,,,,,0.14500,0.00270,-0.00270,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
54,CoRoT-1 b,1.08300,0.17550,,,,,,,,,0.14480,0.00130,-0.00130,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
55,CoRoT-1 b,1.25900,0.17550,,,,,,,,,0.14400,0.00140,-0.00140,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
56,CoRoT-1 b,1.43400,0.17550,,,,,,,,,0.14740,0.00160,-0.00160,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
57,CoRoT-1 b,1.61000,0.17550,,,,,,,,,0.14150,0.00100,-0.00100,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
58,CoRoT-1 b,1.78600,0.17550,,,,,,,,,0.14260,0.00260,-0.00260,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
59,CoRoT-1 b,1.96100,0.17550,,,,,,,,,0.14310,0.00290,-0.00290,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
60,CoRoT-1 b,2.13700,0.17550,,,,,,,,,0.14400,0.00220,-0.00220,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
61,CoRoT-1 b,2.31200,0.17550,,,,,,,,,0.14700,0.00200,-0.00200,0,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
62,GJ 436 b,1.13600,,0.696600,0.006700,-0.006700,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
63,GJ 436 b,1.15500,,0.699400,0.006000,-0.006000,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
64,GJ 436 b,1.17400,,0.692400,0.005200,-0.005200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
65,GJ 436 b,1.19300,,0.687200,0.006900,-0.006900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
66,GJ 436 b,1.21100,,0.696800,0.005600,-0.005600,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
67,GJ 436 b,1.23000,,0.704600,0.006000,-0.006000,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
68,GJ 436 b,1.24900,,0.703600,0.005900,-0.005900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
69,GJ 436 b,1.26800,,0.696700,0.005700,-0.005700,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
70,GJ 436 b,1.28900,,0.686900,0.005900,-0.005900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
71,GJ 436 b,1.30600,,0.704300,0.005500,-0.005500,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
72,GJ 436 b,1.32400,,0.686900,0.005800,-0.005800,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
73,GJ 436 b,1.34300,,0.704600,0.006100,-0.006100,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
74,GJ 436 b,1.36200,,0.705700,0.006200,-0.006200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
75,GJ 436 b,1.38100,,0.700600,0.006200,-0.006200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
76,GJ 436 b,1.40000,,0.703600,0.007700,-0.007700,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
77,GJ 436 b,1.41900,,0.707200,0.009200,-0.009200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
